chain,address,exact_bytecode_id,bytecode_family_id,evidence_path,verified_source_status
ethereum,0x0000000000c2bf3dbcd033ba800961d4ad09e287,EXACT00001,FAM00001,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0000000000c2bf3dbcd033ba800961d4ad09e287.json,UNAVAILABLE
ethereum,0x0000000015a9b5001fe0e565890040726bbacfac,EXACT00002,FAM00002,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0000000015a9b5001fe0e565890040726bbacfac.json,UNAVAILABLE
ethereum,0x0000000020fe2f30453074ad916edeb653ec7e9d,EXACT00003,FAM00003,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0000000020fe2f30453074ad916edeb653ec7e9d.json,UNAVAILABLE
ethereum,0x00000000383e8cbe298514674ea60ee1d1de50ac,EXACT00004,FAM00004,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x00000000383e8cbe298514674ea60ee1d1de50ac.json,UNAVAILABLE
ethereum,0x000000004f43c49e93c970e84001853a70923b03,EXACT00005,FAM00004,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x000000004f43c49e93c970e84001853a70923b03.json,VERIFIED
ethereum,0x00000000557a0daf2659cbb6a45f2beb6081e6ae,EXACT00006,FAM00005,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x00000000557a0daf2659cbb6a45f2beb6081e6ae.json,UNAVAILABLE
ethereum,0x000000005c84f8fd50b21cac312528a64437030e,EXACT00007,FAM00006,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x000000005c84f8fd50b21cac312528a64437030e.json,UNAVAILABLE
ethereum,0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,EXACT00008,FAM00007,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x000000009b1d0af20d8c6d0a44e162d11f9b8f00.json,VERIFIED
ethereum,0x0000004a25e070e8ca902cb5d6cb7c90dfd00000,EXACT00009,FAM00008,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0000004a25e070e8ca902cb5d6cb7c90dfd00000.json,UNAVAILABLE
ethereum,0x000000cb3ed5fd4fc79c0bfe2603160412fb117e,EXACT00010,FAM00009,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x000000cb3ed5fd4fc79c0bfe2603160412fb117e.json,UNAVAILABLE
