address,final_label,coverage_status,y,score,split_group
0x0786e216d94b5dae9bd0cc502c07c6f774808c93,B,COMPLETE,0.0,0.10366105,addr:0x0786e216d94b5dae9bd0cc502c07c6f774808c93
0x0bb0599bec7ecaf592076672908e00d87a988934,B,COMPLETE,0.0,0.7045361,addr:0x0bb0599bec7ecaf592076672908e00d87a988934
0x0c762fa05d775603c9bc4aed9824d746e4d9a5b0,B,COMPLETE,0.0,0.086639725,addr:0x0c762fa05d775603c9bc4aed9824d746e4d9a5b0
0x0cc2232f45de23c56327ab28321b575bcb0b4d55,B,COMPLETE,0.0,0.025705867,addr:0x0cc2232f45de23c56327ab28321b575bcb0b4d55
0x15c575058fa99edb2288443bcc55e93084c7158d,U,PARTIAL,,0.7608539,addr:0x15c575058fa99edb2288443bcc55e93084c7158d
0x170c7f244bc817efa7845f41d433e2c48e32ebd3,B,COMPLETE,0.0,0.0055049025,addr:0x170c7f244bc817efa7845f41d433e2c48e32ebd3
0x1a4430da723c424a26fb45ff54384790a944defb,B,COMPLETE,0.0,0.16232976,addr:0x1a4430da723c424a26fb45ff54384790a944defb
0x1e8de002381b9ff5e31941a567d00107f9c1b9f5,R1,COMPLETE,1.0,0.60007894,addr:0x1e8de002381b9ff5e31941a567d00107f9c1b9f5
0x223fabc28a2c7491395d4409cc127ff12a852c86,B,COMPLETE,0.0,0.34972888,addr:0x223fabc28a2c7491395d4409cc127ff12a852c86
0x2460976919bc73fddbc9d4b74695fbf1697c84be,B,COMPLETE,0.0,0.56151414,addr:0x2460976919bc73fddbc9d4b74695fbf1697c84be
0x2c060fe342ae3fee39f4c6a1d7fc4a1c6be86980,B,COMPLETE,0.0,0.0030544114,addr:0x2c060fe342ae3fee39f4c6a1d7fc4a1c6be86980
0x316d59c8614bb042152bae1190c6afb39febfb90,B,COMPLETE,0.0,0.8011883,addr:0x316d59c8614bb042152bae1190c6afb39febfb90
0x331897e3f5fe6c53480bcea6ca6fc0d5c544a0bc,U,PARTIAL,,0.2309218,addr:0x331897e3f5fe6c53480bcea6ca6fc0d5c544a0bc
0x33fc3829e619cf9b9c672ddbb83a63f55dff80e6,U,PARTIAL,,0.49797252,addr:0x33fc3829e619cf9b9c672ddbb83a63f55dff80e6
0x3aabc01cc82a8f9dd0a427706cbec7cfb4acec4d,R1,COMPLETE,1.0,0.32054994,addr:0x3aabc01cc82a8f9dd0a427706cbec7cfb4acec4d
0x3e95f3ad3ddac747a886cb4f7bd8bedcbac8f27a,B,COMPLETE,0.0,0.00084074313,addr:0x3e95f3ad3ddac747a886cb4f7bd8bedcbac8f27a
0x3f899cbe20efc5ab590c7b9aedf878e055ed0550,U,PARTIAL,,0.04288856,addr:0x3f899cbe20efc5ab590c7b9aedf878e055ed0550
0x4d073346a707d0a56b73bac8b2e8d5ddf94f93b5,B,COMPLETE,0.0,0.8576204,addr:0x4d073346a707d0a56b73bac8b2e8d5ddf94f93b5
0x547b9169ab3c89e0958ee3580d83cec8551e7a88,B,COMPLETE,0.0,0.0076725627,addr:0x547b9169ab3c89e0958ee3580d83cec8551e7a88
0x557f37550196a3022aec6c2b1b4951900ea3e3c2,B,COMPLETE,0.0,0.98859954,addr:0x557f37550196a3022aec6c2b1b4951900ea3e3c2
