review_id,contract_address,exact_bytecode_hash,bytecode_family_id,represented_contract_count,verified_project_name,coverage_status,llm_label,llm_confidence,llm_explanation,evidence_summary,decision,final_label,final_confidence,comment,llm_risk_categories,llm_uncertainties,represented_addresses,bytecode_length,first_observed_block,authorization_frequency,evidence_path,explorer_link,diagnostic_reasons,llm_evidence_detail,guard_semantics_observed,prompt_version
V2-0001,0x97731d87bdfb65eff555e186cb3bdd68af2ebf13,000c873b0e72fd9aefe6a6faec7b399b9f7b9b96e62471eae735bc3fcf9e9d25,FAM00016,1,,PARTIAL,U,medium,"0x97731d87bdfb65eff555e186cb3bdd68af2ebf13: control-flow coverage is incomplete (dangerous capabilities present in executable code were never reached by the traversal: CREATE2x1), so whether the reachable capabilities are protected cannot be determined.","exec=13527B; reachable_dangerous=21; unguarded_dangerous=13; unguarded_targets(calldata=0,const=6,unresolved=7,critical=0); guards=10 (strong=1); ecrecover=False; coverage=PARTIAL; why_partial=dangerous capabilities present in executable code were never reached by the traversal: CREATE2x1",ACCEPT_LLM_LABEL,U,medium,,insufficient_control_flow_coverage,dangerous capabilities present in executable code were never reached by the traversal: CREATE2x1,0x97731d87bdfb65eff555e186cb3bdd68af2ebf13,13527,25613868,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x97731d87bdfb65eff555e186cb3bdd68af2ebf13.json,https://etherscan.io/address/0x97731d87bdfb65eff555e186cb3bdd68af2ebf13,low_confidence; analyzer_disagreement_present_but_unreached; no_recognizable_solidity_metadata,reachable dangerous operations found: 21 | strong authorization guards observed: 1 (hardcoded_address_check),"hardcoded_address_check (msg.sender compared against a fixed address literal) | storage_condition (e.g. initialized flag, paused flag, or an authority slot)",v3
V2-0004,0x99322b75db5cddd8077dcbfa60995506ba231489,017d1e4bfa90364f79ba1b43a88fc07977a848a5bbc4a923032ab417a43a2319,FAM00016,1,,PARTIAL,U,medium,"0x99322b75db5cddd8077dcbfa60995506ba231489: control-flow coverage is incomplete (dangerous capabilities present in executable code were never reached by the traversal: CREATE2x1, DELEGATECALLx1), so whether the reachable capabilities are protected cannot be determined.","exec=13527B; reachable_dangerous=21; unguarded_dangerous=13; unguarded_targets(calldata=0,const=6,unresolved=7,critical=0); guards=10 (strong=1); ecrecover=False; coverage=PARTIAL; why_partial=dangerous capabilities present in executable code were never reached by the traversal: CREATE2x1, DELEGATECALLx1",ACCEPT_LLM_LABEL,U,medium,,insufficient_control_flow_coverage,"dangerous capabilities present in executable code were never reached by the traversal: CREATE2x1, DELEGATECALLx1",0x99322b75db5cddd8077dcbfa60995506ba231489,13527,25619222,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x99322b75db5cddd8077dcbfa60995506ba231489.json,https://etherscan.io/address/0x99322b75db5cddd8077dcbfa60995506ba231489,low_confidence; analyzer_disagreement_present_but_unreached; proxy_or_delegatecall; no_recognizable_solidity_metadata,reachable dangerous operations found: 21 | strong authorization guards observed: 1 (hardcoded_address_check),"hardcoded_address_check (msg.sender compared against a fixed address literal) | storage_condition (e.g. initialized flag, paused flag, or an authority slot)",v3
V2-0005,0x765bb67215871759d0e54cef5796bb79c48ce2e9,0195ca0a3015d275a7e4ffeb5d2478bfd2c84168d4ab73070c804d46676c0329,FAM00245,1,,PARTIAL,U,medium,"0x765bb67215871759d0e54cef5796bb79c48ce2e9: control-flow coverage is incomplete (dangerous capabilities present in executable code were never reached by the traversal: CREATE2x1), so whether the reachable capabilities are protected cannot be determined.","exec=13691B; reachable_dangerous=21; unguarded_dangerous=13; unguarded_targets(calldata=0,const=6,unresolved=7,critical=0); guards=12 (strong=1); ecrecover=False; coverage=PARTIAL; why_partial=dangerous capabilities present in executable code were never reached by the traversal: CREATE2x1",ACCEPT_LLM_LABEL,U,medium,,insufficient_control_flow_coverage,dangerous capabilities present in executable code were never reached by the traversal: CREATE2x1,0x765bb67215871759d0e54cef5796bb79c48ce2e9,13691,25693283,12,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x765bb67215871759d0e54cef5796bb79c48ce2e9.json,https://etherscan.io/address/0x765bb67215871759d0e54cef5796bb79c48ce2e9,low_confidence; analyzer_disagreement_present_but_unreached; no_recognizable_solidity_metadata,reachable dangerous operations found: 21 | strong authorization guards observed: 1 (hardcoded_address_check),"hardcoded_address_check (msg.sender compared against a fixed address literal) | storage_condition (e.g. initialized flag, paused flag, or an authority slot)",v3
V2-0006,0xd603deb91664bab7c7efabfce25a94f15b2ef4b7,031be10141bb66edd6483329cd170bbac784dee0b7f3c27fd0462d5916f6280a,FAM00156,1,,COMPLETE,B,medium,0xd603deb91664bab7c7efabfce25a94f15b2ef4b7: reachable capabilities are protected by authorization checks under complete analysis.,"exec=3246B; reachable_dangerous=2; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=1 (strong=1); ecrecover=False; coverage=COMPLETE",ACCEPT_LLM_LABEL,B,medium,,,No verified source on Sourcify; conclusion rests on bytecode evidence only.,0xd603deb91664bab7c7efabfce25a94f15b2ef4b7,3299,25626162,84,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xd603deb91664bab7c7efabfce25a94f15b2ef4b7.json,https://etherscan.io/address/0xd603deb91664bab7c7efabfce25a94f15b2ef4b7,label_changed_v1_B_to_v2_R2,every reachable dangerous operation (CALLx2) is dominated by a caller or signature guard | guards: 1 strong (hardcoded_address_check),hardcoded_address_check (tx.origin compared against a fixed address literal),v3
V2-0008,0x1ee2581d34819de3d77715c758d8d0c525332492,051e00a51eb1286685254ab53d24158862b74f0e96fc4ca6bf0f504ee120b2d4,FAM00079,1,,COMPLETE,B,medium,0x1ee2581d34819de3d77715c758d8d0c525332492: reachable capabilities are protected by authorization checks under complete analysis.,"exec=4345B; reachable_dangerous=2; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=1 (strong=1); ecrecover=False; coverage=COMPLETE",ACCEPT_LLM_LABEL,B,medium,,,No verified source on Sourcify; conclusion rests on bytecode evidence only.,0x1ee2581d34819de3d77715c758d8d0c525332492,4398,25623365,2451,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1ee2581d34819de3d77715c758d8d0c525332492.json,https://etherscan.io/address/0x1ee2581d34819de3d77715c758d8d0c525332492,label_changed_v1_B_to_v2_R2,every reachable dangerous operation (CALLx2) is dominated by a caller or signature guard | guards: 1 strong (hardcoded_address_check),hardcoded_address_check (msg.sender compared against a fixed address literal),v3
V2-0012,0xe9707d82341c3ef8feea772223635c981a0789fb,05ba203617d2b4ad62ff4178eb3908d07d3207e51d2eef6e66503ca32cbdf56b,FAM00096,1,,COMPLETE,B,medium,0xe9707d82341c3ef8feea772223635c981a0789fb: reachable capabilities are protected by authorization checks under complete analysis.,"exec=2568B; reachable_dangerous=8; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=20 (strong=12); ecrecover=False; coverage=COMPLETE",ACCEPT_LLM_LABEL,B,medium,,,No verified source on Sourcify; conclusion rests on bytecode evidence only.,0xe9707d82341c3ef8feea772223635c981a0789fb,2621,25642286,20,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xe9707d82341c3ef8feea772223635c981a0789fb.json,https://etherscan.io/address/0xe9707d82341c3ef8feea772223635c981a0789fb,label_changed_v1_B_to_v2_R2,every reachable dangerous operation (CALLx8) is dominated by a caller or signature guard | guards: 12 strong (self_call_check),self_call_check (msg.sender == address(this)) — the canonical EIP-7702 pattern | self_call_check (tx.origin == address(this)) — the canonical EIP-7702 pattern,v3
V2-0013,0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec,062d5047306ce7ac3d3bf531c9eb18a65d28b53886fd29c8ebcb8ded7e569c9c,FAM00300,1,,COMPLETE,R1,medium,0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec: unprotected_call_to_caller_chosen_target — a dangerous operation is reachable with no dominating authorization check under complete coverage.,"exec=7650B; reachable_dangerous=9; unguarded_dangerous=8; unguarded_targets(calldata=3,const=0,unresolved=5,critical=0); guards=13 (strong=12); ecrecover=False; coverage=COMPLETE",ACCEPT_LLM_LABEL,R1,medium,,unprotected_call_to_caller_chosen_target,,0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec,7703,25601320,100,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec.json,https://etherscan.io/address/0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec,r1_case; label_changed_v1_R2_to_v2_R1; proxy_or_delegatecall,"3 reachable call site(s) whose callee address is taken from calldata, on a path passing no caller or signature guard | the contract does contain 12 strong guard(s) (caller_check), but none dominates the paths above | control-flow coverage is COMPLETE, so this is an observed unprotected path rather than an unexplored region",caller_check (msg.sender compared against an unresolved value),v3
V2-0015,0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df,06c86168dcb74cdb69a55e9ec0e95e56dce60d1239189f2211b9f7d2c8fcfce7,FAM00438,1,,COMPLETE,R1,medium,0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df: unprotected_call_to_caller_chosen_target — a dangerous operation is reachable with no dominating authorization check under complete coverage.,"exec=1813B; reachable_dangerous=4; unguarded_dangerous=4; unguarded_targets(calldata=2,const=2,unresolved=0,critical=0); guards=0 (strong=0); ecrecover=False; coverage=COMPLETE",ACCEPT_LLM_LABEL,R1,medium,,unprotected_call_to_caller_chosen_target,,0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df,1866,25628095,2,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df.json,https://etherscan.io/address/0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df,r1_case; label_changed_v1_R2_to_v2_R1,"2 reachable call site(s) whose callee address is taken from calldata, on a path passing no caller or signature guard | the contract does contain 0 strong guard(s), but none dominates the paths above | control-flow coverage is COMPLETE, so this is an observed unprotected path rather than an unexplored region",,v3
V2-0017,0x0bb0599bec7ecaf592076672908e00d87a988934,075767e33c155e1b6f3d86dab12d63445bf7f923b27373001bae176baeed5951,FAM00042,1,,COMPLETE,B,medium,0x0bb0599bec7ecaf592076672908e00d87a988934: dangerous operations are either guard-dominated or restricted to fixed callee addresses under complete analysis.,"exec=2456B; reachable_dangerous=1; unguarded_dangerous=1; unguarded_targets(calldata=0,const=1,unresolved=0,critical=0); guards=0 (strong=0); ecrecover=False; coverage=COMPLETE",ACCEPT_LLM_LABEL,B,medium,,unguarded_call_to_fixed_callee,"Callee addresses are fixed, but calldata forwarded to those fixed callees was not modelled; a fixed callee that itself moves assets on behalf of the caller would not be distinguished here. | No verified source on Sourcify; conclusion rests on bytecode evidence only.",0x0bb0599bec7ecaf592076672908e00d87a988934,2509,25676624,26,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0bb0599bec7ecaf592076672908e00d87a988934.json,https://etherscan.io/address/0x0bb0599bec7ecaf592076672908e00d87a988934,u_case; analyzer_disagreement_present_but_unreached; label_changed_v1_B_to_v2_U,"1 reachable unguarded call site(s), all to fixed constant callee addresses — the caller cannot redirect them | guards: 0 strong",,v3
V2-0018,0x2c6f01799fa9db1e7f2797e5ba892b72b865571d,075e3986f73f3c5aebfe3aadb0776f0619bd7fd1276a43ac7fa9e9ee1a367d01,FAM00112,1,,PARTIAL,U,medium,"0x2c6f01799fa9db1e7f2797e5ba892b72b865571d: control-flow coverage is incomplete (305 dynamic JUMP target(s) could not be resolved), so whether the reachable capabilities are protected cannot be determined.","exec=17329B; reachable_dangerous=6; unguarded_dangerous=3; unguarded_targets(calldata=0,const=2,unresolved=1,critical=0); guards=3 (strong=1); ecrecover=False; coverage=PARTIAL; why_partial=305 dynamic JUMP target(s) could not be resolved; traversal hit its per-pc state cap; exploration was truncated",ACCEPT_LLM_LABEL,U,medium,,insufficient_control_flow_coverage,305 dynamic JUMP target(s) could not be resolved | traversal hit its per-pc state cap; exploration was truncated | 576 stack underflow(s) during symbolic execution,0x2c6f01799fa9db1e7f2797e5ba892b72b865571d,17382,25595590,3066,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x2c6f01799fa9db1e7f2797e5ba892b72b865571d.json,https://etherscan.io/address/0x2c6f01799fa9db1e7f2797e5ba892b72b865571d,,reachable dangerous operations found: 6 | strong authorization guards observed: 1 (self_call_check),"self_call_check (msg.sender == address(this)) — the canonical EIP-7702 pattern | storage_condition (e.g. initialized flag, paused flag, or an authority slot)",v3
