review_id,contract_address,exact_bytecode_hash,bytecode_family_id,represented_contract_count,verified_project_name,coverage_status,llm_label,llm_confidence,llm_explanation,evidence_summary,decision,final_label,final_confidence,comment,llm_risk_categories,llm_uncertainties,represented_addresses,bytecode_length,first_observed_block,authorization_frequency,evidence_path,explorer_link,diagnostic_reasons
V2-0016,0xead1651f65ff16f95bd7772754a5d936501ad655,06d54dd275ad7ce44ea10d1489f15876d84574a7a02b081af21cba1b9047627c,FAM00415,1,SOURCIFY_VERIFIED_UNNAMED,COMPLETE,R1,medium,"0xead1651f65ff16f95bd7772754a5d936501ad655: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=1038B meta=53B; reachable={'CALL': 1}; unguarded={'CALL': 1}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xead1651f65ff16f95bd7772754a5d936501ad655,1091,25660919,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xead1651f65ff16f95bd7772754a5d936501ad655.json,https://etherscan.io/address/0xead1651f65ff16f95bd7772754a5d936501ad655,r1_case; verified_source; label_changed_v1_B_to_v2_R1
V2-0043,0x70706888aaac09093d126978751ea6c456ae99da,0d5d250d5cb0aba9e71c5e3dc45c8295664df4e67f28af46814ee56ad7a57b39,FAM00235,1,,COMPLETE,R1,medium,"0x70706888aaac09093d126978751ea6c456ae99da: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=4458B meta=53B; reachable={'CALL': 5}; unguarded={'CALL': 5}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x70706888aaac09093d126978751ea6c456ae99da,4511,25595775,12,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x70706888aaac09093d126978751ea6c456ae99da.json,https://etherscan.io/address/0x70706888aaac09093d126978751ea6c456ae99da,r1_case; label_changed_v1_R2_to_v2_R1
V2-0049,0xec7146fe09e84e4ff1338ca5c1946056c169cd75,0e7965f34203d6eabcb4a4ca3e57e48d8f2a13aeba1c34ab4976e5bc1c360318,FAM00418,1,,COMPLETE,R1,medium,"0xec7146fe09e84e4ff1338ca5c1946056c169cd75: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=696B meta=53B; reachable={'CALL': 3}; unguarded={'CALL': 3}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xec7146fe09e84e4ff1338ca5c1946056c169cd75,749,25605689,6,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xec7146fe09e84e4ff1338ca5c1946056c169cd75.json,https://etherscan.io/address/0xec7146fe09e84e4ff1338ca5c1946056c169cd75,r1_case; label_changed_v1_R2_to_v2_R1; proxy_or_delegatecall
V2-0075,0xaa2d5a3fc0e71af1a37f4e7a16ba7bf49cb859f3,16ac30f286e03c87a199e5f3feae2306781249c4a2c04f49831741374bb6e6cc,FAM00324,1,,COMPLETE,R1,medium,"0xaa2d5a3fc0e71af1a37f4e7a16ba7bf49cb859f3: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=2336B meta=53B; reachable={'CALL': 2}; unguarded={'CALL': 2}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xaa2d5a3fc0e71af1a37f4e7a16ba7bf49cb859f3,2389,25608144,2,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xaa2d5a3fc0e71af1a37f4e7a16ba7bf49cb859f3.json,https://etherscan.io/address/0xaa2d5a3fc0e71af1a37f4e7a16ba7bf49cb859f3,r1_case; label_changed_v1_B_to_v2_R1
V2-0079,0x44cbf40ae487e77da5d419cc8fbd7652e41af1b4,19787d34311bc83c0d42884b47dd1f4951310f8666441b7b0046e7b54f9b7e61,FAM00154,1,,COMPLETE,R1,medium,"0x44cbf40ae487e77da5d419cc8fbd7652e41af1b4: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.","exec=1606B meta=53B; reachable={'CALL': 2, 'SSTORE': 1}; unguarded={'CALL': 2, 'SSTORE': 1}; guards=5; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE",,,,,unguarded_call_to_calldata_supplied_target,,0x44cbf40ae487e77da5d419cc8fbd7652e41af1b4,1659,25600705,2,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x44cbf40ae487e77da5d419cc8fbd7652e41af1b4.json,https://etherscan.io/address/0x44cbf40ae487e77da5d419cc8fbd7652e41af1b4,r1_case; label_changed_v1_R2_to_v2_R1
V2-0107,0x545940f521452b4138b360ad55e28667ea07a8bf,21fb246abbe88a72c93b110247b94592f9fc5c610b9916610b0daaee60f54158,FAM00185,1,,COMPLETE,R1,medium,"0x545940f521452b4138b360ad55e28667ea07a8bf: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=1249B meta=53B; reachable={'CALL': 3}; unguarded={'CALL': 3}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x545940f521452b4138b360ad55e28667ea07a8bf,1302,25631181,9329,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x545940f521452b4138b360ad55e28667ea07a8bf.json,https://etherscan.io/address/0x545940f521452b4138b360ad55e28667ea07a8bf,r1_case; label_changed_v1_R2_to_v2_R1
V2-0109,0x0e04736a85433445ef602d07946671685ec94647,22fa5d377c5cd4d71f2a140af7655bab38e772d8ba5df12309f79f23b0d5400d,FAM00049,1,,COMPLETE,R1,medium,"0x0e04736a85433445ef602d07946671685ec94647: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=717B meta=0B; reachable={'CALL': 7}; unguarded={'CALL': 6}; guards=2; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x0e04736a85433445ef602d07946671685ec94647,717,25595551,19466,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0e04736a85433445ef602d07946671685ec94647.json,https://etherscan.io/address/0x0e04736a85433445ef602d07946671685ec94647,r1_case; label_changed_v1_B_to_v2_R1; no_recognizable_solidity_metadata
V2-0120,0xca11bde05977b3631167028862be2a173976ca11,2756d7c52baee85cacb504f6ee1df7aad6809ac8d94a4a111d76991f90d36d6e,FAM00363,1,,COMPLETE,R1,medium,"0xca11bde05977b3631167028862be2a173976ca11: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=3755B meta=53B; reachable={'CALL': 2}; unguarded={'CALL': 2}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xca11bde05977b3631167028862be2a173976ca11,3808,25607049,33,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xca11bde05977b3631167028862be2a173976ca11.json,https://etherscan.io/address/0xca11bde05977b3631167028862be2a173976ca11,r1_case; label_changed_v1_B_to_v2_R1
V2-0134,0x4ba78e2deed03706fd8b19c4c1c4eddc5b338a14,2c7eab398c823b05ba4d0812dae0c1c27fdd2eb4ec5e97876ddc8610e92f5834,FAM00172,1,,COMPLETE,R1,medium,"0x4ba78e2deed03706fd8b19c4c1c4eddc5b338a14: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=3819B meta=53B; reachable={'CALL': 10}; unguarded={'CALL': 10}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x4ba78e2deed03706fd8b19c4c1c4eddc5b338a14,3872,25607179,36,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x4ba78e2deed03706fd8b19c4c1c4eddc5b338a14.json,https://etherscan.io/address/0x4ba78e2deed03706fd8b19c4c1c4eddc5b338a14,r1_case; label_changed_v1_R2_to_v2_R1
V2-0142,0xd086d522c3e4e5b5545aa4c420ab1670718bdfa6,2fb6b134aa13eeaf4dc89ee279ca2ab43b9beaefd84b52893ce3d0e9ac00ed4a,FAM00371,1,,COMPLETE,R1,medium,"0xd086d522c3e4e5b5545aa4c420ab1670718bdfa6: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=1466B meta=53B; reachable={'CALL': 2}; unguarded={'CALL': 2}; guards=2; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xd086d522c3e4e5b5545aa4c420ab1670718bdfa6,1519,25612653,42,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xd086d522c3e4e5b5545aa4c420ab1670718bdfa6.json,https://etherscan.io/address/0xd086d522c3e4e5b5545aa4c420ab1670718bdfa6,r1_case; label_changed_v1_R2_to_v2_R1
