review_id,contract_address,exact_bytecode_hash,bytecode_family_id,represented_contract_count,verified_project_name,coverage_status,llm_label,llm_confidence,llm_explanation,evidence_summary,decision,final_label,final_confidence,comment,llm_risk_categories,llm_uncertainties,represented_addresses,bytecode_length,first_observed_block,authorization_frequency,evidence_path,explorer_link,diagnostic_reasons,llm_evidence_detail,guard_semantics_observed,prompt_version
V2-0147,0xd8dae1184f8c9282256f4e0045309cba90cc566b,3396d804f6d9fb1377df1ff21a166373ce2fc3a9db5de391edda1ad135c83831,FAM00389,1,,COMPLETE,B,medium,0xd8dae1184f8c9282256f4e0045309cba90cc566b: reachable capabilities are protected by authorization checks under complete analysis.,"exec=3256B; reachable_dangerous=6; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=2 (strong=2); ecrecover=False; coverage=COMPLETE",,,,,,No verified source on Sourcify; conclusion rests on bytecode evidence only.,0xd8dae1184f8c9282256f4e0045309cba90cc566b,3309,25610936,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xd8dae1184f8c9282256f4e0045309cba90cc566b.json,https://etherscan.io/address/0xd8dae1184f8c9282256f4e0045309cba90cc566b,,"every reachable dangerous operation (CALLx6) is dominated by a caller or signature guard | guards: 2 strong (hardcoded_address_check, self_call_check)",hardcoded_address_check (msg.sender compared against a fixed address literal) | self_call_check (msg.sender == address(this)) — the canonical EIP-7702 pattern,v3
V2-0160,0xba5cbf753076129df72d2923f98913dc5bc19498,39c5565eb583c2d399a8832e9cff46e09e56ee277d76b3e3a54ba90c0fcf2a4f,FAM00344,1,SOURCIFY_VERIFIED_UNNAMED,COMPLETE,B,high,0xba5cbf753076129df72d2923f98913dc5bc19498: dangerous operations are either guard-dominated or restricted to fixed callee addresses under complete analysis.,"exec=10984B; reachable_dangerous=2; unguarded_dangerous=1; unguarded_targets(calldata=0,const=1,unresolved=0,critical=0); guards=6 (strong=6); ecrecover=False; coverage=COMPLETE",,,,,unguarded_call_to_fixed_callee,"Callee addresses are fixed, but calldata forwarded to those fixed callees was not modelled; a fixed callee that itself moves assets on behalf of the caller would not be distinguished here.",0xba5cbf753076129df72d2923f98913dc5bc19498,11037,25625144,45,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xba5cbf753076129df72d2923f98913dc5bc19498.json,https://etherscan.io/address/0xba5cbf753076129df72d2923f98913dc5bc19498,verified_source; label_changed_v1_B_to_v2_R2,"1 reachable unguarded call site(s), all to fixed constant callee addresses — the caller cannot redirect them | guards: 6 strong (hardcoded_address_check)",hardcoded_address_check (msg.sender compared against a fixed address literal),v3
V2-0185,0xb2004c53c80dd73026fae596645341d2e54f1a1a,42eb95cb2c1507c372c8bebd2f480d149bd7bbde63b8bd66d8b11ec2c8a3a8ec,FAM00330,1,SOURCIFY_VERIFIED_UNNAMED,COMPLETE,B,high,0xb2004c53c80dd73026fae596645341d2e54f1a1a: reachable capabilities are protected by authorization checks under complete analysis.,"exec=5879B; reachable_dangerous=1; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=1 (strong=1); ecrecover=False; coverage=COMPLETE",,,,,,,0xb2004c53c80dd73026fae596645341d2e54f1a1a,5932,25597689,6,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xb2004c53c80dd73026fae596645341d2e54f1a1a.json,https://etherscan.io/address/0xb2004c53c80dd73026fae596645341d2e54f1a1a,verified_source; label_changed_v1_B_to_v2_R2,every reachable dangerous operation (CALLx1) is dominated by a caller or signature guard | guards: 1 strong (hardcoded_address_check),hardcoded_address_check (msg.sender compared against a fixed address literal),v3
V2-0260,0x5d6c18590bdb438792e42fad8c76ed76d17a6b1a,5d5ca39d7dca490589755d72af26a1bcebe68c898867791a27719e43f8d4585d,FAM00202,1,,COMPLETE,B,medium,0x5d6c18590bdb438792e42fad8c76ed76d17a6b1a: dangerous operations are either guard-dominated or restricted to fixed callee addresses under complete analysis.,"exec=2087B; reachable_dangerous=4; unguarded_dangerous=1; unguarded_targets(calldata=0,const=1,unresolved=0,critical=0); guards=2 (strong=2); ecrecover=False; coverage=COMPLETE",,,,,unguarded_call_to_fixed_callee,"Callee addresses are fixed, but calldata forwarded to those fixed callees was not modelled; a fixed callee that itself moves assets on behalf of the caller would not be distinguished here. | No verified source on Sourcify; conclusion rests on bytecode evidence only.",0x5d6c18590bdb438792e42fad8c76ed76d17a6b1a,2140,25684369,3,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x5d6c18590bdb438792e42fad8c76ed76d17a6b1a.json,https://etherscan.io/address/0x5d6c18590bdb438792e42fad8c76ed76d17a6b1a,,"1 reachable unguarded call site(s), all to fixed constant callee addresses — the caller cannot redirect them | guards: 2 strong (hardcoded_address_check)",hardcoded_address_check (msg.sender compared against a fixed address literal),v3
V2-0364,0xe3014e9ab2739adef234b3829c79128746160178,87a66ba4ebdefb774b4e67e728971a13e99b351ee15a3fc5b1e46aff975d0c39,FAM00403,1,SOURCIFY_VERIFIED_UNNAMED,COMPLETE,B,high,0xe3014e9ab2739adef234b3829c79128746160178: reachable capabilities are protected by authorization checks under complete analysis.,"exec=7292B; reachable_dangerous=2; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=2 (strong=1); ecrecover=True; coverage=COMPLETE",,,,,,,0xe3014e9ab2739adef234b3829c79128746160178,7292,25595141,8136,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xe3014e9ab2739adef234b3829c79128746160178.json,https://etherscan.io/address/0xe3014e9ab2739adef234b3829c79128746160178,low_confidence; verified_source; label_changed_v1_B_to_v2_R2; no_recognizable_solidity_metadata,every reachable dangerous operation (CALLx2) is dominated by a caller or signature guard | guards: 1 strong (signature_authorization) | contract reaches ecrecover (signature-based authorization present),"signature_authorization (branch depends on an ecrecover result) | storage_condition (e.g. initialized flag, paused flag, or an authority slot)",v3
V2-0473,0x0593b065bdf6d60630a16d7900b3066c57b1f4ce,b3cbcb8b10d9ad8c08d5c5c7af0ab0b2014de02e673e118ac93d8571115abb04,FAM00025,1,,COMPLETE,B,medium,0x0593b065bdf6d60630a16d7900b3066c57b1f4ce: reachable capabilities are protected by authorization checks under complete analysis.,"exec=1434B; reachable_dangerous=1; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=2 (strong=2); ecrecover=True; coverage=COMPLETE",,,,,,No verified source on Sourcify; conclusion rests on bytecode evidence only.,0x0593b065bdf6d60630a16d7900b3066c57b1f4ce,1487,25654509,40,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0593b065bdf6d60630a16d7900b3066c57b1f4ce.json,https://etherscan.io/address/0x0593b065bdf6d60630a16d7900b3066c57b1f4ce,label_changed_v1_B_to_v2_R2,"every reachable dangerous operation (CALLx1) is dominated by a caller or signature guard | guards: 2 strong (hardcoded_address_check, signature_authorization) | contract reaches ecrecover (signature-based authorization present)",hardcoded_address_check (msg.sender compared against a fixed address literal) | signature_authorization (branch depends on an ecrecover result),v3
V2-0476,0x7ebcdcf1b56cfabe51d5238c9f8f17815a755835,b56a94223e0b777a06080de0a92f2853b294219be9c1acdd4a67ae144eda90a6,FAM00257,1,,COMPLETE,B,medium,0x7ebcdcf1b56cfabe51d5238c9f8f17815a755835: reachable capabilities are protected by authorization checks under complete analysis.,"exec=1996B; reachable_dangerous=2; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=4 (strong=2); ecrecover=False; coverage=COMPLETE",,,,,,No verified source on Sourcify; conclusion rests on bytecode evidence only.,0x7ebcdcf1b56cfabe51d5238c9f8f17815a755835,2049,25687735,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x7ebcdcf1b56cfabe51d5238c9f8f17815a755835.json,https://etherscan.io/address/0x7ebcdcf1b56cfabe51d5238c9f8f17815a755835,,every reachable dangerous operation (CALLx2) is dominated by a caller or signature guard | guards: 2 strong (hardcoded_address_check),"hardcoded_address_check (msg.sender compared against a fixed address literal) | storage_condition (e.g. initialized flag, paused flag, or an authority slot)",v3
V2-0521,0xbd06a46b6d7c058a0228170348d53c85b951c69f,c6ce4ef1d97ef0fd61802d6a6df4f52f9d7ec08622053993444f306e23b4c126,FAM00057,1,,COMPLETE,B,medium,0xbd06a46b6d7c058a0228170348d53c85b951c69f: reachable capabilities are protected by authorization checks under complete analysis.,"exec=2091B; reachable_dangerous=3; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=3 (strong=3); ecrecover=False; coverage=COMPLETE",,,,,,No verified source on Sourcify; conclusion rests on bytecode evidence only.,0xbd06a46b6d7c058a0228170348d53c85b951c69f,2144,25598707,2,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xbd06a46b6d7c058a0228170348d53c85b951c69f.json,https://etherscan.io/address/0xbd06a46b6d7c058a0228170348d53c85b951c69f,,every reachable dangerous operation (CALLx3) is dominated by a caller or signature guard | guards: 3 strong (hardcoded_address_check),hardcoded_address_check (msg.sender compared against a fixed address literal) | hardcoded_address_check (tx.origin compared against a fixed address literal),v3
V2-0580,0x47a51af4b3bc07a389e2f516308782d6e815fb1c,de39566d1247b0b30f2ff65078c714fce95cdfeb177abc580c8eb21925c19ed1,FAM00162,1,,COMPLETE,B,medium,0x47a51af4b3bc07a389e2f516308782d6e815fb1c: reachable capabilities are protected by authorization checks under complete analysis.,"exec=2618B; reachable_dangerous=1; unguarded_dangerous=0; unguarded_targets(calldata=0,const=0,unresolved=0,critical=0); guards=2 (strong=2); ecrecover=True; coverage=COMPLETE",,,,,,No verified source on Sourcify; conclusion rests on bytecode evidence only.,0x47a51af4b3bc07a389e2f516308782d6e815fb1c,2671,25623650,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x47a51af4b3bc07a389e2f516308782d6e815fb1c.json,https://etherscan.io/address/0x47a51af4b3bc07a389e2f516308782d6e815fb1c,label_changed_v1_B_to_v2_R2,"every reachable dangerous operation (CALLx1) is dominated by a caller or signature guard | guards: 2 strong (self_call_check, signature_authorization) | contract reaches ecrecover (signature-based authorization present)",self_call_check (msg.sender == address(this)) — the canonical EIP-7702 pattern | signature_authorization (branch depends on an ecrecover result),v3
V2-0015,0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df,06c86168dcb74cdb69a55e9ec0e95e56dce60d1239189f2211b9f7d2c8fcfce7,FAM00438,1,,COMPLETE,R1,medium,0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df: unprotected_call_to_caller_chosen_target — a dangerous operation is reachable with no dominating authorization check under complete coverage.,"exec=1813B; reachable_dangerous=4; unguarded_dangerous=4; unguarded_targets(calldata=2,const=2,unresolved=0,critical=0); guards=0 (strong=0); ecrecover=False; coverage=COMPLETE",,,,,unprotected_call_to_caller_chosen_target,,0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df,1866,25628095,2,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df.json,https://etherscan.io/address/0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df,r1_case; label_changed_v1_R2_to_v2_R1,"2 reachable call site(s) whose callee address is taken from calldata, on a path passing no caller or signature guard | the contract does contain 0 strong guard(s), but none dominates the paths above | control-flow coverage is COMPLETE, so this is an observed unprotected path rather than an unexplored region",,v3
