chain,address,proposed_label,confidence,review_path
ethereum,0x00000000383e8cbe298514674ea60ee1d1de50ac,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x00000000383e8cbe298514674ea60ee1d1de50ac.json
ethereum,0x000000005c84f8fd50b21cac312528a64437030e,R1,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x000000005c84f8fd50b21cac312528a64437030e.json
ethereum,0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x000000009b1d0af20d8c6d0a44e162d11f9b8f00.json
ethereum,0x0000fb7702036ff9f76044a501ac1aa74cbab16b,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x0000fb7702036ff9f76044a501ac1aa74cbab16b.json
ethereum,0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9.json
ethereum,0x03a46a241aa7073552652032aba85be46f647795,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x03a46a241aa7073552652032aba85be46f647795.json
ethereum,0x057c92bd351f01573d6ca9dfe23035f1b7aa9147,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x057c92bd351f01573d6ca9dfe23035f1b7aa9147.json
ethereum,0x05ae73c5925d843864ae6f261f3175de2ebcd963,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x05ae73c5925d843864ae6f261f3175de2ebcd963.json
ethereum,0x09b7496152fe1136ecfdc60d79d40f56837fecf8,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x09b7496152fe1136ecfdc60d79d40f56837fecf8.json
ethereum,0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f.json
ethereum,0x0e04736a85433445ef602d07946671685ec94647,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x0e04736a85433445ef602d07946671685ec94647.json
ethereum,0x144ad9513c77bd80ab6e6028f87777d848307b83,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x144ad9513c77bd80ab6e6028f87777d848307b83.json
ethereum,0x215142fefa83fc7909e9702dc0a76727aa040750,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x215142fefa83fc7909e9702dc0a76727aa040750.json
ethereum,0x217c037a79bc3a46f6bde8fd62bf5745afa1282b,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x217c037a79bc3a46f6bde8fd62bf5745afa1282b.json
ethereum,0x252fe07aff7bf7f39704a615b1b347827e90db7f,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x252fe07aff7bf7f39704a615b1b347827e90db7f.json
ethereum,0x27bfd156c8c0df64e6a863c589dc9593ddac3ee2,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x27bfd156c8c0df64e6a863c589dc9593ddac3ee2.json
ethereum,0x27dbd0e71b85700e29994d6d3a51f2e32442aa61,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x27dbd0e71b85700e29994d6d3a51f2e32442aa61.json
ethereum,0x2c6f01799fa9db1e7f2797e5ba892b72b865571d,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x2c6f01799fa9db1e7f2797e5ba892b72b865571d.json
ethereum,0x313ada1527318a5af4626ed9c841d7372ea6119a,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x313ada1527318a5af4626ed9c841d7372ea6119a.json
ethereum,0x34fff33dc9c0ead473a1878923b3858d8ed04dfb,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x34fff33dc9c0ead473a1878923b3858d8ed04dfb.json
