address,exact_bytecode_hash,bytecode_family_id,split_group,split,final_label,coverage_status,first_observed_block,label_origin,propagated_from
0x0000000015a9b5001fe0e565890040726bbacfac,84eff7b785648941a85cd3d3a9be859404443fec559bff35972f6fc4d77bc02e,FAM00002,addr:0x0000000015a9b5001fe0e565890040726bbacfac,val,B,COMPLETE,25652226,REVIEWED,0x0000000015a9b5001fe0e565890040726bbacfac
0x000000004f43c49e93c970e84001853a70923b03,8e52c6ccb2abb2bd02c2075b421773769b0d9b419c7746b057a9f03b8756913b,FAM00004,addr:0x000000004f43c49e93c970e84001853a70923b03,train,U,PARTIAL,25596782,REVIEWED,0x000000004f43c49e93c970e84001853a70923b03
0x0000004a25e070e8ca902cb5d6cb7c90dfd00000,4183591cc14f149380acb71646c7bf53ef8807b6eb3e34be62a25d10202b89ac,FAM00008,addr:0x0000004a25e070e8ca902cb5d6cb7c90dfd00000,train,R1,COMPLETE,25605928,REVIEWED,0x0000004a25e070e8ca902cb5d6cb7c90dfd00000
0x0000886f49de8c71a20f7f8cd681e2b8f0bb2982,7794d72b8421e3bfa53048aec9f0268ea5dc7c654efc5a9d942483406dba925c,FAM00011,addr:0x0000886f49de8c71a20f7f8cd681e2b8f0bb2982,val,R1,COMPLETE,25632480,REVIEWED,0x0000886f49de8c71a20f7f8cd681e2b8f0bb2982
0x0000fb7702036ff9f76044a501ac1aa74cbab16b,606cd1b1f80963a6a404106f3e00070fdaf55a80b8738fb50dc8bddd938e66c4,FAM00012,addr:0x0000fb7702036ff9f76044a501ac1aa74cbab16b,train,R1,COMPLETE,25595135,REVIEWED,0x0000fb7702036ff9f76044a501ac1aa74cbab16b
0x0055079c877f564f9f624a7b81a3479d8fd05500,56da422675139b3dfc07a7d9b8b3761712132021b2bdece039aa845edab661be,FAM00013,addr:0x0055079c877f564f9f624a7b81a3479d8fd05500,val,B,COMPLETE,25634645,REVIEWED,0x0055079c877f564f9f624a7b81a3479d8fd05500
0x0277aeea43656c969b3ed23e9700b52e1f94ed46,3d0646df81db0acf68e2924529be9df5366404269334bcc470231bf624fbdbb8,FAM00016,addr:0xfc1180ab6c2a341bde53887a7900b412c3daa7f3,train,U,PARTIAL,25609321,REVIEWED,0x0277aeea43656c969b3ed23e9700b52e1f94ed46
0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9,4151a6e2cfed240879be022ba71bb876e75ed366002d9ef070ba0af1773c0219,FAM00017,addr:0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9,train,B,COMPLETE,25595452,REVIEWED,0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9
0x029901e77902e3656ee7b207d04df5330c4450c7,936f67dc9f7d4c0a06671ac41b942271f51578ad931ea3e6cdbc949f02167452,FAM00018,addr:0x029901e77902e3656ee7b207d04df5330c4450c7,train,B,COMPLETE,25609023,REVIEWED,0x029901e77902e3656ee7b207d04df5330c4450c7
0x034304c387dd5bd1d129ccfc26680a8d2594db2a,f2d8e7a473f566aeac5dcd02ed92ea66f6df4044010846cc4fb2b534efa3c845,FAM00019,addr:0x034304c387dd5bd1d129ccfc26680a8d2594db2a,val,R1,COMPLETE,25625618,REVIEWED,0x034304c387dd5bd1d129ccfc26680a8d2594db2a
0x03a46a241aa7073552652032aba85be46f647795,0ddeb1aa552b0fa859b9ae58cb0fca74e8a575a4d3704951ffca5945da25c824,FAM00021,addr:0x03a46a241aa7073552652032aba85be46f647795,train,R1,COMPLETE,25622604,REVIEWED,0x03a46a241aa7073552652032aba85be46f647795
0x0593b065bdf6d60630a16d7900b3066c57b1f4ce,b3cbcb8b10d9ad8c08d5c5c7af0ab0b2014de02e673e118ac93d8571115abb04,FAM00025,addr:0x0593b065bdf6d60630a16d7900b3066c57b1f4ce,val,B,COMPLETE,25654509,REVIEWED,0x0593b065bdf6d60630a16d7900b3066c57b1f4ce
0x064f5c540e81c5c72c3542f785eecffd9e54aed7,97bd7a979abb7394e81ef23411ea8eff46bbcc782d385da9f3ffd217f0ecab72,FAM00027,addr:0x064f5c540e81c5c72c3542f785eecffd9e54aed7,val,U,PARTIAL,25650944,REVIEWED,0x064f5c540e81c5c72c3542f785eecffd9e54aed7
0x0786e216d94b5dae9bd0cc502c07c6f774808c93,505919fa18e0fa02d066666af85a9637adc9b9a51e086428d32914b87e22c1b9,FAM00028,addr:0x0786e216d94b5dae9bd0cc502c07c6f774808c93,test,B,COMPLETE,25681989,REVIEWED,0x0786e216d94b5dae9bd0cc502c07c6f774808c93
0x07917783be7a2cfc2cae7fe20c17ff9ae1c7b7cc,5f2a0319181691145dc1da09aedca38f9afa3ce0484a20a01b18c2676f5a8664,FAM00029,addr:0x07917783be7a2cfc2cae7fe20c17ff9ae1c7b7cc,val,B,COMPLETE,25636315,REVIEWED,0x07917783be7a2cfc2cae7fe20c17ff9ae1c7b7cc
0x07e24e265de698fb3b2b02315f70154619a184b0,3be9ea6eda486bddbed2a3e4a82bb1a36031744cb2ec48fc81ec842aff40b547,FAM00031,addr:0x07e24e265de698fb3b2b02315f70154619a184b0,val,R1,COMPLETE,25627829,REVIEWED,0x07e24e265de698fb3b2b02315f70154619a184b0
0x08a48a3ab05d0a6590c8efaf3f16d4245fa3363d,1a17843550c9dd00512c9d0fec83f79dc81d62ec6d507839c37ef457d53751db,FAM00016,addr:0xfc1180ab6c2a341bde53887a7900b412c3daa7f3,train,U,PARTIAL,25608707,REVIEWED,0x08a48a3ab05d0a6590c8efaf3f16d4245fa3363d
0x0a134aafaa7834fcc1d8b0ef1f3addf48f0005aa,c89ac525fa0d7b15f08688d33a40de690d23e04b94e9cf732848b8160d9f3e8b,FAM00035,addr:0x0a134aafaa7834fcc1d8b0ef1f3addf48f0005aa,val,B,COMPLETE,25659487,REVIEWED,0x0a134aafaa7834fcc1d8b0ef1f3addf48f0005aa
0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f,f913e50a87c1db956beb6338fd346396b1e9abfa943c11ae0039372511f3eaef,FAM00036,addr:0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f,train,R1,COMPLETE,25597089,REVIEWED,0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f
0x0a61ada69f98f4a9227afb8b91202e1a2a5ab54e,eaf52b161f97f5132277bb50c351339b5e1bbd53ed7010133f2f96ed5a9907ba,FAM00037,addr:0x0a61ada69f98f4a9227afb8b91202e1a2a5ab54e,val,B,COMPLETE,25655702,REVIEWED,0x0a61ada69f98f4a9227afb8b91202e1a2a5ab54e
0x0a6ef917a8d493350f7a5a414d15e93ec5fff2ce,7ff26c59de83f587466d491c9cb5c2fd504e6441e067244da89ca3ddaf00735d,FAM00016,addr:0xfc1180ab6c2a341bde53887a7900b412c3daa7f3,train,U,PARTIAL,25628003,REVIEWED,0x0a6ef917a8d493350f7a5a414d15e93ec5fff2ce
0x0b399090530a5884e387a08d718faf6b1f7bc41d,8ba5c96a825fcf744c59b15e4cd85317b8cfba4cc866febd62736ba02b4e039e,FAM00038,addr:0x0b399090530a5884e387a08d718faf6b1f7bc41d,train,B,COMPLETE,25601787,REVIEWED,0x0b399090530a5884e387a08d718faf6b1f7bc41d
0x0bb0599bec7ecaf592076672908e00d87a988934,075767e33c155e1b6f3d86dab12d63445bf7f923b27373001bae176baeed5951,FAM00042,addr:0x0bb0599bec7ecaf592076672908e00d87a988934,test,B,COMPLETE,25676624,REVIEWED,0x0bb0599bec7ecaf592076672908e00d87a988934
0x0c762fa05d775603c9bc4aed9824d746e4d9a5b0,3d54307eabcef83c14da6a0358b2387d93c1a334617c23940348b85ff22c593c,FAM00044,addr:0x0c762fa05d775603c9bc4aed9824d746e4d9a5b0,test,B,COMPLETE,25670936,REVIEWED,0x0c762fa05d775603c9bc4aed9824d746e4d9a5b0
0x0c864eab51c987b3719ad86ae0d1ca153a218cd0,21290aab04783f49e6d2ca72f42c09c315a24145001f75c0ab214bb8be8eaab4,FAM00045,addr:0x0c864eab51c987b3719ad86ae0d1ca153a218cd0,val,U,PARTIAL,25624609,REVIEWED,0x0c864eab51c987b3719ad86ae0d1ca153a218cd0
0x0cc2232f45de23c56327ab28321b575bcb0b4d55,ac9b89b9ed2d97d65971ef748626c9cbd8993f89fef3d1c2283cfa4d30d2877a,FAM00047,addr:0x0cc2232f45de23c56327ab28321b575bcb0b4d55,test,B,COMPLETE,25674330,REVIEWED,0x0cc2232f45de23c56327ab28321b575bcb0b4d55
0x0d51a448891cb68cc94942c295fe89d40d97aab1,d382ebb860a6f84bc86e0b77e7f45f72b0abcbc4b38f81ebaa540c7175045cda,FAM00048,addr:0x0d51a448891cb68cc94942c295fe89d40d97aab1,train,R1,COMPLETE,25611794,REVIEWED,0x0d51a448891cb68cc94942c295fe89d40d97aab1
0x0e83f7049e82b61251a4a296451ea286475cf918,16051991ac62d9e0d280e45bb7707732fa987038f45c0de0b658f54b9e40c263,FAM00016,addr:0xfc1180ab6c2a341bde53887a7900b412c3daa7f3,train,U,PARTIAL,25616223,REVIEWED,0x0e83f7049e82b61251a4a296451ea286475cf918
0x1108f0b04bff759f4af73dd55e49cfd9ab6a6511,d3958a7ea876c7462d875f82ac0494ef24261928a4da9e8976cf5092ab31e5e9,FAM00016,addr:0xfc1180ab6c2a341bde53887a7900b412c3daa7f3,train,U,PARTIAL,25609219,REVIEWED,0x1108f0b04bff759f4af73dd55e49cfd9ab6a6511
0x13e00e089f81ad9f36b655c9e9a07c6bf1489a5a,1ff79b9ea5418acb0ed028a0b4851f548fd29ea7698c3a56de025e1d61fc535c,FAM00056,addr:0x13e00e089f81ad9f36b655c9e9a07c6bf1489a5a,train,B,COMPLETE,25599554,REVIEWED,0x13e00e089f81ad9f36b655c9e9a07c6bf1489a5a
0x14dd7672e56b31f4bff67940056f4a105ece6b3d,1300551bc9b50be827a98656cd2d366798f796ef6a7751eeaecc79a0842f41ea,FAM00016,addr:0xfc1180ab6c2a341bde53887a7900b412c3daa7f3,train,U,PARTIAL,25615101,REVIEWED,0x14dd7672e56b31f4bff67940056f4a105ece6b3d
