normalized_bytecode_sha256,conflict_stage,original_index,address,chain,class,family_id,group_row_count,all_addresses,all_chains,all_classes,all_family_ids,label_provenance,different_accounts_or_contexts,evidence_assessment,decision
0ca5fb77e4789a27eb7cfe78004ee686bc4d9dda5cd9f7be0764f820a9075804,original,69,0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,optimism,malicious,F00008,4,0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,optimism;base;bnb;ethereum,benign_cleared;malicious,F00008,USENIX eoa_detect artifact positive,True,unresolved_binary_label_conflict,quarantine_entire_exact_bytecode_group
0ca5fb77e4789a27eb7cfe78004ee686bc4d9dda5cd9f7be0764f820a9075804,original,242,0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,base,malicious,F00008,4,0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,optimism;base;bnb;ethereum,benign_cleared;malicious,F00008,USENIX eoa_detect artifact positive,True,unresolved_binary_label_conflict,quarantine_entire_exact_bytecode_group
0ca5fb77e4789a27eb7cfe78004ee686bc4d9dda5cd9f7be0764f820a9075804,original,719,0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,bnb,malicious,F00008,4,0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,optimism;base;bnb;ethereum,benign_cleared;malicious,F00008,USENIX eoa_detect artifact positive,True,unresolved_binary_label_conflict,quarantine_entire_exact_bytecode_group
0ca5fb77e4789a27eb7cfe78004ee686bc4d9dda5cd9f7be0764f820a9075804,original,2676,0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,ethereum,benign_cleared,F00008,4,0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc;0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,optimism;base;bnb;ethereum,benign_cleared;malicious,F00008,USENIX rule-silent weak negative,True,unresolved_binary_label_conflict,quarantine_entire_exact_bytecode_group
188059c984f36334acb7836207df0d925d5809afc0522996f1732f1b449b454d,original,289,0xf0360a17c4211e87d592f4e15775860885e82047,base,malicious,F00095,3,0xf0360a17c4211e87d592f4e15775860885e82047;0x7b623047ae4c022ff9683b4f81b99756734d4c6e;0x87caaf8d711f7cfdec1c2d30070c65f25ee6907e,base;bnb;ethereum,benign_cleared;malicious,F00095,USENIX eoa_detect artifact positive,True,unresolved_binary_label_conflict,quarantine_entire_exact_bytecode_group
188059c984f36334acb7836207df0d925d5809afc0522996f1732f1b449b454d,original,631,0x7b623047ae4c022ff9683b4f81b99756734d4c6e,bnb,malicious,F00095,3,0xf0360a17c4211e87d592f4e15775860885e82047;0x7b623047ae4c022ff9683b4f81b99756734d4c6e;0x87caaf8d711f7cfdec1c2d30070c65f25ee6907e,base;bnb;ethereum,benign_cleared;malicious,F00095,USENIX eoa_detect artifact positive,True,unresolved_binary_label_conflict,quarantine_entire_exact_bytecode_group
188059c984f36334acb7836207df0d925d5809afc0522996f1732f1b449b454d,original,2472,0x87caaf8d711f7cfdec1c2d30070c65f25ee6907e,ethereum,benign_cleared,F00095,3,0xf0360a17c4211e87d592f4e15775860885e82047;0x7b623047ae4c022ff9683b4f81b99756734d4c6e;0x87caaf8d711f7cfdec1c2d30070c65f25ee6907e,base;bnb;ethereum,benign_cleared;malicious,F00095,USENIX rule-silent weak negative,True,unresolved_binary_label_conflict,quarantine_entire_exact_bytecode_group
1a3a594f51a400f912ddf8c8676fbaa484dc5f443f967175cffc92eb879a1134,original,1157,0xe07bbe773fad6f16a963c472284b7fb1c10ef7de,ethereum(implied),benign_general,F00443,2,0xe07bbe773fad6f16a963c472284b7fb1c10ef7de;0xc55fb074fb13116c979161cc797eeca144e3cf7b,ethereum(implied);base,benign_cleared;benign_general,F00443,general-contract benign-source subset,True,contextual_negative_subset_overlap,quarantine_entire_exact_bytecode_group
1a3a594f51a400f912ddf8c8676fbaa484dc5f443f967175cffc92eb879a1134,original,1916,0xc55fb074fb13116c979161cc797eeca144e3cf7b,base,benign_cleared,F00443,2,0xe07bbe773fad6f16a963c472284b7fb1c10ef7de;0xc55fb074fb13116c979161cc797eeca144e3cf7b,ethereum(implied);base,benign_cleared;benign_general,F00443,USENIX rule-silent weak negative,True,contextual_negative_subset_overlap,quarantine_entire_exact_bytecode_group
2c3f495c319db65c62bd60eb4e5f01ef8c423739549e56735e7c904770058642,original,295,0x289c9c58355e1a7d2b0ad4a5e8f2c3c961b48ae9,base,malicious,F00008,4,0x289c9c58355e1a7d2b0ad4a5e8f2c3c961b48ae9;0x289c9c58355e1a7d2b0ad4a5e8f2c3c961b48ae9;0x289c9c58355e1a7d2b0ad4a5e8f2c3c961b48ae9;0x289c9c58355e1a7d2b0ad4a5e8f2c3c961b48ae9,base;bnb;optimism;ethereum,benign_cleared;malicious,F00008,USENIX eoa_detect artifact positive,True,unresolved_binary_label_conflict,quarantine_entire_exact_bytecode_group
