original_index,chain,address,class,family_id,designator_target_address,row_represents,target_runtime_in_repository,repository_target_row_count,repository_runtime_row_count,target_runtime_appears_elsewhere_in_dataset,target_runtime_elsewhere_row_count,target_runtime_elsewhere_families,read_only_rpc_status,read_only_rpc_kind,runtime_recovery_source,recovered_runtime_sha256,recovered_runtime_bytes,task_alignment_decision
1682,optimism,0x88adce4c2acb8d0e047f4135ff0d313dd4972552,benign_cleared,F00706,0xc22efd7c592938a9ce328b6ed46ff54dc12e4d98,delegating_account,True,1,1,True,1,F00034,ok,runtime,repository_dataset_target_row,abd0d1fd90d98ac881b9337d3ab7735dba387a91ea8960e90499bd851ada3ae3,960,exclude_recovered_cross_family_exact_duplicate
1703,optimism,0x2e23c126921d5707e729ecf9d38b5e7819a0eb5f,benign_cleared,F00712,0x89046d34e70a65acab2152c26a0c8e493b5ba629,delegating_account,True,1,1,True,4,F00008,ok,runtime,repository_dataset_target_row,c47a30746e52176110850941ae888e6d38bc370b077eaaa5779a2cfd07cf14a7,3933,exclude_recovered_cross_family_exact_duplicate
1738,gnosis,0x16150f0ec93e5070cef2711fbba8dc3250463f28,benign_cleared,F00725,0x5f276a08efd2e8116888496e9288282ed9a68e1c,delegating_account,True,1,1,True,1,F00726,ok,runtime,repository_dataset_target_row,adadd8dff74134fe91c8649fe2ca48d5c83196463bd09a8977cc8ddd1abb685e,646,exclude_recovered_cross_family_exact_duplicate
1857,arbitrum,0x91da9fb23656b27264a0826686753d23abfb61a5,benign_cleared,F00712,0x89046d34e70a65acab2152c26a0c8e493b5ba629,delegating_account,True,1,1,True,1,F00008,ok,runtime,repository_dataset_target_row,4323ad493a78208938a5b1429b475a03c83f61621e55e9e6df369008692c2b03,3597,exclude_recovered_cross_family_exact_duplicate
1868,arbitrum,0xf519ba3d865cd0fe5a8a927aad1fa1345fe77d94,benign_cleared,F00760,0xb56c1b9d03ba4b3958092bfdd27b25cba02c5031,delegating_account,True,1,1,True,3,F00006,ok,runtime,repository_dataset_target_row,796026a55135dde4b5d0723acf7290a69f33c4b17783053d403e28585bc4e6c2,2267,exclude_recovered_cross_family_exact_duplicate
1883,arbitrum,0xc8c05410ccaace0ca07d4cf1a27e642943b407f4,benign_cleared,F00766,0x4add474e0537eef9698ca2e78e6fabd18547b8c5,delegating_account,True,1,1,True,4,F00746,ok,runtime,repository_dataset_target_row,fc216015b7061275a2b1f7540c2d875116e2494c24f0dc73ce1406767119b72a,2638,exclude_recovered_cross_family_exact_duplicate
1942,base,0xeb41d485bb7e714da845ffabd3b23d4b37caf611,benign_cleared,F00801,0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,delegating_account,True,1,1,True,1,F00215,ok,runtime,repository_dataset_target_row,0ef231a01382343b137789bd8e45336491030d1565d5b0ba6786302e024b1f22,11185,exclude_recovered_cross_family_exact_duplicate
2030,base,0x000000000001c30d5bf2c1ab85384cfb21a5894a,benign_cleared,F00839,0x47f84331e65a3dd345b36cf66bcb77d3bc564a41,delegating_account,True,1,1,True,1,F00773,ok,runtime,repository_dataset_target_row,7bc2374ba3ee6c343857b9b71a2a5dde73d1b07f44623cc41977c2a591cd4108,1336,exclude_recovered_cross_family_exact_duplicate
2075,base,0x12ec686dc07a9fa9a35827dbaaf4056d122bc1ec,benign_cleared,F00858,0x8891b8b0ea00da157a41177407da2e4e718f0849,delegating_account,True,1,1,True,2,F00669,ok,runtime,repository_dataset_target_row,020de30a9dbb811e7585287b142003a18c5d00e65e4588b7720bace61488a397,16382,exclude_recovered_cross_family_exact_duplicate
2120,base,0x4cd1a1c82e96c0b5ef2041cd3df2a9630bcba708,benign_cleared,F00868,0x7663fd40081dccd47805c00e613b6beac3b87f08,delegating_account,True,1,1,True,2,F00827,ok,runtime,repository_dataset_target_row,d5b7b44a46205815aec5c6969ba79881c79197604b138ae2c402f905719972f5,5230,exclude_recovered_cross_family_exact_duplicate
