anon_id,sid,chain,address,class,family_id,stratum,score,pred
Caef1be154106,arbitrum:0x6e0abca1f2b71787fcbf9b6e8e26397cd980893e,arbitrum,0x6e0abca1f2b71787fcbf9b6e8e26397cd980893e,malicious,F00020,random_positive,0.8309468030929565,1.0
Cbe587bea5f73,ethereum:0xb8165a3c9361e405aa21311883ad6388cd484215,ethereum,0xb8165a3c9361e405aa21311883ad6388cd484215,malicious,F00115,random_positive,0.2971882224082947,1.0
C88d88bad19b0,optimism:0xeed92ede46257477f6571f35fd458dbb46471a15,optimism,0xeed92ede46257477f6571f35fd458dbb46471a15,malicious,F00004,random_positive,0.0109902694821357,0.0
C97459382c4de,ethereum:0xfdee40030641b66a6af7a53eeedd4740fedb761c,ethereum,0xfdee40030641b66a6af7a53eeedd4740fedb761c,malicious,F00023,random_positive,0.8881089091300964,1.0
Cb2f09850dbc8,bnb:0x57bb9b8190048d8edacbcce9d7f1aa4dd057f328,bnb,0x57bb9b8190048d8edacbcce9d7f1aa4dd057f328,malicious,F00189,random_positive,0.2858224809169769,1.0
C2af347c633b9,polygon:0x895013bd5e4dec7df9ac9aa3d56e3764c625bdf3,polygon,0x895013bd5e4dec7df9ac9aa3d56e3764c625bdf3,malicious,F00004,random_positive,0.0022749926429241,0.0
C464679742197,bnb:0x14d73d9718e6395261d2971416118ff71186e94f,bnb,0x14d73d9718e6395261d2971416118ff71186e94f,malicious,F00120,random_positive,0.91055428981781,1.0
Cb8db5b6576c4,optimism:0xf738308d26d74b697b367cf2ac5ff8c0e08bcd66,optimism,0xf738308d26d74b697b367cf2ac5ff8c0e08bcd66,malicious,F00007,random_positive,0.1307853609323501,1.0
C94039532632c,ethereum:0x0000ee48d8540fe16c7e421fd6e61bdecb2748d7,ethereum,0x0000ee48d8540fe16c7e421fd6e61bdecb2748d7,malicious,F00013,random_positive,0.9441752433776855,1.0
C7f676e5fbed9,base:0x0dd61275ecd8666b3bfe77ff1ce17a98b542caad,base,0x0dd61275ecd8666b3bfe77ff1ce17a98b542caad,malicious,F00024,random_positive,0.9970753192901612,1.0
C6547cbad2bbc,base:0x24198745861cdd3d6bdb78e8d7fa55a87cad0122,base,0x24198745861cdd3d6bdb78e8d7fa55a87cad0122,malicious,F00022,random_positive,0.3279721140861511,1.0
C6db96da7cf68,arbitrum:0xf01b73819eb14ff5394727bcb6ea656bdddbbea6,arbitrum,0xf01b73819eb14ff5394727bcb6ea656bdddbbea6,malicious,F00031,random_positive,0.9866538643836976,1.0
C8046a5516c39,base:0xd2a4da69c5e4be9a540092bd27e0d2b3fe7d77a0,base,0xd2a4da69c5e4be9a540092bd27e0d2b3fe7d77a0,malicious,F00094,random_positive,0.0079584931954741,0.0
C1651c59363b8,arbitrum:0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,arbitrum,0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,malicious,F00008,random_positive,0.8855946660041809,1.0
Cb60d7e983a24,ethereum:0x6c69f2033bcfa81dae0af6d5dbf1b80378a987f2,ethereum,0x6c69f2033bcfa81dae0af6d5dbf1b80378a987f2,malicious,F00129,random_positive,0.6685840487480164,1.0
Cf5aacc5e4d5b,arbitrum:0x3d3562c4b60738ceee4d32f6d8234f27c4eb45d1,arbitrum,0x3d3562c4b60738ceee4d32f6d8234f27c4eb45d1,malicious,F00038,random_positive,0.9246527552604676,1.0
C077b4af5236d,ethereum:0x5f0393396359b58366049e7b11aa786de4c473fd,ethereum,0x5f0393396359b58366049e7b11aa786de4c473fd,malicious,F00008,random_positive,0.8855946660041809,1.0
C5ca854437267,polygon:0xc57a8d27297d19322ff8f3b9991039bed5ec70f1,polygon,0xc57a8d27297d19322ff8f3b9991039bed5ec70f1,malicious,F00046,random_positive,0.9915198683738708,1.0
Cdc428d78e116,gnosis:0x6a37601de01b14f80073471d58b958db5397705c,gnosis,0x6a37601de01b14f80073471d58b958db5397705c,malicious,F00023,random_positive,0.8186426758766174,1.0
