task,features,model,n_rows,positive_fraction,AUPRC_mean,AUPRC_sd,ROC_AUC_mean,ROC_AUC_sd,n_folds
original_primary_mal_vs_cleared,bytecode_length,logistic,2280,0.318859649122807,0.3541108996409818,0.10929115032865296,0.5454072726743797,0.05932945858193386,5
original_primary_mal_vs_cleared,bytecode_length,xgboost,2280,0.318859649122807,0.36976629407973965,0.0897061124689397,0.5525988077848174,0.05232557805396253,5
original_primary_mal_vs_cleared,opcode_count,logistic,2280,0.318859649122807,0.3534097160419287,0.10813825594424066,0.5559673738684026,0.06591806532067665,5
original_primary_mal_vs_cleared,opcode_count,xgboost,2280,0.318859649122807,0.420272521780727,0.14152945196586406,0.5962982663654792,0.08757056203018262,5
original_primary_mal_vs_cleared,metadata_presence,logistic,2280,0.318859649122807,0.34470037371207585,0.07576428167304684,0.5532147304881236,0.011946013835749588,5
original_primary_mal_vs_cleared,metadata_presence,xgboost,2280,0.318859649122807,0.34470037371207585,0.07576428167304684,0.5532147304881236,0.011946013835749588,5
original_primary_mal_vs_cleared,duplicate_group_size,logistic,2280,0.318859649122807,0.29852376102132216,0.060813518102857574,0.4402248414311489,0.05715951905438265,5
original_primary_mal_vs_cleared,duplicate_group_size,xgboost,2280,0.318859649122807,0.3448820427392972,0.07583894864416785,0.5173894799017154,0.05681467655617122,5
original_primary_mal_vs_cleared,family_size,logistic,2280,0.318859649122807,0.5144698814439955,0.2026802567630195,0.6189995933519526,0.11699936689727958,5
original_primary_mal_vs_cleared,family_size,xgboost,2280,0.318859649122807,0.46554002084277457,0.18493895981742536,0.5732981683782814,0.14671844792106115,5
original_primary_mal_vs_cleared,chain,logistic,2280,0.318859649122807,0.3303005651914793,0.08527762840210942,0.5054217430848471,0.03442187153763344,5
original_primary_mal_vs_cleared,chain,xgboost,2280,0.318859649122807,0.33031495368073005,0.08525571568839235,0.5056964041414156,0.03437690200008045,5
original_primary_mal_vs_cleared,all_trivial_no_chain,logistic,2280,0.318859649122807,0.5026500583066044,0.18402670978912186,0.6204639377147813,0.12457174961873566,5
original_primary_mal_vs_cleared,all_trivial_no_chain,xgboost,2280,0.318859649122807,0.42486227822166384,0.13056334665196145,0.6106281107795425,0.11855371987310721,5
original_primary_mal_vs_cleared,all_trivial_with_chain,logistic,2280,0.318859649122807,0.4768573100881751,0.17589730369086995,0.6197778989733924,0.12004522586717507,5
original_primary_mal_vs_cleared,all_trivial_with_chain,xgboost,2280,0.318859649122807,0.4038134464788777,0.13073928565471132,0.5923324450670426,0.09550367243187212,5
v2_primary_mal_vs_cleared,bytecode_length,logistic,2190,0.3319634703196347,0.35475724991834,0.10997694467740333,0.5183518483414595,0.06522012827475253,5
v2_primary_mal_vs_cleared,bytecode_length,xgboost,2190,0.3319634703196347,0.39469444403387766,0.08848400293835013,0.5510749878452392,0.07377515841552837,5
v2_primary_mal_vs_cleared,opcode_count,logistic,2190,0.3319634703196347,0.35412645157711375,0.10890762696354683,0.5295603612335242,0.07275041026876429,5
v2_primary_mal_vs_cleared,opcode_count,xgboost,2190,0.3319634703196347,0.4166154571705344,0.12994505585464455,0.5754520929614035,0.06935959432685192,5
v2_primary_mal_vs_cleared,metadata_presence,logistic,2190,0.3319634703196347,0.3448878870116494,0.07576075829508153,0.5265194293742141,0.00983020051510642,5
v2_primary_mal_vs_cleared,metadata_presence,xgboost,2190,0.3319634703196347,0.3448878870116494,0.07576075829508153,0.5265194293742141,0.00983020051510642,5
v2_primary_mal_vs_cleared,duplicate_group_size,logistic,2190,0.3319634703196347,0.3119522454250926,0.06092912469103319,0.4433977537083414,0.056379253129027945,5
v2_primary_mal_vs_cleared,duplicate_group_size,xgboost,2190,0.3319634703196347,0.3601720972675887,0.07622322745065147,0.5172199034495071,0.061320316646210904,5
v2_primary_mal_vs_cleared,family_size,logistic,2190,0.3319634703196347,0.5239381701729228,0.2043779577625906,0.6201033212403949,0.12129667591502519,5
v2_primary_mal_vs_cleared,family_size,xgboost,2190,0.3319634703196347,0.48006136324194754,0.2034372884558585,0.5842010658015102,0.15402914511043386,5
v2_primary_mal_vs_cleared,chain,logistic,2190,0.3319634703196347,0.35123371222351707,0.08675447349093747,0.5225079449591289,0.02598791288922552,5
v2_primary_mal_vs_cleared,chain,xgboost,2190,0.3319634703196347,0.35105230876290117,0.08683450259375206,0.521856765292453,0.025355751900052924,5
v2_primary_mal_vs_cleared,all_trivial_no_chain,logistic,2190,0.3319634703196347,0.5045011534256121,0.1858799690523738,0.5992660008948842,0.1264262980796239,5
v2_primary_mal_vs_cleared,all_trivial_no_chain,xgboost,2190,0.3319634703196347,0.3927018303010055,0.12333112870950275,0.5564688629416511,0.10318645643622779,5
v2_primary_mal_vs_cleared,all_trivial_with_chain,logistic,2190,0.3319634703196347,0.4762691628224345,0.17512507472206967,0.5981174291266516,0.12033393338106499,5
v2_primary_mal_vs_cleared,all_trivial_with_chain,xgboost,2190,0.3319634703196347,0.41323380268446763,0.1380714358212961,0.5762348102201618,0.12073868432172633,5
population_id_control_vs_primary_negatives,bytecode_length,logistic,2260,0.3526548672566372,0.5440458405783659,0.12400683739514733,0.6166255267981298,0.08895518153147612,5
population_id_control_vs_primary_negatives,bytecode_length,xgboost,2260,0.3526548672566372,0.5960756926901247,0.07695729503514304,0.6784317841167531,0.06261189868701109,5
population_id_control_vs_primary_negatives,opcode_count,logistic,2260,0.3526548672566372,0.5422379208003861,0.14244715523317533,0.6160812017315407,0.09541207927787261,5
population_id_control_vs_primary_negatives,opcode_count,xgboost,2260,0.3526548672566372,0.5288328824478886,0.07244206663793228,0.6532667236223416,0.041417078162154015,5
population_id_control_vs_primary_negatives,metadata_presence,logistic,2260,0.3526548672566372,0.4144415427276096,0.08243138933848117,0.5627600123870936,0.0637757959556605,5
population_id_control_vs_primary_negatives,metadata_presence,xgboost,2260,0.3526548672566372,0.4144415427276096,0.08243138933848117,0.5627600123870936,0.0637757959556605,5
population_id_control_vs_primary_negatives,duplicate_group_size,logistic,2260,0.3526548672566372,0.4463046470883847,0.04175699629083466,0.664583333390268,0.03724491807771836,5
population_id_control_vs_primary_negatives,duplicate_group_size,xgboost,2260,0.3526548672566372,0.4463046470883847,0.04175699629083466,0.664583333390268,0.03724491807771839,5
population_id_control_vs_primary_negatives,family_size,logistic,2260,0.3526548672566372,0.34460193231507164,0.10269004278432374,0.3795035873365557,0.08881358582521419,5
population_id_control_vs_primary_negatives,family_size,xgboost,2260,0.3526548672566372,0.4429385722782098,0.08828776144345808,0.5975170355579461,0.0724838312662154,5
population_id_control_vs_primary_negatives,chain,logistic,2260,0.3526548672566372,1.0,0.0,1.0,0.0,5
population_id_control_vs_primary_negatives,chain,xgboost,2260,0.3526548672566372,1.0,0.0,1.0,0.0,5
population_id_control_vs_primary_negatives,all_trivial_no_chain,logistic,2260,0.3526548672566372,0.5702423166534281,0.06353485438167084,0.7467993693735556,0.03909878407024093,5
population_id_control_vs_primary_negatives,all_trivial_no_chain,xgboost,2260,0.3526548672566372,0.6927897202178287,0.052768710326903515,0.7732648324448389,0.09924115958617953,5
population_id_control_vs_primary_negatives,all_trivial_with_chain,logistic,2260,0.3526548672566372,1.0,1.1102230246251565e-16,1.0,4.965068306494546e-17,5
population_id_control_vs_primary_negatives,all_trivial_with_chain,xgboost,2260,0.3526548672566372,1.0,0.0,1.0,0.0,5
