model,seed,fold,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
hist_ngram_xgb,7702,0,2.4310617446899414,,0.7513715186778913,0.6407535051363449,0.3918351901162161,0.7922066035020778,0.8596379341210169,0.15786193202319965,0.2894736842105263,0.006802721088435374,0.34868421052631576,0.006802721088435374,0.5,0.047619047619047616
dense_only,7702,0,2.3938210010528564,0.6503554550884514,0.8122504486990945,0.7138213057573117,0.6318983450620523,0.5268788015471552,0.5322793591120658,0.2323386185361779,0.05263157894736842,0.0,0.21710526315789475,0.05782312925170068,0.2631578947368421,0.08503401360544217
ngram_only,7702,0,3.088163137435913,0.8002004560320282,0.8541727767022154,0.7349097743312654,0.5099947017476707,0.7122684881857292,0.8095797529538131,0.1984478275764757,0.19736842105263158,0.006802721088435374,0.3815789473684211,0.05782312925170068,0.4342105263157895,0.1054421768707483
flat_cnn,7702,0,1.5378146171569824,0.8991433429157754,0.8081257297029767,0.6540539803369094,0.5242874432606521,0.8077903076325096,0.8773608127461511,0.15973460980895693,0.375,0.02040816326530612,0.5,0.034013605442176874,0.5394736842105263,0.04081632653061224
bigru,7702,0,3.6596620082855225,0.664499837044929,0.8757215861886546,0.7496089522065423,0.6156341644574645,0.7676022762447897,0.8769244539921233,0.14527559099813697,0.013157894736842105,0.0,0.23026315789473684,0.017006802721088437,0.35526315789473684,0.07142857142857142
transformer,7702,0,2.4850313663482666,0.6329612241406308,0.8158895666554993,0.7129725464186004,0.6533039004148105,0.5640440229593934,0.7478405836018618,0.20697547106994266,0.019736842105263157,0.006802721088435374,0.27631578947368424,0.10204081632653061,0.3026315789473684,0.20068027210884354
authguard_seq,7702,0,1.243552327156067,0.956129226000771,0.9862283710248347,0.7485119850143137,0.2983363700280558,0.8240338961924845,0.886155119942714,0.1538455452288841,0.27631578947368424,0.006802721088435374,0.5723684210526315,0.030612244897959183,0.5789473684210527,0.05442176870748299
hist_ngram_xgb,7702,1,1.5303634405136108,,0.8787852331723796,0.3225230529455267,0.2020336290089628,0.8441162648926454,0.9074657534246575,0.11770462948037252,0.3493150684931507,0.01,0.7534246575342466,0.12,0.8013698630136986,0.18333333333333332
dense_only,7702,1,2.7288434505462646,0.8039386370438562,0.9219550247001215,0.6920580881570644,0.5517279755078345,0.5751537907493158,0.7449543378995434,0.19686022977777357,0.0,0.0033333333333333335,0.3424657534246575,0.12,0.4520547945205479,0.15333333333333332
ngram_only,7702,1,1.5463428497314453,0.9079015131204152,0.9621675892677484,0.7803040342954888,0.2986959542100372,0.770137715089944,0.8885159817351599,0.13678024370412364,0.13013698630136986,0.006666666666666667,0.541095890410959,0.05,0.7465753424657534,0.16333333333333333
flat_cnn,7702,1,1.8719462156295776,0.9279364586823654,0.947363720738406,0.40875322626726984,0.30422000638848457,0.9081717873770111,0.9443835616438355,0.08079057501447189,0.3561643835616438,0.0033333333333333335,0.8493150684931506,0.09666666666666666,0.8561643835616438,0.15
bigru,7702,1,2.946927070617676,0.8542151688806687,0.8997311810261208,0.5232357742559686,0.39685918761244576,0.8213574159010787,0.8939269406392695,0.11351975168179412,0.19863013698630136,0.0,0.678082191780822,0.08,0.7602739726027398,0.10333333333333333
transformer,7702,1,2.5414514541625977,0.5532631328181304,0.8360736795659724,0.7730584018432278,0.7119724546967326,0.5695674573878721,0.7217123287671232,0.2059610842678402,0.07534246575342465,0.0033333333333333335,0.2191780821917808,0.04,0.2671232876712329,0.11
authguard_seq,7702,1,1.7076808214187622,0.9498042554823793,0.9062508024300082,0.21869975545622825,0.020847162203525376,0.9191573851546746,0.9703881278538813,0.055289152173164484,0.589041095890411,0.013333333333333334,0.8698630136986302,0.05,0.9657534246575342,0.13
hist_ngram_xgb,7702,2,1.0770620107650757,,0.845470326859377,0.36027446863501694,0.36027446863501694,0.8217500612556782,0.8991195891415995,0.15730455218084405,0.41379310344827586,0.014184397163120567,0.5172413793103449,0.0851063829787234,0.5172413793103449,0.0851063829787234
dense_only,7702,2,1.1886804103851318,0.6932503102767035,0.9134941399298802,0.7755259104867663,0.6409092295604377,0.6563992992719344,0.837882122768403,0.17830181346713705,0.11724137931034483,0.0425531914893617,0.5172413793103449,0.09574468085106383,0.8206896551724138,0.24468085106382978
ngram_only,7702,2,2.140125274658203,0.8529160402541697,0.9272118723944631,0.7461831652609655,0.7363714141372731,0.9160758788752619,0.959598923942284,0.06860812564390548,0.22758620689655173,0.010638297872340425,0.9241379310344827,0.0673758865248227,0.9241379310344827,0.0673758865248227
flat_cnn,7702,2,1.809931755065918,0.8766345879070623,0.754129178554451,0.6055915498225779,0.4086138131920416,0.9265858742621147,0.95155294693079,0.09085365383805935,0.5310344827586206,0.014184397163120567,0.6,0.01773049645390071,0.6620689655172414,0.02127659574468085
bigru,7702,2,1.874364972114563,0.7998483333492357,0.9467438132047661,0.5884904213448601,0.19777554541877607,0.7821789051631801,0.8685497676693569,0.14726443702946868,0.31724137931034485,0.01773049645390071,0.6758620689655173,0.12411347517730496,0.8413793103448276,0.2198581560283688
transformer,7702,2,3.60436749458313,0.5264026187391484,0.8517067251496963,0.7844677209884467,0.7307200197336573,0.5690059355523461,0.6937637564196625,0.2155900694798421,0.041379310344827586,0.0070921985815602835,0.2413793103448276,0.05673758865248227,0.3310344827586207,0.09219858156028368
authguard_seq,7702,2,0.9454805850982666,0.990712369312845,0.8618329046963983,0.522321412636055,0.3036089950190771,0.9541395705152163,0.9810467106872095,0.05056764220505858,0.8758620689655172,0.031914893617021274,0.8827586206896552,0.05319148936170213,0.903448275862069,0.05319148936170213
hist_ngram_xgb,7702,3,2.458563804626465,,0.8879302326954823,0.5980496471504075,0.44219805120582417,0.7965814112325201,0.930897272340684,0.0889294357402928,0.053763440860215055,0.0,0.4731182795698925,0.01694915254237288,0.7419354838709677,0.13559322033898305
