source,condition,model,metric,recomputed,reported,difference
baseline_v2,clean,authguard_seq,AUPRC,0.9244479428258328,0.9244479428258328,0.0
baseline_v2,clean,authguard_seq,Recall@1%,0.5691287288392824,0.5691287288392826,-1.1102230246251565e-16
baseline_v2,clean,authguard_seq,Recall@5%,0.8326676628011823,0.8326676628011823,0.0
baseline_v2,clean,authguard_seq,Recall@10%,0.9171523916791259,0.917152391679126,-1.1102230246251565e-16
baseline_v2,clean,authguard_seq,Brier,0.07198092751072627,0.0719809275107262,6.938893903907228e-17
baseline_v2,clean,flat_cnn,AUPRC,0.8851973997149355,0.8851973997149355,0.0
baseline_v2,clean,flat_cnn,Recall@1%,0.47409720726818877,0.4740972072681887,5.551115123125783e-17
baseline_v2,clean,flat_cnn,Recall@5%,0.711806975472304,0.711806975472304,0.0
baseline_v2,clean,flat_cnn,Recall@10%,0.7904002620998473,0.7904002620998473,0.0
baseline_v2,clean,flat_cnn,Brier,0.09940769612025697,0.0994076961202569,6.938893903907228e-17
baseline_v2,clean,hist_ngram_xgb,AUPRC,0.8333278618794067,0.8333278618794067,0.0
baseline_v2,clean,hist_ngram_xgb,Recall@1%,0.32001202995583394,0.3200120299558339,5.551115123125783e-17
baseline_v2,clean,hist_ngram_xgb,Recall@5%,0.6152720992363089,0.6152720992363089,0.0
baseline_v2,clean,hist_ngram_xgb,Recall@10%,0.7086570646200024,0.7086570646200027,-2.220446049250313e-16
baseline_v2,clean,hist_ngram_xgb,Brier,0.12698331031953222,0.1269833103195322,2.7755575615628914e-17
robustness_operational_v2,M0,authguard_seq,AUPRC,0.9323929056872453,0.9323929056872452,1.1102230246251565e-16
robustness_operational_v2,M0,authguard_seq,Recall@1%,0.5096802791293799,0.5096802791293799,0.0
robustness_operational_v2,M0,authguard_seq,Recall@5%,0.8506696707823148,0.8506696707823148,0.0
robustness_operational_v2,M0,authguard_seq,Recall@10%,0.921052012549319,0.921052012549319,0.0
robustness_operational_v2,M0,authguard_seq,Brier,0.06676771324458183,0.0667677132445818,2.7755575615628914e-17
robustness_operational_v2,M0,flat_cnn,AUPRC,0.8898439229001416,0.8898439229001416,0.0
robustness_operational_v2,M0,flat_cnn,Recall@1%,0.4784459631721741,0.4784459631721742,-1.1102230246251565e-16
robustness_operational_v2,M0,flat_cnn,Recall@5%,0.7150182397767736,0.7150182397767736,0.0
robustness_operational_v2,M0,flat_cnn,Recall@10%,0.7906113768020492,0.7906113768020492,0.0
robustness_operational_v2,M0,flat_cnn,Brier,0.1001923718148206,0.1001923718148205,9.71445146547012e-17
robustness_operational_v2,M0,hist_ngram_xgb,AUPRC,0.8333278618794067,0.8333278618794067,0.0
robustness_operational_v2,M0,hist_ngram_xgb,Recall@1%,0.32001202995583394,0.3200120299558339,5.551115123125783e-17
robustness_operational_v2,M0,hist_ngram_xgb,Recall@5%,0.6152720992363089,0.6152720992363089,0.0
