seed,fold,model,threshold_05
7702,0,chunk_attention_16384,0.7640870495746263
7702,0,chunk_mean_16384,0.3804260667356455
7702,0,flat_control_16384,0.4466666210010837
7702,0,flat_cnn_aug,0.6540705484512623
7702,0,hist_ngram_xgb_aug,0.606263447203401
7702,0,authguard_seq_aug,0.22298221500909188
7702,1,chunk_attention_16384,0.38715117325348275
7702,1,chunk_mean_16384,0.7435387098358894
7702,1,flat_control_16384,0.7070790744239968
7702,1,flat_cnn_aug,0.5852154891703607
7702,1,hist_ngram_xgb_aug,0.34597017603392133
7702,1,authguard_seq_aug,0.8621239532072791
7702,2,chunk_attention_16384,0.019701446821216252
7702,2,chunk_mean_16384,0.4909121965963017
7702,2,flat_control_16384,0.21824754459048787
7702,2,flat_cnn_aug,0.7913477987038644
7702,2,hist_ngram_xgb_aug,0.43229826860782133
7702,2,authguard_seq_aug,0.2491196199609485
7702,3,chunk_attention_16384,0.29250484418603245
7702,3,chunk_mean_16384,0.7840959281025064
7702,3,flat_control_16384,0.6439338691875924
7702,3,flat_cnn_aug,0.9218509876091
7702,3,hist_ngram_xgb_aug,0.610693196676531
7702,3,authguard_seq_aug,0.7739081029808672
7702,4,chunk_attention_16384,0.3541773195627438
7702,4,chunk_mean_16384,0.5554224851786402
7702,4,flat_control_16384,0.22710801167814573
7702,4,flat_cnn_aug,0.7445302884072234
7702,4,hist_ngram_xgb_aug,0.4190994978067403
7702,4,authguard_seq_aug,0.18429738530229767
