seed,fold,model,threshold_05
7703,0,authguard_seq,0.3464789047288749
7703,0,flat_cnn,0.46398780666294126
7703,0,hist_ngram_xgb,0.6257745647429633
7703,1,authguard_seq,0.8889403704922315
7703,1,flat_cnn,0.21649538912532135
7703,1,hist_ngram_xgb,0.26327758931568973
7703,2,authguard_seq,0.16754442634905384
7703,2,flat_cnn,0.5444639665116111
7703,2,hist_ngram_xgb,0.48671697405373215
7703,3,authguard_seq,0.4361997626684763
7703,3,flat_cnn,0.7756929435949822
7703,3,hist_ngram_xgb,0.5650366947242512
7703,4,authguard_seq,0.38828269232936785
7703,4,flat_cnn,0.4309205388152474
7703,4,hist_ngram_xgb,0.33011954680787725
