seed,fold,model,threshold_05
7704,0,chunk_attention_16384,0.2691951053869812
7704,0,chunk_mean_16384,0.5904944790914226
7704,0,flat_control_16384,0.7953075667211804
7704,1,chunk_attention_16384,0.2273778638558499
7704,1,chunk_mean_16384,0.8425323063004416
7704,1,flat_control_16384,0.7244352124654949
7704,2,chunk_attention_16384,0.053472966805392395
7704,2,chunk_mean_16384,0.5393229717277619
7704,2,flat_control_16384,0.46618201499820955
7704,3,chunk_attention_16384,0.9299985668663215
7704,3,chunk_mean_16384,0.7821027996545644
7704,3,flat_control_16384,0.7880349524351944
7704,4,chunk_attention_16384,0.413169637210756
7704,4,chunk_mean_16384,0.4829780608799763
7704,4,flat_control_16384,0.29700697564511425
