seed,fold,model,threshold_05
7704,0,chunk_attention_16384,0.46299069424195377
7704,0,chunk_mean_16384,0.5423063217165232
7704,0,flat_control_16384,0.7953074113200418
7704,1,chunk_attention_16384,0.274496558688098
7704,1,chunk_mean_16384,0.6539672649532838
7704,1,flat_control_16384,0.7043699838665709
7704,2,chunk_attention_16384,0.343067707922707
7704,2,chunk_mean_16384,0.5809024206295932
7704,2,flat_control_16384,0.46618249320989086
7704,3,chunk_attention_16384,0.9165378488810473
7704,3,chunk_mean_16384,0.7803995719001016
7704,3,flat_control_16384,0.7880349344559922
7704,4,chunk_attention_16384,0.446836612875511
7704,4,chunk_mean_16384,0.4782512297335476
7704,4,flat_control_16384,0.2970069447507264
