sid,chain,address,bytecode_sha256,code_bytes,opcode_count,label,class,family_id,outer_fold_primary,outer_fold_secondary,label_provenance,external_call_surface,state_write_surface,delegate_proxy_surface,token_movement_selector_surface,approval_selector_surface,code_lifecycle_surface,exact_duplicate_count,bytecode_group_id
optimism:0x7196f386cd5adfa125895540450c77bdcf0534b3,optimism,0x7196f386cd5adfa125895540450c77bdcf0534b3,3a74e32a1cb5f6546de5a463165d45bbb59d62911cdaca6d9ee81103b236a892,5140,2815,1,malicious,F00001,2.0,4.0,task_aligned_dataset_v1,1,0,0,0,0,0,1,B3a74e32a1cb5f654
optimism:0x2f1211e38436327cc90408565ea2f16dfc082600,optimism,0x2f1211e38436327cc90408565ea2f16dfc082600,a03472dcd8cc59fce2b73b4ae9a6b562f9e14e2bdddbb3ee81c9c60aedc8e656,2860,1911,1,malicious,F00002,4.0,1.0,task_aligned_dataset_v1,1,1,0,1,0,1,1,Ba03472dcd8cc59fc
optimism:0xbe7ae1e53867f9f1778c8b728b533c00900a38be,optimism,0xbe7ae1e53867f9f1778c8b728b533c00900a38be,ceeff27f8597adb8ee5059f4f125c5952009aa45a23cef8adea71aac1820dba2,1764,970,1,malicious,F00003,1.0,0.0,task_aligned_dataset_v1,1,1,0,1,0,1,1,Bceeff27f8597adb8
optimism:0x24592cb8b7ec813a5eaeb73e5503322d2b93a878,optimism,0x24592cb8b7ec813a5eaeb73e5503322d2b93a878,c35ade1ef391b20f1dcf078ad6e69014968ff8e6b1368f78d13ee3d49cbbd380,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Bc35ade1ef391b20f
optimism:0xef0852258381dfbf20144ed38899d489935fa038,optimism,0xef0852258381dfbf20144ed38899d489935fa038,42093b0a819d169b29bbc510f03f0343b9479a20d9b70833d53c7af838620eb7,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B42093b0a819d169b
optimism:0x68d333198c60c8160848437b2870f3a5be693107,optimism,0x68d333198c60c8160848437b2870f3a5be693107,818f6b0c538182cf95cdfe484e427c7efa6c1b394a7d84cd96e84c6fb48171bd,15629,8779,1,malicious,F00005,4.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B818f6b0c538182cf
optimism:0xc0403282ba280a6670f469c136aaad86b780e098,optimism,0xc0403282ba280a6670f469c136aaad86b780e098,a1672dcf35e8043c2a56af03d28a5b60e73968156ad60261a0e139c19ffb3adf,2267,1388,1,malicious,F00006,4.0,1.0,task_aligned_dataset_v1,1,1,0,0,0,0,3,Ba1672dcf35e8043c
optimism:0xf738308d26d74b697b367cf2ac5ff8c0e08bcd66,optimism,0xf738308d26d74b697b367cf2ac5ff8c0e08bcd66,1b4bcd55f62ef30caaafcca289ae0ebbc571717d32a33073d99442c152f906c9,2900,1631,1,malicious,F00007,4.0,0.0,task_aligned_dataset_v1,1,1,0,0,0,1,1,B1b4bcd55f62ef30c
optimism:0x22f0db4f3292807d919497802d951e30aa281f4f,optimism,0x22f0db4f3292807d919497802d951e30aa281f4f,d44e290a54f41344e452c410ba6bf4c475ac1f787618b1561a758ce49358cbaa,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Bd44e290a54f41344
optimism:0x89046d34e70a65acab2152c26a0c8e493b5ba629,optimism,0x89046d34e70a65acab2152c26a0c8e493b5ba629,c47a30746e52176110850941ae888e6d38bc370b077eaaa5779a2cfd07cf14a7,3933,2264,1,malicious,F00008,2.0,2.0,task_aligned_dataset_v1,1,0,0,1,0,1,4,Bc47a30746e521761
optimism:0xbd8aac1ab758af1bfe61c3ae2f94e792b5134fed,optimism,0xbd8aac1ab758af1bfe61c3ae2f94e792b5134fed,ed9f4d88a3b26df36f063f9e5e6042ae19e4a3c654412681b45e922637b86a3b,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Bed9f4d88a3b26df3
optimism:0x128f99fc9bfda7c53a2707c16997fdb56b77cd89,optimism,0x128f99fc9bfda7c53a2707c16997fdb56b77cd89,b378ce14d3df6abd08754921670e7f0cdc4e2faeafc19bb6cd0f379f50268766,3324,2249,1,malicious,F00002,4.0,1.0,task_aligned_dataset_v1,1,1,0,1,0,1,1,Bb378ce14d3df6abd
optimism:0x095bc36d7d1cf990fc7ccb5f62c45163c37d03a5,optimism,0x095bc36d7d1cf990fc7ccb5f62c45163c37d03a5,2913a33171611391564a0f807e7b36ac49a3d9516cfa544e35e0558b82699c9d,2352,1389,1,malicious,F00010,2.0,3.0,task_aligned_dataset_v1,1,0,0,0,0,0,3,B2913a33171611391
optimism:0x6a6d07ad4815fdee627c0e4bdbc475c3e1629ab8,optimism,0x6a6d07ad4815fdee627c0e4bdbc475c3e1629ab8,5ee55563d5056e029c1d0cf17d5324dfe9ca786949f6597b153d5220097c1b45,2639,1621,1,malicious,F00011,4.0,3.0,task_aligned_dataset_v1,1,0,1,0,0,0,1,B5ee55563d5056e02
optimism:0x480ac71ed6be1b8d7ae18d323e42a16384918e91,optimism,0x480ac71ed6be1b8d7ae18d323e42a16384918e91,1d53e4c2edb17cd3eb96d62b35563b317a8c72e103ad734829f8557df29d106b,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B1d53e4c2edb17cd3
optimism:0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,optimism,0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,109eb49852af0d441cee155cdf98fe40927735b80ab9756819dae9666aa25f75,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B109eb49852af0d44
optimism:0x5bb4e04d6732c665ca924e6830b32731229fff6f,optimism,0x5bb4e04d6732c665ca924e6830b32731229fff6f,b6d571f49a21f30bb9b76f8331051a408056bb6628f488975c87fc25a4efaf4d,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Bb6d571f49a21f30b
optimism:0x824aa93717c8d4d9cb1e213a9c02c726b947f774,optimism,0x824aa93717c8d4d9cb1e213a9c02c726b947f774,a9d1565495b143b97ecbe827048b93c138c139d2c0e4ca73077804feccd6c201,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Ba9d1565495b143b9
optimism:0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,optimism,0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,d8940623952d3e87ca06c5ad5901c32a94d5861995a6c636879f2f414191c4a8,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Bd8940623952d3e87
optimism:0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,optimism,0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,7c62b3d8a24ff5e926c8d7a27de6b06804c307e76f3a1410cbdc414cc39221ab,3165,1731,1,malicious,F00013,4.0,1.0,task_aligned_dataset_v1,1,0,0,1,0,0,3,B7c62b3d8a24ff5e9
optimism:0x20dd86b35eedce9159808218a57f8f622849c635,optimism,0x20dd86b35eedce9159808218a57f8f622849c635,788d61d06f27a9f10f9e9e9438fb50f17470f7428548789b16d866b0aff3e96f,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B788d61d06f27a9f1
optimism:0x7b6ae45cbfcbcb2e31ec405b0bfe82cb2595fbeb,optimism,0x7b6ae45cbfcbcb2e31ec405b0bfe82cb2595fbeb,b423598e16ff93f8edb4c287fbe1b3e07823250b66be27ed4084482724fce36b,5654,3499,1,malicious,F00014,4.0,4.0,task_aligned_dataset_v1,1,1,0,1,0,1,1,Bb423598e16ff93f8
optimism:0xa213798e20fd04a31e468a93ddf2703364803a21,optimism,0xa213798e20fd04a31e468a93ddf2703364803a21,355b2eb1b1e3f5dc353f067e77217492efcf81d1c96af1bf9cb1ec6f2fb68d1d,6430,3482,1,malicious,F00015,2.0,1.0,task_aligned_dataset_v1,1,0,0,1,0,0,2,B355b2eb1b1e3f5dc
optimism:0x3447d54e4358e306d58e5bbfc3a19d728d53f78e,optimism,0x3447d54e4358e306d58e5bbfc3a19d728d53f78e,a6cd454883dd7b28b2a92d5bd67ea387072a626bb54f6b704839ec7d4938c7bc,252,169,1,malicious,F00016,1.0,2.0,task_aligned_dataset_v1,1,0,0,0,0,0,4,Ba6cd454883dd7b28
optimism:0xd24371bbe7c248597705b5b6ac753025dc2d2619,optimism,0xd24371bbe7c248597705b5b6ac753025dc2d2619,b673b3ff29899f84674d3a25eca8de133680c9393686ba5df61e6e5ba6a36e80,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Bb673b3ff29899f84
optimism:0x22da339cb99b917cf861ddfdc5c255a4d7df4036,optimism,0x22da339cb99b917cf861ddfdc5c255a4d7df4036,09c96deb64bce94b098c9fdc151c4f11bdfd27c008e7b1957c09764984d2bf1e,3273,1806,1,malicious,F00017,3.0,3.0,task_aligned_dataset_v1,1,0,0,0,0,0,1,B09c96deb64bce94b
optimism:0x281f3e79775f61cccfc7b7c3eacdc4f15a7f3252,optimism,0x281f3e79775f61cccfc7b7c3eacdc4f15a7f3252,9e2b181e6c915666f68c79f2fdebe4451ac49bfef7ee54b21f2bd0354819d822,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B9e2b181e6c915666
optimism:0x043661a263719880069c2adb5bf625eb4b7b5db7,optimism,0x043661a263719880069c2adb5bf625eb4b7b5db7,c881c3e6a1bd115adb522fab8442d65743c104ab5a6afedc382e797cc891fba1,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Bc881c3e6a1bd115a
optimism:0x5f0393396359b58366049e7b11aa786de4c473fd,optimism,0x5f0393396359b58366049e7b11aa786de4c473fd,b53140f0c09e95faf1e1269260712ba74e925385eb987e7205e8e4a40caec1dd,3597,2164,1,malicious,F00008,2.0,2.0,task_aligned_dataset_v1,1,0,0,1,0,0,4,Bb53140f0c09e95fa
optimism:0xaa6491c5071d91e4fc398d512ba5f78f62e2b100,optimism,0xaa6491c5071d91e4fc398d512ba5f78f62e2b100,9f05626185fbf733fb4972df802181530cfa4db5034ade38e1da81de89e1b780,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B9f05626185fbf733
optimism:0xb6252af4c3561714c187aa1c0a7b1f0ec2e70053,optimism,0xb6252af4c3561714c187aa1c0a7b1f0ec2e70053,aa351fd9c57bc1804676e9d5a18f0de9c8e2f46dd3e7476838eda02a4c85c57e,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Baa351fd9c57bc180
optimism:0x280c17a6c6819a718cf883c1c822cc68e73a20fc,optimism,0x280c17a6c6819a718cf883c1c822cc68e73a20fc,c2cad1117fc4abd2061f461eab662042c0810be100d2d5912e8318deb689c27b,2805,1859,1,malicious,F00002,4.0,1.0,task_aligned_dataset_v1,1,1,1,1,0,1,2,Bc2cad1117fc4abd2
optimism:0x761dc36a52733214423d04f4dcd84083e15d3735,optimism,0x761dc36a52733214423d04f4dcd84083e15d3735,95e441f470d2c3c9c6f2c5d94b5e271944d3d5ff230c089e8f4078f19fe838f5,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B95e441f470d2c3c9
optimism:0x2d274da31b0ef851c58333e066304ca763cbc2de,optimism,0x2d274da31b0ef851c58333e066304ca763cbc2de,ecd1599cb52a1e81a036339bb1507052bda9e310cc880fdfde197bb0cf16e5a9,2081,1137,1,malicious,F00003,1.0,0.0,task_aligned_dataset_v1,1,0,0,1,0,0,3,Becd1599cb52a1e81
optimism:0x653c2018585b155586026d383044cb6683fc2ae4,optimism,0x653c2018585b155586026d383044cb6683fc2ae4,987947a8ad3e388d9ec60980969df8e49e30bc2703f6502c1cf61fe799d904f0,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B987947a8ad3e388d
optimism:0x916a0b8fdc003c43213b7abc50fcb85a17ce6a6b,optimism,0x916a0b8fdc003c43213b7abc50fcb85a17ce6a6b,42478f73759871dd72b93f78d563cd584dadc6c025298c352a61457ec88186aa,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B42478f73759871dd
optimism:0x6d7a717bf4932925e1098e92dcc627cc965277db,optimism,0x6d7a717bf4932925e1098e92dcc627cc965277db,5ee33c65aa7a3c4942afb4813e502e7c8e42879656b316564be243f4597f9b82,6430,3485,1,malicious,F00015,2.0,1.0,task_aligned_dataset_v1,1,0,0,1,0,0,1,B5ee33c65aa7a3c49
optimism:0x3a1605d52b511aaa3860e56e1dd3bacdaf6868f9,optimism,0x3a1605d52b511aaa3860e56e1dd3bacdaf6868f9,edac5fbcafea2208dbeb1e19ca749ea7915c3c2f1c6055db11ecdd735377d706,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,Bedac5fbcafea2208
optimism:0x5988a86fc66edb1cf559dc64fef7c18868e64350,optimism,0x5988a86fc66edb1cf559dc64fef7c18868e64350,ac9d4950f5971fe905f7271dac74b300899eb822e9c2c3e9d715d23fc923ea79,5619,3170,1,malicious,F00019,2.0,2.0,task_aligned_dataset_v1,1,0,0,0,0,0,1,Bac9d4950f5971fe9
optimism:0xf443cf137ca01732500ccfc77c7b17f99a44dc30,optimism,0xf443cf137ca01732500ccfc77c7b17f99a44dc30,65455ea2043f2f95daf8b7e9f0b4e09b8cc6b86acba8c5af4cd6bea65b3d8995,2906,1928,1,malicious,F00002,4.0,1.0,task_aligned_dataset_v1,1,1,0,1,0,1,1,B65455ea2043f2f95
optimism:0xeaa6aa358ee796dbc038b9424301eebb8e0570b8,optimism,0xeaa6aa358ee796dbc038b9424301eebb8e0570b8,5caa9d105f919bb13fd50d8218657d58eabe2281589e4f64372c20caf5bd5fca,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B5caa9d105f919bb1
optimism:0x35fbf40e41574dfa6c0b799ca1018d9cc7d84c60,optimism,0x35fbf40e41574dfa6c0b799ca1018d9cc7d84c60,67b8c3eb1c39a4857642c0c7675cc349475fdcb8341c87d07600011960785f06,2035,1087,1,malicious,F00020,3.0,3.0,task_aligned_dataset_v1,1,0,0,1,0,0,5,B67b8c3eb1c39a485
optimism:0xd5544306da905a4a811fc8dbf78c4a0ac2ae84bd,optimism,0xd5544306da905a4a811fc8dbf78c4a0ac2ae84bd,159baeeb72949883387443d5f6fa04c49a23078225cb5dcf6df786e3e628656d,1104,687,1,malicious,F00021,1.0,1.0,task_aligned_dataset_v1,1,0,1,1,0,0,1,B159baeeb72949883
optimism:0x036be4f87fc09257284d44ff095a19e192903cb2,optimism,0x036be4f87fc09257284d44ff095a19e192903cb2,4f250fee144698ce85ac01107a9ac61050c024231d2e0841addcab0454c3bb3e,889,462,1,malicious,F00004,0.0,0.0,task_aligned_dataset_v1,1,1,1,0,0,0,1,B4f250fee144698ce
optimism:0xae3c3839280afe3310c4cd5de9adb434965917a3,optimism,0xae3c3839280afe3310c4cd5de9adb434965917a3,e1acd6922ab687d5f755d8e74327e16bf81abb099d0379cdba4a217e518e82b0,5163,2827,1,malicious,F00001,2.0,4.0,task_aligned_dataset_v1,1,0,0,0,0,0,1,Be1acd6922ab687d5
