model,condition,AUPRC,AUPRC,Recall_01,Recall_01,Recall_05,Recall_05,Recall_10,Recall_10,FPR_01,FPR_01,FPR_05,FPR_05,FPR_10,FPR_10,Brier,Brier
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dense_only,F200,0.4445092535278494,0.12785005170484817,0.03167265601293,0.03930207865009512,0.08854707422798634,0.0428878222175174,0.17348606170853637,0.08884683136569217,0.008025019877885519,0.008026720065601376,0.0215506611805269,0.013888306979966177,0.07860896872059212,0.034013852122435684,0.23597731328234722,0.021933234466087977
dense_only,M3F200,0.41814160202668804,0.11776495783232412,0.01751200548469612,0.021551884649448204,0.049554998896129,0.029390984196118387,0.11965111727531381,0.05758320609941707,0.007712606022160199,0.007985605918877363,0.02576046738321658,0.012949298230486584,0.07744263650302248,0.03503325788337656,0.24009037916587078,0.021759815645188706
dense_only,benign_general,,,,,,,,,0.058381669778012846,0.10659850737074245,0.0732149294933201,0.10985039330644314,0.10929851715724141,0.10889434283998765,0.10429140357006324,0.07817114126414144
dense_only,cleanM0,0.6376530758658019,0.1056534166341839,0.1301807649301605,0.07532776822561438,0.31585908265859647,0.10763444930699202,0.45539568400845243,0.15786331179659693,0.02008960168522118,0.01511826663291911,0.055104768664779334,0.033145967622593975,0.12022108684028884,0.06538017819404417,0.1802810359168223,0.04446067416589795
fusion_consistent,F200,0.7061536423465019,0.13171725452354135,0.14144791688548802,0.10583104795198867,0.5472708210388347,0.17997896712595118,0.6521871224764813,0.14530383441742598,0.00825201436178274,0.005277964492371472,0.09060945181337617,0.04555906044564826,0.14456262293670658,0.07823185973978705,0.15798318405187978,0.03167856140804869
fusion_consistent,M3F200,0.7184242493235122,0.1441215452490386,0.1285018401024321,0.09849496802869803,0.5789840796695394,0.19949934938386074,0.6710303428103461,0.15606976659125626,0.00794868911145996,0.003515177689194115,0.08268719490188894,0.02940210585765641,0.1422794265465946,0.07417131635287404,0.15330672853841,0.0429057194306983
fusion_consistent,benign_general,,,,,,,,,0.0082138327968003,0.011926119623765141,0.05710430613950096,0.030476559433721222,0.09301852690026906,0.05603065091674153,0.055883732327359215,0.04422360000844051
fusion_consistent,cleanM0,0.8331221064212977,0.12205027302114338,0.3436757993246929,0.20180522008945498,0.7906885483342542,0.20314810276291712,0.8546655371099231,0.19414159182339982,0.013577515399386958,0.01406670047873948,0.06742127814178632,0.029547125973798424,0.10256031879831315,0.04023593822229931,0.09503285031859857,0.04876937056903898
fusion_multitask,F200,0.593408684682158,0.14940919696639873,0.03806517158369418,0.029168412909642883,0.16961602025416064,0.0839499476722972,0.2835188683403598,0.14273276104484092,0.00254980566126044,0.004152750880397195,0.03109468416263254,0.01795437940237795,0.058443599086694095,0.023319101713871342,0.20605473938414492,0.04460929027947633
fusion_multitask,M3F200,0.5905077306106312,0.13267471552503715,0.03426665454962196,0.030748786094648452,0.17378947650163962,0.0634504818833743,0.27512584150068314,0.11194124964883957,0.00392012057830166,0.0014712273910868667,0.03478587187198824,0.015506385648546488,0.06769489329054908,0.02933530820260264,0.20773135548065347,0.04406233120336281
fusion_multitask,benign_general,,,,,,,,,0.00970637011023314,0.013357160192242513,0.02460876411996766,0.020935123701861458,0.041720971321688935,0.0324144577116374,0.04269644128533996,0.028384291312196434
fusion_multitask,cleanM0,0.807847596142907,0.14706422879407285,0.3585216718362992,0.27992098750514227,0.6781550258927825,0.24310612062274453,0.7868676025768735,0.1991798498591479,0.015248400361024001,0.013590019466674255,0.06565419213123154,0.030935870938316137,0.10276896217546069,0.017592747499179988,0.11512379573231493,0.05246647715578537
