model,seed,fold,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
hist_ngram_xgb,7702,0,2.4310617446899414,,0.7513715186778913,0.6407535051363449,0.3918351901162161,0.7922066035020778,0.8596379341210169,0.1578619320231996,0.2894736842105263,0.0068027210884353,0.3486842105263157,0.0068027210884353,0.5,0.0476190476190476
dense_only,7702,0,2.3938210010528564,0.6503554550884514,0.8122504486990945,0.7138213057573117,0.6318983450620523,0.5268788015471552,0.5322793591120658,0.2323386185361779,0.0526315789473684,0.0,0.2171052631578947,0.0578231292517006,0.2631578947368421,0.0850340136054421
ngram_only,7702,0,3.088163137435913,0.8002004560320282,0.8541727767022154,0.7349097743312654,0.5099947017476707,0.7122684881857292,0.8095797529538131,0.1984478275764757,0.1973684210526315,0.0068027210884353,0.3815789473684211,0.0578231292517006,0.4342105263157895,0.1054421768707483
flat_cnn,7702,0,1.5378146171569824,0.8991433429157754,0.8081257297029767,0.6540539803369094,0.5242874432606521,0.8077903076325096,0.8773608127461511,0.1597346098089569,0.375,0.0204081632653061,0.5,0.0340136054421768,0.5394736842105263,0.0408163265306122
bigru,7702,0,3.6596620082855225,0.664499837044929,0.8757215861886546,0.7496089522065423,0.6156341644574645,0.7676022762447897,0.8769244539921233,0.1452755909981369,0.0131578947368421,0.0,0.2302631578947368,0.0170068027210884,0.3552631578947368,0.0714285714285714
transformer,7702,0,2.4850313663482666,0.6329612241406308,0.8158895666554993,0.7129725464186004,0.6533039004148105,0.5640440229593934,0.7478405836018618,0.2069754710699426,0.0197368421052631,0.0068027210884353,0.2763157894736842,0.1020408163265306,0.3026315789473684,0.2006802721088435
authguard_seq,7702,0,1.243552327156067,0.956129226000771,0.9862283710248348,0.7485119850143137,0.2983363700280558,0.8240338961924845,0.886155119942714,0.1538455452288841,0.2763157894736842,0.0068027210884353,0.5723684210526315,0.0306122448979591,0.5789473684210527,0.0544217687074829
hist_ngram_xgb,7702,1,1.5303634405136108,,0.8787852331723796,0.3225230529455267,0.2020336290089628,0.8441162648926454,0.9074657534246576,0.1177046294803725,0.3493150684931507,0.01,0.7534246575342466,0.12,0.8013698630136986,0.1833333333333333
dense_only,7702,1,2.7288434505462646,0.8039386370438562,0.9219550247001216,0.6920580881570644,0.5517279755078345,0.5751537907493158,0.7449543378995434,0.1968602297777735,0.0,0.0033333333333333,0.3424657534246575,0.12,0.4520547945205479,0.1533333333333333
ngram_only,7702,1,1.546342849731445,0.9079015131204152,0.9621675892677484,0.7803040342954888,0.2986959542100372,0.770137715089944,0.8885159817351599,0.1367802437041236,0.1301369863013698,0.0066666666666666,0.541095890410959,0.05,0.7465753424657534,0.1633333333333333
flat_cnn,7702,1,1.8719462156295776,0.9279364586823654,0.947363720738406,0.4087532262672698,0.3042200063884845,0.9081717873770112,0.9443835616438356,0.0807905750144718,0.3561643835616438,0.0033333333333333,0.8493150684931506,0.0966666666666666,0.8561643835616438,0.15
bigru,7702,1,2.946927070617676,0.8542151688806687,0.8997311810261208,0.5232357742559686,0.3968591876124457,0.8213574159010787,0.8939269406392695,0.1135197516817941,0.1986301369863013,0.0,0.678082191780822,0.08,0.7602739726027398,0.1033333333333333
transformer,7702,1,2.5414514541625977,0.5532631328181304,0.8360736795659724,0.7730584018432278,0.7119724546967326,0.5695674573878721,0.7217123287671232,0.2059610842678402,0.0753424657534246,0.0033333333333333,0.2191780821917808,0.04,0.2671232876712329,0.11
authguard_seq,7702,1,1.7076808214187622,0.9498042554823792,0.9062508024300082,0.2186997554562282,0.0208471622035253,0.9191573851546746,0.9703881278538812,0.0552891521731644,0.589041095890411,0.0133333333333333,0.8698630136986302,0.05,0.9657534246575342,0.13
hist_ngram_xgb,7702,2,1.0770620107650757,,0.845470326859377,0.3602744686350169,0.3602744686350169,0.8217500612556782,0.8991195891415995,0.157304552180844,0.4137931034482758,0.0141843971631205,0.5172413793103449,0.0851063829787234,0.5172413793103449,0.0851063829787234
dense_only,7702,2,1.1886804103851318,0.6932503102767035,0.9134941399298802,0.7755259104867663,0.6409092295604377,0.6563992992719344,0.837882122768403,0.178301813467137,0.1172413793103448,0.0425531914893617,0.5172413793103449,0.0957446808510638,0.8206896551724138,0.2446808510638297
ngram_only,7702,2,2.140125274658203,0.8529160402541697,0.9272118723944632,0.7461831652609655,0.7363714141372731,0.916075878875262,0.959598923942284,0.0686081256439054,0.2275862068965517,0.0106382978723404,0.9241379310344828,0.0673758865248227,0.9241379310344828,0.0673758865248227
flat_cnn,7702,2,1.809931755065918,0.8766345879070623,0.754129178554451,0.6055915498225779,0.4086138131920416,0.9265858742621148,0.95155294693079,0.0908536538380593,0.5310344827586206,0.0141843971631205,0.6,0.0177304964539007,0.6620689655172414,0.0212765957446808
bigru,7702,2,1.874364972114563,0.7998483333492357,0.946743813204766,0.5884904213448601,0.197775545418776,0.7821789051631801,0.8685497676693569,0.1472644370294686,0.3172413793103448,0.0177304964539007,0.6758620689655173,0.1241134751773049,0.8413793103448276,0.2198581560283688
transformer,7702,2,3.60436749458313,0.5264026187391484,0.8517067251496963,0.7844677209884467,0.7307200197336573,0.5690059355523461,0.6937637564196625,0.2155900694798421,0.0413793103448275,0.0070921985815602,0.2413793103448276,0.0567375886524822,0.3310344827586207,0.0921985815602836
authguard_seq,7702,2,0.9454805850982666,0.990712369312845,0.8618329046963983,0.522321412636055,0.3036089950190771,0.9541395705152164,0.9810467106872096,0.0505676422050585,0.8758620689655172,0.0319148936170212,0.8827586206896552,0.0531914893617021,0.903448275862069,0.0531914893617021
hist_ngram_xgb,7702,3,2.458563804626465,,0.8879302326954823,0.5980496471504075,0.4421980512058241,0.7965814112325201,0.930897272340684,0.0889294357402928,0.053763440860215,0.0,0.4731182795698925,0.0169491525423728,0.7419354838709677,0.135593220338983
dense_only,7702,3,3.374975204467773,0.8405778568029424,0.8546945143334437,0.8151293422765895,0.7620952021803358,0.6088020632085682,0.8531377194581131,0.1368920139989015,0.1397849462365591,0.0112994350282485,0.3333333333333333,0.0451977401129943,0.5591397849462365,0.0790960451977401
ngram_only,7702,3,2.666398048400879,0.92253781842136,0.8911172194694094,0.7829125595185047,0.519659708477605,0.8216673310619927,0.9543466375068343,0.0814808913356709,0.2580645161290322,0.0112994350282485,0.6666666666666666,0.0338983050847457,0.946236559139785,0.1327683615819209
flat_cnn,7702,3,2.3249757289886475,0.9447484009499884,0.8364490812722652,0.6463497681461416,0.5487175978111987,0.8450648197853731,0.9494562906263287,0.0732220734045482,0.4193548387096774,0.0141242937853107,0.6774193548387096,0.0480225988700565,0.7311827956989247,0.0508474576271186
bigru,7702,3,2.9801158905029297,0.7695919915767029,0.7791607933357888,0.6303093647322844,0.5082633203417204,0.6902995394050605,0.9267662960937976,0.0967432428711775,0.2365591397849462,0.0169491525423728,0.4086021505376344,0.0310734463276836,0.6129032258064516,0.0508474576271186
transformer,7702,3,3.714712858200073,0.7517394925645705,0.6813314782000836,0.6579930948070367,0.6479741748919714,0.2987088193890758,0.6532713686896301,0.2778466491103664,0.021505376344086,0.0112994350282485,0.1290322580645161,0.0932203389830508,0.2150537634408602,0.0988700564971751
authguard_seq,7702,3,1.4455090761184692,0.9700092986593504,0.9709437708076292,0.9026250040847972,0.6499811686262096,0.933868565334826,0.9787983719093616,0.1152995472550156,0.3548387096774194,0.0,0.7741935483870968,0.0423728813559322,0.978494623655914,0.1666666666666666
hist_ngram_xgb,7702,4,3.458652973175049,,0.5732812555809721,0.311442417810936,0.2708837415630493,0.8870682041016738,0.9321618767274116,0.1359150398290408,0.5497382198952879,0.0171673819742489,0.8795811518324608,0.1502145922746781,0.8795811518324608,0.1759656652360515
dense_only,7702,4,5.577650547027588,0.5357685146002231,0.7268156661040684,0.7047504159124851,0.6374106711563469,0.7572431487950652,0.777273442239849,0.2015747728478241,0.1623036649214659,0.0042918454935622,0.3246073298429319,0.0429184549356223,0.4816753926701571,0.1201716738197424
ngram_only,7702,4,3.60643482208252,0.6440133460316974,0.7389925614600974,0.5868991928759174,0.4631554860158463,0.8657140398167069,0.924634294317237,0.134951049669779,0.1675392670157068,0.0171673819742489,0.675392670157068,0.1158798283261802,0.806282722513089,0.1201716738197424
flat_cnn,7702,4,2.223781108856201,0.8361568532847816,0.8304369688882329,0.7138020089344489,0.6021736011784573,0.9293264439664218,0.9574523065860728,0.0921098195328796,0.643979057591623,0.0085836909871244,0.8272251308900523,0.0772532188841201,0.8952879581151832,0.1158798283261802
bigru,7702,4,0.7093265652656555,0.5174114463061431,0.6739923227610924,0.5881304978444243,0.5538254115321308,0.6583635617166383,0.7403321124418578,0.2034767163972818,0.0104712041884816,0.0042918454935622,0.2094240837696335,0.055793991416309,0.2617801047120419,0.111587982832618
transformer,7702,4,2.313151836395264,0.5820490695438882,0.8083768956420974,0.7348005293261453,0.6704757883888096,0.600682379793149,0.7080870952520054,0.2212135082967192,0.0157068062827225,0.0128755364806866,0.1047120418848167,0.0643776824034334,0.2146596858638743,0.1502145922746781
authguard_seq,7702,4,2.320378541946411,0.8709766305496203,0.886589726311204,0.5002514573783041,0.25985172512555,0.948543037596338,0.9715974203986248,0.0605974208616387,0.8638743455497382,0.0343347639484978,0.9738219895287958,0.0815450643776824,0.9895287958115184,0.2103004291845493
hist_ngram_xgb,7703,0,2.616794347763061,,0.7623238445186705,0.625774562839952,0.4210151831795981,0.7701551338438071,0.8349109380594344,0.160462033619524,0.2828947368421052,0.0068027210884353,0.3684210526315789,0.0068027210884353,0.4868421052631579,0.0476190476190476
