task,model,seed,fold,threshold,splitter,split,selected_C,inner_selection_AUPRC
primary,hash_xgb,7702,0,0.1316637247800827,StratifiedGroupKFold,family,,
primary,hash_xgb,7702,1,0.20013077557086945,StratifiedGroupKFold,family,,
primary,hash_xgb,7702,2,0.1233382597565651,StratifiedGroupKFold,family,,
primary,hash_xgb,7702,3,0.06914599239826202,StratifiedGroupKFold,family,,
primary,hash_xgb,7702,4,0.06698749959468842,StratifiedGroupKFold,family,,
primary,hash_xgb,7703,0,0.20731638371944427,StratifiedGroupKFold,family,,
primary,hash_xgb,7703,1,0.25251010060310364,StratifiedGroupKFold,family,,
primary,hash_xgb,7703,2,0.09419100731611252,StratifiedGroupKFold,family,,
primary,hash_xgb,7703,3,0.09315952658653259,StratifiedGroupKFold,family,,
primary,hash_xgb,7703,4,0.20405374467372894,StratifiedGroupKFold,family,,
primary,hash_xgb,7704,0,0.16726364195346832,StratifiedGroupKFold,family,,
primary,hash_xgb,7704,1,0.34006109833717346,StratifiedGroupKFold,family,,
primary,hash_xgb,7704,2,0.03924574702978134,StratifiedGroupKFold,family,,
primary,hash_xgb,7704,3,0.05821914225816727,StratifiedGroupKFold,family,,
primary,hash_xgb,7704,4,0.21073725819587708,StratifiedGroupKFold,family,,
primary,hash_xgb,7705,0,0.09056701511144638,StratifiedGroupKFold,family,,
primary,hash_xgb,7705,1,0.1497209519147873,StratifiedGroupKFold,family,,
primary,hash_xgb,7705,2,0.14388075470924377,StratifiedGroupKFold,family,,
primary,hash_xgb,7705,3,0.18400485813617706,StratifiedGroupKFold,family,,
primary,hash_xgb,7705,4,0.14188756048679352,StratifiedGroupKFold,family,,
primary,hash_xgb,7706,0,0.13706086575984955,StratifiedGroupKFold,family,,
primary,hash_xgb,7706,1,0.21544907987117767,StratifiedGroupKFold,family,,
primary,hash_xgb,7706,2,0.10889777541160583,StratifiedGroupKFold,family,,
primary,hash_xgb,7706,3,0.10687994211912155,StratifiedGroupKFold,family,,
primary,hash_xgb,7706,4,0.13002678751945496,StratifiedGroupKFold,family,,
,tfidf_lr,7702,0,0.3543068907688646,StratifiedGroupKFold,,10.0,0.7513833429133987
,tfidf_lr,7702,1,0.29070735446100876,StratifiedGroupKFold,,10.0,0.6891328602957154
,tfidf_lr,7702,2,0.30668474798998974,StratifiedGroupKFold,,10.0,0.7305343189967991
,tfidf_lr,7702,3,0.2863663102219333,StratifiedGroupKFold,,10.0,0.7588302450350279
,tfidf_lr,7702,4,0.19178032712147658,StratifiedGroupKFold,,10.0,0.6609372349110404
