theta,tag,seed,fold,model,n_test,n_positive,n_negative,n_test_families,AUPRC,AUROC,Brier,threshold_05,recall_at_5pct_nominal_fpr,realized_fpr_at_threshold,positive_rate
0.85,theta085,7704,0,authguard_seq,462,176,286,163,0.9408130802137943,0.9690281309599491,0.061645259496706656,0.8396317966685867,0.5568181818181818,0.024475524475524476,0.38095238095238093
0.85,theta085,7704,0,emulator_logreg,462,176,286,163,0.9659651192246784,0.9821996185632549,0.047649757274451,0.7969111779176588,0.875,0.06993006993006994,0.38095238095238093
0.85,theta085,7704,1,authguard_seq,431,137,294,153,0.9450461800347164,0.9862704205769899,0.0363234756862035,0.592273615040864,0.9927007299270073,0.047619047619047616,0.31786542923433875
0.85,theta085,7704,1,emulator_logreg,431,137,294,153,0.9156005616333087,0.9666070807885198,0.05363306669747322,0.7755189596978492,0.7664233576642335,0.05782312925170068,0.31786542923433875
0.85,theta085,7704,2,authguard_seq,433,156,277,157,0.9609191958019248,0.9826899935203185,0.04446299358210756,0.23698473757305688,0.9871794871794872,0.07220216606498195,0.36027713625866054
0.85,theta085,7704,2,emulator_logreg,433,156,277,157,0.9447401894238083,0.9722530778487457,0.0582413256964994,0.7583170159244678,0.6153846153846154,0.018050541516245487,0.36027713625866054
0.85,theta085,7704,3,authguard_seq,438,108,330,157,0.9196873750322379,0.9695286195286196,0.0785987620104725,0.6397626426863381,0.9166666666666666,0.13636363636363635,0.2465753424657534
0.85,theta085,7704,3,emulator_logreg,438,108,330,157,0.9178725483450246,0.9782828282828283,0.047599270913763446,0.808365970563104,0.7222222222222222,0.01818181818181818,0.2465753424657534
0.85,theta085,7704,4,authguard_seq,426,150,276,160,0.9588588334281383,0.9876207729468598,0.06652894152028391,0.1875710622755108,0.98,0.043478260869565216,0.352112676056338
0.85,theta085,7704,4,emulator_logreg,426,150,276,160,0.8690067365383215,0.9505434782608695,0.08396777971123502,0.8561029301589052,0.7533333333333333,0.05434782608695652,0.352112676056338
