label,contrast,method,left_ASR_on_common,right_ASR_on_common,difference,ci_low,ci_high,excludes_zero,n_common_observations,n_paired_eligible,n_families_eligible,bootstrap_replicates,theta,seed,scope,estimator,sd_across_seeds,n_seeds,min_seed_effect,max_seed_effect,all_seeds_positive,all_seed_cis_exclude_zero,n_sources
famthresh_theta080_seed7702,emulator_logreg - authguard_seq,random_search,0.6396917148362236,0.23892100192678228,0.4007707129094412,0.25,0.5350473142546776,True,727.0,519.0,133.0,10000.0,0.8,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta080_seed7702,emulator_logreg - authguard_seq,beam_search,0.5260115606936416,0.17148362235067438,0.35452793834296725,0.2126854949390976,0.48881335191291997,True,727.0,519.0,133.0,10000.0,0.8,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta080_seed7703,emulator_logreg - authguard_seq,random_search,0.6296296296296297,0.20925925925925926,0.4203703703703704,0.3009044768349818,0.5241942460095993,True,727.0,540.0,138.0,10000.0,0.8,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta080_seed7703,emulator_logreg - authguard_seq,beam_search,0.5166666666666667,0.17222222222222222,0.34444444444444444,0.22975911893954465,0.45454852995448386,True,727.0,540.0,138.0,10000.0,0.8,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta080_seed7704,emulator_logreg - authguard_seq,random_search,0.6365348399246704,0.1431261770244821,0.4934086629001883,0.38999945533769065,0.5895279817861339,True,727.0,531.0,136.0,10000.0,0.8,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta080_seed7704,emulator_logreg - authguard_seq,beam_search,0.5216572504708098,0.11487758945386065,0.4067796610169492,0.30616103076905654,0.5055929455073624,True,727.0,531.0,136.0,10000.0,0.8,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta085_seed7702,emulator_logreg - authguard_seq,random_search,0.6402569593147751,0.08779443254817987,0.5524625267665952,0.4238849103215857,0.6636368766673507,True,727.0,467.0,135.0,10000.0,0.85,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta085_seed7702,emulator_logreg - authguard_seq,beam_search,0.5310492505353319,0.06638115631691649,0.46466809421841543,0.34703124324791496,0.5748505761121011,True,727.0,467.0,135.0,10000.0,0.85,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta085_seed7703,emulator_logreg - authguard_seq,random_search,0.6299810246679317,0.3681214421252372,0.2618595825426945,0.06265272556390977,0.45472137943661234,True,727.0,527.0,136.0,10000.0,0.85,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta085_seed7703,emulator_logreg - authguard_seq,beam_search,0.5161290322580645,0.2618595825426945,0.25426944971537,0.042547993623951764,0.43990624999999994,True,727.0,527.0,136.0,10000.0,0.85,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta085_seed7704,emulator_logreg - authguard_seq,random_search,0.6355748373101953,0.11496746203904555,0.5206073752711496,0.37994374112035717,0.6424827672498122,True,727.0,461.0,136.0,10000.0,0.85,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta085_seed7704,emulator_logreg - authguard_seq,beam_search,0.5292841648590022,0.07809110629067245,0.4511930585683297,0.3236098877240866,0.563265306122449,True,727.0,461.0,136.0,10000.0,0.85,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta090_seed7702,emulator_logreg - authguard_seq,random_search,0.5135135135135135,0.23700623700623702,0.2765072765072765,0.15299271532565886,0.409641272671915,True,727.0,481.0,164.0,10000.0,0.9,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta090_seed7702,emulator_logreg - authguard_seq,beam_search,0.4261954261954262,0.16216216216216217,0.26403326403326405,0.15463853253464277,0.37678047785728297,True,727.0,481.0,164.0,10000.0,0.9,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta090_seed7703,emulator_logreg - authguard_seq,random_search,0.5136268343815513,0.27044025157232704,0.2431865828092243,0.11882107956506098,0.3765287687771153,True,727.0,477.0,162.0,10000.0,0.9,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta090_seed7703,emulator_logreg - authguard_seq,beam_search,0.429769392033543,0.16142557651991615,0.26834381551362685,0.15401722060021728,0.3805988548382348,True,727.0,477.0,162.0,10000.0,0.9,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta090_seed7704,emulator_logreg - authguard_seq,random_search,0.5157232704402516,0.23060796645702306,0.2851153039832285,0.15644668951579105,0.4192044226265538,True,727.0,477.0,164.0,10000.0,0.9,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,
famthresh_theta090_seed7704,emulator_logreg - authguard_seq,beam_search,0.4339622641509434,0.14675052410901468,0.28721174004192873,0.17865222074908851,0.39529424333836094,True,727.0,477.0,164.0,10000.0,0.9,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,
three_seed_mean_of_seed_level_estimates,emulator_logreg - authguard_seq,beam_search,,,0.3685840146014536,,,,,,,,0.8,,three_seed,mean and SD across per-seed family-clustered point estimates,0.027320319252936456,3.0,0.34444444444444444,0.4067796610169492,True,True,
three_seed_mean_of_seed_level_estimates,emulator_logreg - authguard_seq,random_search,,,0.43818324872666664,,,,,,,,0.8,,three_seed,mean and SD across per-seed family-clustered point estimates,0.03986160576397791,3.0,0.4007707129094412,0.4934086629001883,True,True,
