theta,tag,fold,train_observations,test_observations,train_families,test_families,train_source_flagged_prevalence,test_source_flagged_prevalence,train_test_family_overlap,train_test_exact_hash_overlap,family_disjoint,exact_hash_disjoint
0.8,theta080,0,1730,460,557,144,0.346242774566474,0.2782608695652174,0,0,True,True
0.8,theta080,1,1766,424,562,139,0.34541336353340885,0.2759433962264151,0,0,True,True
0.8,theta080,2,1752,438,560,141,0.3082191780821918,0.4269406392694064,0,0,True,True
0.8,theta080,3,1763,427,563,138,0.3278502552467385,0.34894613583138173,0,0,True,True
0.8,theta080,4,1749,441,562,139,0.3321898227558605,0.3310657596371882,0,0,True,True
0.85,theta085,0,1728,462,627,163,0.31886574074074076,0.38095238095238093,0,0,True,True
0.85,theta085,1,1759,431,637,153,0.33541785105173394,0.31786542923433875,0,0,True,True
0.85,theta085,2,1757,433,633,157,0.32498577120091066,0.36027713625866054,0,0,True,True
0.85,theta085,3,1752,438,633,157,0.353310502283105,0.2465753424657534,0,0,True,True
0.85,theta085,4,1764,426,630,160,0.32709750566893425,0.352112676056338,0,0,True,True
0.9,theta090,0,1759,431,741,187,0.33939738487777144,0.30162412993039445,0,0,True,True
0.9,theta090,1,1732,458,741,187,0.32909930715935337,0.34279475982532753,0,0,True,True
0.9,theta090,2,1736,454,740,188,0.3185483870967742,0.3832599118942731,0,0,True,True
0.9,theta090,3,1747,443,743,185,0.3411562678878077,0.29571106094808125,0,0,True,True
0.9,theta090,4,1786,404,747,181,0.3314669652855543,0.3341584158415842,0,0,True,True
