sample_id,label,family_id_theta,fold_id_theta,max_sim_to_train
optimism:0x7196f386cd5adfa125895540450c77bdcf0534b3,1,F00001,1,0.7890625
optimism:0x2f1211e38436327cc90408565ea2f16dfc082600,1,F00002,1,0.875
optimism:0xbe7ae1e53867f9f1778c8b728b533c00900a38be,1,F00003,4,0.8671875
optimism:0x24592cb8b7ec813a5eaeb73e5503322d2b93a878,1,F00004,2,0.1953125
optimism:0xef0852258381dfbf20144ed38899d489935fa038,1,F00004,2,0.1953125
optimism:0x68d333198c60c8160848437b2870f3a5be693107,1,F00005,0,0.75
optimism:0xc0403282ba280a6670f469c136aaad86b780e098,1,F00006,4,0.828125
optimism:0xf738308d26d74b697b367cf2ac5ff8c0e08bcd66,1,F00007,3,0.796875
optimism:0x22f0db4f3292807d919497802d951e30aa281f4f,1,F00004,2,0.1953125
optimism:0x89046d34e70a65acab2152c26a0c8e493b5ba629,1,F00008,0,0.84375
optimism:0xbd8aac1ab758af1bfe61c3ae2f94e792b5134fed,1,F00004,2,0.1953125
optimism:0x128f99fc9bfda7c53a2707c16997fdb56b77cd89,1,F00009,3,0.890625
optimism:0x095bc36d7d1cf990fc7ccb5f62c45163c37d03a5,1,F00011,0,0.65625
optimism:0x6a6d07ad4815fdee627c0e4bdbc475c3e1629ab8,1,F00012,4,0.71875
optimism:0x480ac71ed6be1b8d7ae18d323e42a16384918e91,1,F00004,2,0.1953125
optimism:0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,1,F00004,2,0.1953125
optimism:0x5bb4e04d6732c665ca924e6830b32731229fff6f,1,F00004,2,0.1953125
optimism:0x824aa93717c8d4d9cb1e213a9c02c726b947f774,1,F00004,2,0.1953125
optimism:0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,1,F00004,2,0.1953125
optimism:0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,1,F00014,3,0.890625
optimism:0x20dd86b35eedce9159808218a57f8f622849c635,1,F00004,2,0.1953125
optimism:0x7b6ae45cbfcbcb2e31ec405b0bfe82cb2595fbeb,1,F00015,2,0.6171875
optimism:0xa213798e20fd04a31e468a93ddf2703364803a21,1,F00016,4,0.6328125
optimism:0x3447d54e4358e306d58e5bbfc3a19d728d53f78e,1,F00017,2,0.1640625
optimism:0xd24371bbe7c248597705b5b6ac753025dc2d2619,1,F00004,2,0.1953125
optimism:0x22da339cb99b917cf861ddfdc5c255a4d7df4036,1,F00018,1,0.71875
optimism:0x281f3e79775f61cccfc7b7c3eacdc4f15a7f3252,1,F00004,2,0.1953125
optimism:0x043661a263719880069c2adb5bf625eb4b7b5db7,1,F00004,2,0.1953125
optimism:0x5f0393396359b58366049e7b11aa786de4c473fd,1,F00008,0,0.8046875
optimism:0xaa6491c5071d91e4fc398d512ba5f78f62e2b100,1,F00004,2,0.1953125
optimism:0xb6252af4c3561714c187aa1c0a7b1f0ec2e70053,1,F00004,2,0.1953125
optimism:0x280c17a6c6819a718cf883c1c822cc68e73a20fc,1,F00002,1,0.890625
optimism:0x761dc36a52733214423d04f4dcd84083e15d3735,1,F00004,2,0.1953125
optimism:0x2d274da31b0ef851c58333e066304ca763cbc2de,1,F00019,1,0.8671875
optimism:0x653c2018585b155586026d383044cb6683fc2ae4,1,F00004,2,0.1953125
optimism:0x916a0b8fdc003c43213b7abc50fcb85a17ce6a6b,1,F00004,2,0.1953125
optimism:0x6d7a717bf4932925e1098e92dcc627cc965277db,1,F00016,4,0.625
optimism:0x3a1605d52b511aaa3860e56e1dd3bacdaf6868f9,1,F00004,2,0.1953125
optimism:0x5988a86fc66edb1cf559dc64fef7c18868e64350,1,F00021,0,0.6328125
optimism:0xf443cf137ca01732500ccfc77c7b17f99a44dc30,1,F00002,1,0.890625
optimism:0xeaa6aa358ee796dbc038b9424301eebb8e0570b8,1,F00004,2,0.1953125
optimism:0x35fbf40e41574dfa6c0b799ca1018d9cc7d84c60,1,F00022,1,0.859375
optimism:0xd5544306da905a4a811fc8dbf78c4a0ac2ae84bd,1,F00023,2,0.5078125
optimism:0x036be4f87fc09257284d44ff095a19e192903cb2,1,F00004,2,0.1953125
optimism:0xae3c3839280afe3310c4cd5de9adb434965917a3,1,F00001,1,0.828125
optimism:0xf2534d433a6ad5089e8d907f035bafd5925bdcbc,1,F00004,2,0.1953125
optimism:0x9ab329f4ecf6888d54afb15267a3d4faf0929ad7,1,F00024,2,0.6328125
optimism:0x0c1a92976039eabe9c22b933a8ee2ea495b5b0c6,1,F00002,1,0.890625
optimism:0xd5771d92854f5298b33ccd73178c9ff8b88bd14f,1,F00004,2,0.1953125
optimism:0x4bf8cf165baea1b9386ad2b1e47a0b92280af6e3,1,F00025,4,0.6796875
optimism:0x23c3a46086bfaa35b4514edf65a04bb7f459228d,1,F00004,2,0.1953125
optimism:0xeacc7e98583c0e10746d937a3c696248854fb01c,1,F00002,1,0.875
optimism:0x470a618326df6e320680642dd31794b0d2d12d0a,1,F00026,2,0.1953125
optimism:0x23c667184099f7c7d895cae4c6c4c571901297a8,1,F00004,2,0.1953125
optimism:0x2d9f726fab6f1c685c5ccd4f8d50ef60111bb693,1,F00027,3,0.8515625
optimism:0x9307637c1708c1cec79a5e96f4beea7d363f6ca0,1,F00004,2,0.1953125
optimism:0x000054507a812fd32582e7a997c83e6d446fd60e,1,F00014,3,0.8828125
optimism:0x0dd61275ecd8666b3bfe77ff1ce17a98b542caad,1,F00028,1,0.875
optimism:0xf799ca6393f11228aec787c35d6b2b96864c7608,1,F00029,3,0.609375
optimism:0x3cf292682f0421cd196c131b2a30e00b266b5782,1,F00030,4,0.1640625
optimism:0xb7fef9033507eee348d59102b6856c66051b8040,1,F00004,2,0.1953125
optimism:0x93d473ce2ceb00af7489694511ca778deb83ef88,1,F00004,2,0.1953125
optimism:0xbdb6d1f0e52cf92e3037787149dd7b0cea20e035,1,F00031,1,0.84375
optimism:0xd4661f44e3738d26eb1b7965f1e8ee4edd3d2a5d,1,F00004,2,0.1953125
optimism:0x9273e89a0f5e96d8a7554a23b2036dd4362ef035,1,F00032,1,0.4609375
optimism:0x073addd815abe9e72e8da16d4ec1b970f303cd86,1,F00004,2,0.1953125
optimism:0x42251614135ff529c2b8f9ec54b4cca4e1b172cd,1,F00033,2,0.8984375
optimism:0x21b65e7473e8afdb6396e9c52535521a4c6235d8,1,F00004,2,0.1953125
optimism:0x0f588d9e155d281742e292e551f3fa740f178760,1,F00034,1,0.7265625
optimism:0xe7485fb4850972ca243988c0e1fce94bde7a3773,1,F00035,1,0.8046875
optimism:0x100bfe501da42fec877ba424b95265ca66eb9b07,1,F00004,2,0.1953125
optimism:0xeed92ede46257477f6571f35fd458dbb46471a15,1,F00004,2,0.1953125
optimism:0x1990ed58c9af6a10e8a61174fec154b39b2460cc,1,F00004,2,0.1953125
optimism:0x56687f747b1762c318e80b2de713eb9885a4402e,1,F00004,2,0.1953125
optimism:0x1501af4f344d3ac6bdf4c2ed7063faf9422b8f0c,1,F00036,3,0.53125
optimism:0x7aef1df01285823845ee9b905f5bd20471c27e6c,1,F00037,2,0.75
optimism:0xc22efd7c592938a9ce328b6ed46ff54dc12e4d98,1,F00038,0,0.3125
optimism:0x33f053866f277b7cd831f2527655587dfde9f553,1,F00004,2,0.1953125
optimism:0x2674789cd25a32059322ba79a3991da380081840,1,F00034,1,0.7265625
optimism:0xbec420215162d2e6a5bd6cb23a2bd86620a9d0fc,1,F00004,2,0.1953125
optimism:0xcefd060da801a3f004d6b307f4cab943d1c9b45b,1,F00025,4,0.6796875
optimism:0x54827357b0a948f4079959f5404fca3d14568047,1,F00002,1,0.8828125
optimism:0xbb90a78b86f3f756c160886ebe7029205c4ba3f1,1,F00004,2,0.1953125
optimism:0x79cb9c3e43a673bb29ae1e7c7e8b2f3d0b79b52f,1,F00004,2,0.1953125
optimism:0x04a062033b7c8ea5e3cfef316a2d5937cade2e1d,1,F00004,2,0.1953125
optimism:0x08b46679cbab7cfbd4093038419f1461fe479e37,1,F00001,1,0.8125
optimism:0xf3c4517b298c6c4c60240a29dc1c84447fbc5a8a,1,F00004,2,0.1953125
optimism:0x0000013e81b16d6f369a3376cb38381c06606ed8,1,F00040,2,0.890625
optimism:0xfefd9d2e36fba47db535ca720365c51ba906d2da,1,F00004,2,0.1953125
optimism:0x0d8aff1934cae5b04d2534b530607a4eac4e10c3,1,F00041,0,0.6015625
optimism:0x47a1ef086545283991674ff23a7b5926d09d49ff,1,F00042,1,0.8203125
optimism:0x638b4f9ff3ccefc9a55abcc413af362b1a319d92,1,F00007,3,0.8046875
optimism:0x3ff1b6bf72726dd94435cbd74afab5ee0d3f3e24,1,F00004,2,0.1953125
optimism:0x5f41de8793e074117d8b9d8f06c40dee00ea3d9f,1,F00004,2,0.1953125
optimism:0x000005d2c018e5146489b81e850cf3c31260bd97,1,F00043,0,0.7109375
optimism:0x6e86f8ab6ed57f8b667ae7e301e1af9e2cb7ee2b,1,F00004,2,0.1953125
optimism:0x068315334224a8433971b72504434e741a034e35,1,F00004,2,0.1953125
optimism:0x9e70478412c51f17131a94e38cc2241eea4b92e3,1,F00004,2,0.1953125
optimism:0xef89adb7fa0cd0b8d877a8cd1022d94b06cacd33,1,F00004,2,0.1953125
gnosis:0x95eb89311ffb27112e657b8a6eaaf7391192c83a,1,F00044,0,0.8515625
gnosis:0x9d1eaf1f10505f722f69184c235a1d0aa7e604ad,1,F00045,3,0.7890625
gnosis:0xdd3b42b0d15d74604f493a59a7876a87c6bffbc0,1,F00016,4,0.625
gnosis:0x6a37601de01b14f80073471d58b958db5397705c,1,F00025,4,0.6796875
gnosis:0x0000013e81b16d6f369a3376cb38381c06606ed8,1,F00040,2,0.890625
gnosis:0x3a59958ac688f277389e7a6f270df93801a71259,1,F00027,3,0.8515625
gnosis:0x5d4bc0637d7246a5c61032d0e9dbf70ed63cb2ea,1,F00045,3,0.7890625
gnosis:0xc85230fbb8901f60a43cabaf4a7d15169c32b30b,1,F00001,1,0.8125
gnosis:0x3f873015528da679bf41a939074851e2c9d65c4f,1,F00027,3,0.8359375
gnosis:0xa5a465f94e26fae4770a29560d46529131c56d02,1,F00027,3,0.8515625
gnosis:0xf6797c7ba905340e37233f1224bff64831d54daa,1,F00035,1,0.8046875
gnosis:0x68b33b340cce1e563877337865d91f595147e338,1,F00042,1,0.8203125
arbitrum:0x1e98fdd75814401686a495f072fa350a334c9fa0,1,F00047,4,0.8828125
arbitrum:0x913ef342a833f58ba924e819b25c345e2ae9e5a7,1,F00048,2,0.8359375
arbitrum:0xc10fc591f2e9479c493a3da0e924a2c6cd3fc77a,1,F00024,2,0.6171875
arbitrum:0x019ec4777db677f05485d5e575cd0fe961e3e0b3,1,F00001,1,0.78125
arbitrum:0x95bee585ec20700a56734c9c46245960c1e39d20,1,F00049,3,0.3984375
arbitrum:0x3d3562c4b60738ceee4d32f6d8234f27c4eb45d1,1,F00044,0,0.8515625
arbitrum:0xbc71a34405c357b76c5528bfaa92dc28c5cf0715,1,F00050,3,0.8828125
arbitrum:0x8439e23a0cf0e154e18dadd901c3c6df23558597,1,F00051,4,0.875
