label,contrast,method,left_ASR_on_common,right_ASR_on_common,difference,ci_low,ci_high,excludes_zero,n_common_observations,n_paired_eligible,n_families_eligible,bootstrap_replicates,estimator,seed,scope,n_sources,estimator_note,sd_across_seeds,min_seed_effect,max_seed_effect,all_seeds_positive,all_seed_cis_exclude_zero
bridge085_seed7702,emulator_logreg - authguard_seq,random_search,0.5369261477045908,0.1437125748502994,0.3932135728542914,0.22176363783494,0.5465131605836432,True,727.0,501.0,146.0,10000.0,A_sensitivity,7702.0,per_seed,,,,,,,
bridge085_seed7702,emulator_logreg - authguard_seq,beam_search,0.4491017964071856,0.11976047904191617,0.32934131736526945,0.1603902453900421,0.49069293478260856,True,727.0,501.0,146.0,10000.0,A_sensitivity,7702.0,per_seed,,,,,,,
bridge085_seed7703,emulator_logreg - authguard_seq,random_search,0.5375722543352601,0.21772639691714837,0.3198458574181118,0.13612565445026178,0.4926569260905156,True,727.0,519.0,147.0,10000.0,A_sensitivity,7703.0,per_seed,,,,,,,
bridge085_seed7703,emulator_logreg - authguard_seq,beam_search,0.44701348747591524,0.1811175337186898,0.2658959537572254,0.08668589554129372,0.43781264133876074,True,727.0,519.0,147.0,10000.0,A_sensitivity,7703.0,per_seed,,,,,,,
bridge085_seed7704,emulator_logreg - authguard_seq,random_search,0.5402298850574713,0.1532567049808429,0.38697318007662834,0.24278779231625836,0.5295296408063205,True,727.0,522.0,147.0,10000.0,A_sensitivity,7704.0,per_seed,,,,,,,
bridge085_seed7704,emulator_logreg - authguard_seq,beam_search,0.4482758620689655,0.11302681992337164,0.33524904214559387,0.18448414291449217,0.48258744100977713,True,727.0,522.0,147.0,10000.0,A_sensitivity,7704.0,per_seed,,,,,,,
three_seed_family_clustered_seed_averaged,emulator_logreg - authguard_seq,random_search,,,0.3510436432637571,0.19071893391792075,0.5024687989877259,True,,,152.0,,A_sensitivity,,three_seed,527.0,"per-source difference averaged over seeds, then family-clustered bootstrap",,,,,
three_seed_family_clustered_seed_averaged,emulator_logreg - authguard_seq,beam_search,,,0.2969639468690702,0.13176453655728265,0.453993223552047,True,,,152.0,,A_sensitivity,,three_seed,527.0,"per-source difference averaged over seeds, then family-clustered bootstrap",,,,,
three_seed_mean_of_seed_level_estimates,emulator_logreg - authguard_seq,beam_search,,,0.31016210442269626,,,,,,,,A_sensitivity,,three_seed,,,0.031393676370394905,0.2658959537572254,0.33524904214559387,True,True
three_seed_mean_of_seed_level_estimates,emulator_logreg - authguard_seq,random_search,,,0.36667753678301046,,,,,,,,A_sensitivity,,three_seed,,,0.03321285162511031,0.3198458574181118,0.3932135728542914,True,True
