sid,family_id,class_name,y,exec_bytes,first_stop_offset,region_bytes,near_empty,whole_body,no_stop,stop_at_final_byte,feature_nnz,feature_l1,features_finite,oof_score_first_stop_full
optimism:0x7196f386cd5adfa125895540450c77bdcf0534b3,F00001,malicious,1,5087,132.0,133,False,False,False,False,65,235.4339599609375,True,0.8639504313468933
optimism:0x2f1211e38436327cc90408565ea2f16dfc082600,F00002,malicious,1,2807,91.0,92,False,False,False,False,57,186.7333221435547,True,0.9960873126983643
optimism:0xbe7ae1e53867f9f1778c8b728b533c00900a38be,F00003,malicious,1,1711,304.0,305,False,False,False,False,161,526.5103759765625,True,0.9926337599754333
optimism:0x24592cb8b7ec813a5eaeb73e5503322d2b93a878,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0xef0852258381dfbf20144ed38899d489935fa038,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x68d333198c60c8160848437b2870f3a5be693107,F00005,malicious,1,15576,134.0,135,False,False,False,False,84,222.80628967285156,True,0.9908679723739624
optimism:0xc0403282ba280a6670f469c136aaad86b780e098,F00006,malicious,1,2214,442.0,443,False,False,False,False,204,775.20703125,True,0.931821882724762
optimism:0xf738308d26d74b697b367cf2ac5ff8c0e08bcd66,F00007,malicious,1,2847,169.0,170,False,False,False,False,119,301.0081481933594,True,0.9968383312225342
optimism:0x22f0db4f3292807d919497802d951e30aa281f4f,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x89046d34e70a65acab2152c26a0c8e493b5ba629,F00008,malicious,1,3880,102.0,103,False,False,False,False,51,205.81491088867188,True,0.9994780421257019
optimism:0xbd8aac1ab758af1bfe61c3ae2f94e792b5134fed,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x128f99fc9bfda7c53a2707c16997fdb56b77cd89,F00002,malicious,1,3271,91.0,92,False,False,False,False,57,186.7333221435547,True,0.9960873126983643
optimism:0x095bc36d7d1cf990fc7ccb5f62c45163c37d03a5,F00010,malicious,1,2299,172.0,173,False,False,False,False,136,321.3863525390625,True,0.994216799736023
optimism:0x6a6d07ad4815fdee627c0e4bdbc475c3e1629ab8,F00011,malicious,1,2586,225.0,226,False,False,False,False,147,399.0217590332031,True,0.9993000030517578
optimism:0x480ac71ed6be1b8d7ae18d323e42a16384918e91,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x5bb4e04d6732c665ca924e6830b32731229fff6f,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x824aa93717c8d4d9cb1e213a9c02c726b947f774,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,F00013,malicious,1,3112,108.0,109,False,False,False,False,57,217.76864624023438,True,0.9980840682983398
optimism:0x20dd86b35eedce9159808218a57f8f622849c635,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x7b6ae45cbfcbcb2e31ec405b0bfe82cb2595fbeb,F00014,malicious,1,5601,92.0,93,False,False,False,False,54,187.74435424804688,True,0.9993295669555664
optimism:0xa213798e20fd04a31e468a93ddf2703364803a21,F00015,malicious,1,6377,80.0,81,False,False,False,False,51,163.67715454101562,True,0.9993033409118652
optimism:0x3447d54e4358e306d58e5bbfc3a19d728d53f78e,F00016,malicious,1,199,38.0,39,False,False,False,False,58,90.34375,True,0.03441518172621727
optimism:0xd24371bbe7c248597705b5b6ac753025dc2d2619,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x22da339cb99b917cf861ddfdc5c255a4d7df4036,F00017,malicious,1,3220,405.0,406,False,False,False,False,166,650.08984375,True,0.9994262456893921
optimism:0x281f3e79775f61cccfc7b7c3eacdc4f15a7f3252,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x043661a263719880069c2adb5bf625eb4b7b5db7,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x5f0393396359b58366049e7b11aa786de4c473fd,F00008,malicious,1,3544,91.0,92,False,False,False,False,51,184.7532958984375,True,0.9993245601654053
optimism:0xaa6491c5071d91e4fc398d512ba5f78f62e2b100,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0xb6252af4c3561714c187aa1c0a7b1f0ec2e70053,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x280c17a6c6819a718cf883c1c822cc68e73a20fc,F00002,malicious,1,2752,91.0,92,False,False,False,False,57,186.7333221435547,True,0.9960873126983643
optimism:0x761dc36a52733214423d04f4dcd84083e15d3735,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x2d274da31b0ef851c58333e066304ca763cbc2de,F00003,malicious,1,2028,304.0,305,False,False,False,False,161,526.5103759765625,True,0.9926337599754333
optimism:0x653c2018585b155586026d383044cb6683fc2ae4,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x916a0b8fdc003c43213b7abc50fcb85a17ce6a6b,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x6d7a717bf4932925e1098e92dcc627cc965277db,F00015,malicious,1,6377,80.0,81,False,False,False,False,51,163.67715454101562,True,0.9993033409118652
optimism:0x3a1605d52b511aaa3860e56e1dd3bacdaf6868f9,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x5988a86fc66edb1cf559dc64fef7c18868e64350,F00019,malicious,1,5566,121.0,122,False,False,False,False,64,213.54861450195312,True,0.8841226696968079
optimism:0xf443cf137ca01732500ccfc77c7b17f99a44dc30,F00002,malicious,1,2853,91.0,92,False,False,False,False,57,186.7333221435547,True,0.9960873126983643
optimism:0xeaa6aa358ee796dbc038b9424301eebb8e0570b8,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x35fbf40e41574dfa6c0b799ca1018d9cc7d84c60,F00020,malicious,1,1982,341.0,342,False,False,False,False,186,618.3803100585938,True,0.9961666464805603
optimism:0xd5544306da905a4a811fc8dbf78c4a0ac2ae84bd,F00021,malicious,1,1051,80.0,81,False,False,False,False,51,163.67715454101562,True,0.999277651309967
optimism:0x036be4f87fc09257284d44ff095a19e192903cb2,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0xae3c3839280afe3310c4cd5de9adb434965917a3,F00001,malicious,1,5110,132.0,133,False,False,False,False,65,235.4339599609375,True,0.8639504313468933
optimism:0xf2534d433a6ad5089e8d907f035bafd5925bdcbc,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x9ab329f4ecf6888d54afb15267a3d4faf0929ad7,F00022,malicious,1,4189,80.0,81,False,False,False,False,51,163.67715454101562,True,0.9995599389076233
optimism:0x0c1a92976039eabe9c22b933a8ee2ea495b5b0c6,F00002,malicious,1,2752,91.0,92,False,False,False,False,57,186.7333221435547,True,0.9960873126983643
optimism:0xd5771d92854f5298b33ccd73178c9ff8b88bd14f,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x4bf8cf165baea1b9386ad2b1e47a0b92280af6e3,F00023,malicious,1,989,289.0,290,False,False,False,False,145,472.256103515625,True,0.9961605072021484
optimism:0x23c3a46086bfaa35b4514edf65a04bb7f459228d,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0xeacc7e98583c0e10746d937a3c696248854fb01c,F00002,malicious,1,2807,91.0,92,False,False,False,False,57,186.7333221435547,True,0.9960873126983643
optimism:0x470a618326df6e320680642dd31794b0d2d12d0a,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x23c667184099f7c7d895cae4c6c4c571901297a8,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x2d9f726fab6f1c685c5ccd4f8d50ef60111bb693,F00020,malicious,1,1784,210.0,211,False,False,False,False,151,412.4334716796875,True,0.9455476999282837
optimism:0x9307637c1708c1cec79a5e96f4beea7d363f6ca0,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x000054507a812fd32582e7a997c83e6d446fd60e,F00013,malicious,1,3112,108.0,109,False,False,False,False,57,217.76864624023438,True,0.9980840682983398
optimism:0x0dd61275ecd8666b3bfe77ff1ce17a98b542caad,F00024,malicious,1,2140,129.0,130,False,False,False,False,58,257.90093994140625,True,0.9994309544563293
optimism:0xf799ca6393f11228aec787c35d6b2b96864c7608,F00025,malicious,1,2328,123.0,124,False,False,False,False,74,222.70388793945312,True,0.9419406652450562
optimism:0x3cf292682f0421cd196c131b2a30e00b266b5782,F00026,malicious,1,278,134.0,135,False,False,False,False,112,249.44871520996094,True,0.8687410354614258
optimism:0xb7fef9033507eee348d59102b6856c66051b8040,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x93d473ce2ceb00af7489694511ca778deb83ef88,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0xbdb6d1f0e52cf92e3037787149dd7b0cea20e035,F00027,malicious,1,1119,199.0,200,False,False,False,False,113,322.8289794921875,True,0.9912222623825073
optimism:0xd4661f44e3738d26eb1b7965f1e8ee4edd3d2a5d,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x9273e89a0f5e96d8a7554a23b2036dd4362ef035,F00028,malicious,1,1780,69.0,70,False,False,False,False,51,142.58070373535156,True,0.8612774610519409
optimism:0x073addd815abe9e72e8da16d4ec1b970f303cd86,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x42251614135ff529c2b8f9ec54b4cca4e1b172cd,F00029,malicious,1,2940,269.0,270,False,False,False,False,174,508.06817626953125,True,0.9991428852081299
optimism:0x21b65e7473e8afdb6396e9c52535521a4c6235d8,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x0f588d9e155d281742e292e551f3fa740f178760,F00030,malicious,1,616,48.0,49,False,False,False,False,52,103.2664566040039,True,0.9928550124168396
optimism:0xe7485fb4850972ca243988c0e1fce94bde7a3773,F00031,malicious,1,3711,315.0,316,False,False,False,False,156,548.3821411132812,True,0.9545584321022034
optimism:0x100bfe501da42fec877ba424b95265ca66eb9b07,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0xeed92ede46257477f6571f35fd458dbb46471a15,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x1990ed58c9af6a10e8a61174fec154b39b2460cc,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
optimism:0x56687f747b1762c318e80b2de713eb9885a4402e,F00004,malicious,1,836,187.0,188,False,False,False,False,122,330.8804016113281,True,0.17839884757995605
