evaluation,representation,fold,threshold,splitter,train_rows,test_rows
family,full,0,0.12586522102355957,StratifiedGroupKFold,1809,471
family,full,1,0.06505899131298065,StratifiedGroupKFold,1821,459
family,full,2,0.12755466997623444,StratifiedGroupKFold,1821,459
family,full,3,0.14137113094329834,StratifiedGroupKFold,1819,461
family,full,4,0.07051502913236618,StratifiedGroupKFold,1850,430
family,metadata_stripped,0,0.21428854763507843,StratifiedGroupKFold,1809,471
family,metadata_stripped,1,0.05832831934094429,StratifiedGroupKFold,1821,459
family,metadata_stripped,2,0.1708996444940567,StratifiedGroupKFold,1821,459
family,metadata_stripped,3,0.23916922509670258,StratifiedGroupKFold,1819,461
family,metadata_stripped,4,0.040737222880125046,StratifiedGroupKFold,1850,430
family,first_stop,0,0.14436979591846466,StratifiedGroupKFold,1809,471
family,first_stop,1,0.13409925997257233,StratifiedGroupKFold,1821,459
family,first_stop,2,0.19246818125247955,StratifiedGroupKFold,1821,459
family,first_stop,3,0.054200511425733566,StratifiedGroupKFold,1819,461
family,first_stop,4,0.043442074209451675,StratifiedGroupKFold,1850,430
family,suffix_only,0,0.14011459052562714,StratifiedGroupKFold,1809,471
family,suffix_only,1,0.19564056396484375,StratifiedGroupKFold,1821,459
family,suffix_only,2,0.05990009009838104,StratifiedGroupKFold,1821,459
family,suffix_only,3,0.019414614886045456,StratifiedGroupKFold,1819,461
family,suffix_only,4,0.02314290963113308,StratifiedGroupKFold,1850,430
family,length_stop_only,0,0.2963583767414093,StratifiedGroupKFold,1809,471
family,length_stop_only,1,0.2788432240486145,StratifiedGroupKFold,1821,459
family,length_stop_only,2,0.4372384250164032,StratifiedGroupKFold,1821,459
family,length_stop_only,3,0.1950591802597046,StratifiedGroupKFold,1819,461
family,length_stop_only,4,0.06663583219051361,StratifiedGroupKFold,1850,430
family,reachable_code,0,0.1338939517736435,StratifiedGroupKFold,1809,471
family,reachable_code,1,0.04050782695412636,StratifiedGroupKFold,1821,459
family,reachable_code,2,0.1960945576429367,StratifiedGroupKFold,1821,459
family,reachable_code,3,0.0544336698949337,StratifiedGroupKFold,1819,461
family,reachable_code,4,0.056647419929504395,StratifiedGroupKFold,1850,430
