family_id,n,pos,seq_advantage
F01073,1,0,0.8246575342465754
F00956,1,0,0.8168949771689498
F01308,1,0,0.8127853881278538
F00704,7,0,0.8013698630136987
F00866,1,0,0.786986301369863
F01313,1,0,0.734703196347032
F01152,1,0,0.7342465753424657
F00751,4,0,0.6906392694063928
F00405,1,0,0.6771689497716895
F00779,3,0,0.6499999999999999
F00800,2,0,0.6226027397260274
F00972,1,0,0.6207762557077625
F00730,4,0,0.6196347031963471
F00935,1,0,0.5933789954337899
F00767,2,0,0.5894977168949772
F00925,1,0,0.5833333333333333
F00201,1,1,0.5636986301369864
F00795,8,0,0.5307648401826484
F00843,3,0,0.5245814307458144
F00802,3,0,0.524048706240487
F01132,1,0,0.5235159817351598
F01307,1,0,0.5198630136986302
F01011,2,0,0.5187214611872146
F00771,3,0,0.5171232876712328
F00841,1,0,0.5157534246575343
F00716,1,0,0.515296803652968
F01154,2,0,0.513013698630137
F01245,1,0,0.5116438356164383
F00979,1,0,0.5034246575342466
F00955,2,0,0.5
F01135,25,0,0.49863926940639275
F00929,3,0,0.4952054794520548
F01128,5,0,0.4947488584474886
F00965,1,0,0.48858447488584467
F01302,1,0,0.48835616438356166
F00876,1,0,0.4819634703196347
F00912,1,0,0.4785388127853882
F00667,2,0,0.47557077625570776
F01075,1,0,0.47191780821917806
F01078,1,0,0.4691780821917808
F00990,1,0,0.44497716894977163
F00190,1,1,0.4367579908675799
F00774,1,0,0.4187214611872146
F01080,1,0,0.41278538812785387
F00999,2,0,0.39817351598173517
F01234,1,0,0.38995433789954337
F01156,2,0,0.38470319634703193
F01185,3,0,0.3713850837138508
F01086,1,0,0.36666666666666664
F00824,18,0,0.3588153221714865
F00918,5,0,0.3515068493150685
F01309,1,0,0.347945205479452
F00199,3,1,0.34786910197869103
F00794,1,0,0.3353881278538813
F00700,4,0,0.33310502283105026
F01182,6,0,0.33264840182648403
F00161,1,1,0.30547945205479443
F00178,4,4,0.2948059360730594
F01023,1,0,0.29406392694063926
F00024,11,11,0.29371108343711083
F00887,1,0,0.28561643835616435
F01229,1,0,0.27557077625570775
F01034,1,0,0.2751141552511416
F00970,1,0,0.2732876712328767
F01183,1,0,0.2728310502283105
F01085,1,0,0.2728310502283105
F01146,1,0,0.2723744292237443
F00131,1,1,0.2714611872146119
F00811,1,0,0.2714611872146119
F00889,5,0,0.27100456621004565
F01287,1,0,0.27009132420091325
F00744,2,0,0.27009132420091325
F01060,1,0,0.269634703196347
F01264,1,0,0.2687214611872146
F00787,3,0,0.26780821917808223
F00678,2,0,0.26712328767123283
F01017,1,0,0.26643835616438355
F01120,1,0,0.2659817351598174
F00788,1,0,0.2646118721461187
F00870,3,0,0.2636986301369863
F00963,1,0,0.2627853881278539
F00886,2,0,0.26073059360730594
F01199,1,0,0.2605022831050228
F00741,1,0,0.26004566210045665
F00701,4,0,0.2579908675799087
F01297,1,0,0.2568493150684932
F01110,1,0,0.2554794520547945
F01216,1,0,0.2550228310502283
F00873,2,0,0.2538812785388128
F00995,1,0,0.2529680365296803
F00842,3,0,0.2527397260273973
F01039,1,0,0.25273972602739725
F00911,1,0,0.2522831050228311
F01179,2,0,0.25182648401826485
F00683,7,0,0.24908675799086757
F01319,2,0,0.2488584474885845
F01196,4,0,0.24623287671232877
F00168,3,3,0.24497716894977173
F00856,1,0,0.2449771689497717
F00723,7,0,0.24315068493150685
