seed,model,fold,n,n_pos,prevalence,auprc,auroc,thr_recall,thr_fpr,thr_precision
7702,decision_tree_d4,0,446,152,0.34080717488789236,0.7662115107711552,0.9161967418546364,0.5460526315789473,0.08503401360544217,0.7685185185185185
7702,decision_tree_d4,1,446,146,0.3273542600896861,0.795705206881628,0.9375114155251142,0.8904109589041096,0.11,0.7975460122699386
7702,decision_tree_d4,2,427,145,0.3395784543325527,0.9684647536371674,0.9914771337735386,0.7448275862068966,0.0070921985815602835,0.9818181818181818
7702,decision_tree_d4,3,447,93,0.2080536912751678,0.8715394244433339,0.9763531984691087,0.0,0.0,0.0
7702,decision_tree_d4,4,424,191,0.45047169811320753,0.9049336984688681,0.956834370716581,0.0,0.0,0.0
7702,logreg_l2,0,446,152,0.34080717488789236,0.8720417880432392,0.9571697099892589,0.9013157894736842,0.05442176870748299,0.8954248366013072
7702,logreg_l2,1,446,146,0.3273542600896861,0.8719666059697956,0.9442808219178083,0.7671232876712328,0.07,0.8421052631578947
7702,logreg_l2,2,427,145,0.3395784543325527,0.9471161278501121,0.9819148936170212,0.6896551724137931,0.02127659574468085,0.9433962264150944
7702,logreg_l2,3,447,93,0.2080536912751678,0.9258923052367729,0.9806208614300468,0.7634408602150538,0.02824858757062147,0.8765432098765432
7702,logreg_l2,4,424,191,0.45047169811320753,0.9361612617446337,0.9663955238972654,0.7329842931937173,0.055793991416309016,0.9150326797385621
7702,fallback_reaches_external_call_over,0,446,152,0.34080717488789236,0.7674515122236645,0.917002327246688,0.9802631578947368,0.14625850340136054,0.7760416666666666
7702,fallback_reaches_external_call_over,1,446,146,0.3273542600896861,0.6759259259259259,0.8833333333333333,1.0,0.23333333333333334,0.6759259259259259
7702,fallback_reaches_external_call_over,2,427,145,0.3395784543325527,0.8192090395480226,0.9432624113475178,1.0,0.11347517730496454,0.8192090395480226
7702,fallback_reaches_external_call_over,3,447,93,0.2080536912751678,0.6326530612244898,0.923728813559322,1.0,0.15254237288135594,0.6326530612244898
7702,fallback_reaches_external_call_over,4,424,191,0.45047169811320753,0.8642533936651584,0.9356223175965666,1.0,0.12875536480686695,0.8642533936651584
7703,decision_tree_d4,0,446,152,0.34080717488789236,0.7662115107711552,0.9161967418546364,0.5460526315789473,0.08503401360544217,0.7685185185185185
7703,decision_tree_d4,1,446,146,0.3273542600896861,0.795705206881628,0.9375114155251142,0.8904109589041096,0.11,0.7975460122699386
7703,decision_tree_d4,2,427,145,0.3395784543325527,0.9684647536371674,0.9914771337735386,0.0,0.0,0.0
7703,decision_tree_d4,3,447,93,0.2080536912751678,0.8715394244433339,0.9763531984691087,0.0,0.0,0.0
7703,decision_tree_d4,4,424,191,0.45047169811320753,0.9049336984688681,0.956834370716581,0.0,0.0,0.0
7703,logreg_l2,0,446,152,0.34080717488789236,0.8720417880432392,0.9571697099892589,0.8881578947368421,0.05442176870748299,0.8940397350993378
7703,logreg_l2,1,446,146,0.3273542600896861,0.8719666059697956,0.9442808219178083,0.7671232876712328,0.07666666666666666,0.8296296296296296
7703,logreg_l2,2,427,145,0.3395784543325527,0.9471161278501121,0.9819148936170212,0.7034482758620689,0.024822695035460994,0.9357798165137615
7703,logreg_l2,3,447,93,0.2080536912751678,0.9258923052367729,0.9806208614300468,0.7634408602150538,0.025423728813559324,0.8875
7703,logreg_l2,4,424,191,0.45047169811320753,0.9361612617446337,0.9663955238972654,0.7539267015706806,0.06437768240343347,0.9056603773584906
7703,fallback_reaches_external_call_over,0,446,152,0.34080717488789236,0.7674515122236645,0.917002327246688,0.9802631578947368,0.14625850340136054,0.7760416666666666
7703,fallback_reaches_external_call_over,1,446,146,0.3273542600896861,0.6759259259259259,0.8833333333333333,1.0,0.23333333333333334,0.6759259259259259
7703,fallback_reaches_external_call_over,2,427,145,0.3395784543325527,0.8192090395480226,0.9432624113475178,1.0,0.11347517730496454,0.8192090395480226
7703,fallback_reaches_external_call_over,3,447,93,0.2080536912751678,0.6326530612244898,0.923728813559322,1.0,0.15254237288135594,0.6326530612244898
7703,fallback_reaches_external_call_over,4,424,191,0.45047169811320753,0.8642533936651584,0.9356223175965666,1.0,0.12875536480686695,0.8642533936651584
7704,decision_tree_d4,0,446,152,0.34080717488789236,0.7662115107711552,0.9161967418546364,0.5460526315789473,0.08503401360544217,0.7685185185185185
7704,decision_tree_d4,1,446,146,0.3273542600896861,0.795705206881628,0.9375114155251142,0.8904109589041096,0.11,0.7975460122699386
7704,decision_tree_d4,2,427,145,0.3395784543325527,0.9684647536371674,0.9914771337735386,0.7448275862068966,0.0070921985815602835,0.9818181818181818
7704,decision_tree_d4,3,447,93,0.2080536912751678,0.8715394244433339,0.9763531984691087,0.9032258064516129,0.031073446327683617,0.8842105263157894
7704,decision_tree_d4,4,424,191,0.45047169811320753,0.9049336984688681,0.956834370716581,0.6178010471204188,0.060085836909871244,0.8939393939393939
7704,logreg_l2,0,446,152,0.34080717488789236,0.8720417880432392,0.9571697099892589,0.875,0.05442176870748299,0.8926174496644296
7704,logreg_l2,1,446,146,0.3273542600896861,0.8719666059697956,0.9442808219178083,0.7808219178082192,0.1,0.7916666666666666
7704,logreg_l2,2,427,145,0.3395784543325527,0.9471161278501121,0.9819148936170212,0.6896551724137931,0.02127659574468085,0.9433962264150944
7704,logreg_l2,3,447,93,0.2080536912751678,0.9258923052367729,0.9806208614300468,0.7634408602150538,0.025423728813559324,0.8875
7704,logreg_l2,4,424,191,0.45047169811320753,0.9361612617446337,0.9663955238972654,0.7329842931937173,0.055793991416309016,0.9150326797385621
7704,fallback_reaches_external_call_over,0,446,152,0.34080717488789236,0.7674515122236645,0.917002327246688,0.9802631578947368,0.14625850340136054,0.7760416666666666
7704,fallback_reaches_external_call_over,1,446,146,0.3273542600896861,0.6759259259259259,0.8833333333333333,1.0,0.23333333333333334,0.6759259259259259
7704,fallback_reaches_external_call_over,2,427,145,0.3395784543325527,0.8192090395480226,0.9432624113475178,1.0,0.11347517730496454,0.8192090395480226
7704,fallback_reaches_external_call_over,3,447,93,0.2080536912751678,0.6326530612244898,0.923728813559322,1.0,0.15254237288135594,0.6326530612244898
7704,fallback_reaches_external_call_over,4,424,191,0.45047169811320753,0.8642533936651584,0.9356223175965666,1.0,0.12875536480686695,0.8642533936651584
