model,fold,n,prevalence,auprc,auroc
knn_minhash_k1,0,446,0.34080717488789236,0.4097523715646277,0.6020184389545292
knn_minhash_k3,0,446,0.34080717488789236,0.47059897904575015,0.6310530791263874
knn_minhash_k5,0,446,0.34080717488789236,0.4818801341271929,0.633671231650555
knn_opcode_hist_cos_k1,0,446,0.34080717488789236,0.5566424038306997,0.7517454350161116
knn_opcode_hist_cos_k3,0,446,0.34080717488789236,0.48711338832191786,0.6869853204439671
knn_opcode_hist_cos_k5,0,446,0.34080717488789236,0.4895587436775899,0.6683673469387754
knn_minhash_k1,1,446,0.3273542600896861,0.4887088217391061,0.6832420091324201
knn_minhash_k3,1,446,0.3273542600896861,0.5911917225662408,0.7804680365296804
knn_minhash_k5,1,446,0.3273542600896861,0.6157019747620166,0.8141666666666666
knn_opcode_hist_cos_k1,1,446,0.3273542600896861,0.4108837854203049,0.6309132420091325
knn_opcode_hist_cos_k3,1,446,0.3273542600896861,0.5057357149336458,0.6867465753424656
knn_opcode_hist_cos_k5,1,446,0.3273542600896861,0.5109300075055487,0.7042808219178082
knn_minhash_k1,2,427,0.3395784543325527,0.7379560050493673,0.8727194913181707
knn_minhash_k3,2,427,0.3395784543325527,0.7750027603809679,0.893470286133529
knn_minhash_k5,2,427,0.3395784543325527,0.7956673484411667,0.8905600391293714
knn_opcode_hist_cos_k1,2,427,0.3395784543325527,0.5637310984237117,0.7528246515040352
knn_opcode_hist_cos_k3,2,427,0.3395784543325527,0.5934331910313388,0.8148080215211543
knn_opcode_hist_cos_k5,2,427,0.3395784543325527,0.6333676488092539,0.8225360723893371
knn_minhash_k1,3,447,0.2080536912751678,0.44242801472180127,0.8035356296701295
knn_minhash_k3,3,447,0.2080536912751678,0.44565227753374614,0.8261648745519714
knn_minhash_k5,3,447,0.2080536912751678,0.4786486251933655,0.8304325375129092
knn_opcode_hist_cos_k1,3,447,0.2080536912751678,0.3902527527145989,0.7474940769090578
knn_opcode_hist_cos_k3,3,447,0.2080536912751678,0.43663033875576074,0.7655063483384971
knn_opcode_hist_cos_k5,3,447,0.2080536912751678,0.49018652208307806,0.7749377316080432
knn_minhash_k1,4,424,0.45047169811320753,0.6243781038678796,0.7175696020493001
knn_minhash_k3,4,424,0.45047169811320753,0.7036994424535865,0.8031818079680022
knn_minhash_k5,4,424,0.45047169811320753,0.6884674702893898,0.7877109408354491
knn_opcode_hist_cos_k1,4,424,0.45047169811320753,0.603979328902388,0.6907062445228412
knn_opcode_hist_cos_k3,4,424,0.45047169811320753,0.6487389765772685,0.7411410466710109
knn_opcode_hist_cos_k5,4,424,0.45047169811320753,0.635906634982611,0.7138170460418398
