model,sim_bin,n,n_pos,prevalence,auprc
knn_minhash_k1,>0.9,27,5,0.18518518518518517,0.18518518518518517
knn_minhash_k1,0.7-0.9,955,361,0.37801047120418846,0.6630758650917516
knn_minhash_k1,0.5-0.7,724,240,0.3314917127071823,0.5189879968387929
knn_minhash_k1,<0.5,484,121,0.25,0.29775022956841135
knn_minhash_k3,>0.9,27,5,0.18518518518518517,0.18518518518518517
knn_minhash_k3,0.7-0.9,955,361,0.37801047120418846,0.7494421810635192
knn_minhash_k3,0.5-0.7,724,240,0.3314917127071823,0.5859077670997991
knn_minhash_k3,<0.5,484,121,0.25,0.28558618589184603
knn_minhash_k5,>0.9,27,5,0.18518518518518517,0.18518518518518517
knn_minhash_k5,0.7-0.9,955,361,0.37801047120418846,0.7475024041715683
knn_minhash_k5,0.5-0.7,724,240,0.3314917127071823,0.6265075977791152
knn_minhash_k5,<0.5,484,121,0.25,0.3140357312843079
knn_opcode_hist_cos_k1,>0.9,2171,727,0.33486872409028096,0.49842277522380907
knn_opcode_hist_cos_k1,0.7-0.9,16,0,0.0,
knn_opcode_hist_cos_k1,0.5-0.7,2,0,0.0,
knn_opcode_hist_cos_k1,<0.5,1,0,0.0,
knn_opcode_hist_cos_k3,>0.9,2171,727,0.33486872409028096,0.5303300148596577
knn_opcode_hist_cos_k3,0.7-0.9,16,0,0.0,
knn_opcode_hist_cos_k3,0.5-0.7,2,0,0.0,
knn_opcode_hist_cos_k3,<0.5,1,0,0.0,
knn_opcode_hist_cos_k5,>0.9,2171,727,0.33486872409028096,0.5435413326295346
knn_opcode_hist_cos_k5,0.7-0.9,16,0,0.0,
knn_opcode_hist_cos_k5,0.5-0.7,2,0,0.0,
knn_opcode_hist_cos_k5,<0.5,1,0,0.0,
