task,model,seed,fold,threshold,splitter,split
primary,opcode_rf,7702,0,0.35,StratifiedGroupKFold,family
primary,opcode_rf,7702,1,0.36,StratifiedGroupKFold,family
primary,opcode_rf,7702,2,0.29,StratifiedGroupKFold,family
primary,opcode_rf,7702,3,0.3261904761904762,StratifiedGroupKFold,family
primary,opcode_rf,7702,4,0.25666666666666665,StratifiedGroupKFold,family
primary,opcode_rf,7703,0,0.30666666666666664,StratifiedGroupKFold,family
primary,opcode_rf,7703,1,0.25666666666666665,StratifiedGroupKFold,family
primary,opcode_rf,7703,2,0.33107609710550884,StratifiedGroupKFold,family
primary,opcode_rf,7703,3,0.36,StratifiedGroupKFold,family
primary,opcode_rf,7703,4,0.27,StratifiedGroupKFold,family
primary,opcode_rf,7704,0,0.3233333333333333,StratifiedGroupKFold,family
primary,opcode_rf,7704,1,0.29333333333333333,StratifiedGroupKFold,family
primary,opcode_rf,7704,2,0.26666666666666666,StratifiedGroupKFold,family
primary,opcode_rf,7704,3,0.29446428571428573,StratifiedGroupKFold,family
primary,opcode_rf,7704,4,0.24666666666666667,StratifiedGroupKFold,family
primary,opcode_rf,7705,0,0.3358080808080808,StratifiedGroupKFold,family
primary,opcode_rf,7705,1,0.2966666666666667,StratifiedGroupKFold,family
primary,opcode_rf,7705,2,0.2638888888888889,StratifiedGroupKFold,family
primary,opcode_rf,7705,3,0.30333333333333334,StratifiedGroupKFold,family
primary,opcode_rf,7705,4,0.2692307692307692,StratifiedGroupKFold,family
primary,opcode_rf,7706,0,0.35133333333333333,StratifiedGroupKFold,family
primary,opcode_rf,7706,1,0.26,StratifiedGroupKFold,family
primary,opcode_rf,7706,2,0.2396296296296296,StratifiedGroupKFold,family
primary,opcode_rf,7706,3,0.33952380952380956,StratifiedGroupKFold,family
primary,opcode_rf,7706,4,0.35333333333333333,StratifiedGroupKFold,family
primary,opcode_xgb,7702,0,0.06924466788768768,StratifiedGroupKFold,family
primary,opcode_xgb,7702,1,0.10578055679798126,StratifiedGroupKFold,family
primary,opcode_xgb,7702,2,0.08918224275112152,StratifiedGroupKFold,family
primary,opcode_xgb,7702,3,0.07451548427343369,StratifiedGroupKFold,family
primary,opcode_xgb,7702,4,0.08612153679132462,StratifiedGroupKFold,family
primary,opcode_xgb,7703,0,0.1195661798119545,StratifiedGroupKFold,family
primary,opcode_xgb,7703,1,0.275362491607666,StratifiedGroupKFold,family
primary,opcode_xgb,7703,2,0.17666518688201904,StratifiedGroupKFold,family
primary,opcode_xgb,7703,3,0.2823019325733185,StratifiedGroupKFold,family
primary,opcode_xgb,7703,4,0.17024710774421692,StratifiedGroupKFold,family
primary,opcode_xgb,7704,0,0.2452501505613327,StratifiedGroupKFold,family
primary,opcode_xgb,7704,1,0.13064593076705933,StratifiedGroupKFold,family
primary,opcode_xgb,7704,2,0.09736082702875137,StratifiedGroupKFold,family
primary,opcode_xgb,7704,3,0.15450149774551392,StratifiedGroupKFold,family
primary,opcode_xgb,7704,4,0.09772589057683945,StratifiedGroupKFold,family
primary,opcode_xgb,7705,0,0.09584319591522217,StratifiedGroupKFold,family
primary,opcode_xgb,7705,1,0.1454668790102005,StratifiedGroupKFold,family
primary,opcode_xgb,7705,2,0.09156518429517746,StratifiedGroupKFold,family
primary,opcode_xgb,7705,3,0.20469343662261963,StratifiedGroupKFold,family
primary,opcode_xgb,7705,4,0.44746115803718567,StratifiedGroupKFold,family
primary,opcode_xgb,7706,0,0.15284667909145355,StratifiedGroupKFold,family
primary,opcode_xgb,7706,1,0.10656677186489105,StratifiedGroupKFold,family
primary,opcode_xgb,7706,2,0.3066044747829437,StratifiedGroupKFold,family
primary,opcode_xgb,7706,3,0.06448636949062347,StratifiedGroupKFold,family
primary,opcode_xgb,7706,4,0.17750921845436096,StratifiedGroupKFold,family
primary,selector_model,7702,0,0.1826552450656891,StratifiedGroupKFold,family
primary,selector_model,7702,1,0.06307937204837799,StratifiedGroupKFold,family
primary,selector_model,7702,2,0.1462027132511139,StratifiedGroupKFold,family
primary,selector_model,7702,3,0.1718846559524536,StratifiedGroupKFold,family
primary,selector_model,7702,4,0.22107386589050293,StratifiedGroupKFold,family
primary,selector_model,7703,0,0.23357325792312622,StratifiedGroupKFold,family
primary,selector_model,7703,1,0.05762217193841934,StratifiedGroupKFold,family
primary,selector_model,7703,2,0.11967795342206955,StratifiedGroupKFold,family
primary,selector_model,7703,3,0.10218195617198944,StratifiedGroupKFold,family
primary,selector_model,7703,4,0.23483791947364807,StratifiedGroupKFold,family
primary,selector_model,7704,0,0.32034462690353394,StratifiedGroupKFold,family
primary,selector_model,7704,1,0.06252193450927734,StratifiedGroupKFold,family
primary,selector_model,7704,2,0.10762336105108261,StratifiedGroupKFold,family
primary,selector_model,7704,3,0.1633119434118271,StratifiedGroupKFold,family
primary,selector_model,7704,4,0.2532278299331665,StratifiedGroupKFold,family
primary,selector_model,7705,0,0.2773437798023224,StratifiedGroupKFold,family
primary,selector_model,7705,1,0.07800076901912689,StratifiedGroupKFold,family
primary,selector_model,7705,2,0.13666272163391113,StratifiedGroupKFold,family
primary,selector_model,7705,3,0.17402134835720062,StratifiedGroupKFold,family
primary,selector_model,7705,4,0.23923978209495544,StratifiedGroupKFold,family
primary,selector_model,7706,0,0.2892705500125885,StratifiedGroupKFold,family
primary,selector_model,7706,1,0.10535002499818802,StratifiedGroupKFold,family
primary,selector_model,7706,2,0.09601390361785889,StratifiedGroupKFold,family
primary,selector_model,7706,3,0.0999307930469513,StratifiedGroupKFold,family
primary,selector_model,7706,4,0.22056302428245544,StratifiedGroupKFold,family
primary,authguard,7702,0,0.16659262776374817,StratifiedGroupKFold,family
primary,authguard,7702,1,0.21008457243442535,StratifiedGroupKFold,family
primary,authguard,7702,2,0.059290118515491486,StratifiedGroupKFold,family
primary,authguard,7702,3,0.10324213653802872,StratifiedGroupKFold,family
primary,authguard,7702,4,0.0451820082962513,StratifiedGroupKFold,family
primary,authguard,7703,0,0.18032552301883698,StratifiedGroupKFold,family
primary,authguard,7703,1,0.1865081787109375,StratifiedGroupKFold,family
primary,authguard,7703,2,0.12293257564306259,StratifiedGroupKFold,family
