experiment_id,outer_fold,recipient_sid,recipient_address,recipient_family,recipient_partition,recipient_label,donor_sid,donor_address,donor_family,donor_partition_pool,donor_subset,condition,flooding_fraction,segment_index,byte_offset,byte_length,copied_segment_sha256,transformation_seed,rng_domain
GMUTVOL_V2,0,optimism:0x24592cb8b7ec813a5eaeb73e5503322d2b93a878,0x24592cb8b7ec813a5eaeb73e5503322d2b93a878,F00004,test,1,ethereum(implied):0xd99beaef9dc33299aa5de862938fe9452aa96a42,0xd99beaef9dc33299aa5de862938fe9452aa96a42,F00414,test,benign_general,GMUT:M2,0.2,0,5322,167,32c66fd2b8dae1eee3aca9c242e6d11127a4ebcb9d892c95dd94d3b4e02994ca,481933978372465969,test
GMUTVOL_V2,0,optimism:0xef0852258381dfbf20144ed38899d489935fa038,0xef0852258381dfbf20144ed38899d489935fa038,F00004,test,1,ethereum(implied):0xf15f125ac2b2eac9ccc9d2668e6d4197d4bce520,0xf15f125ac2b2eac9ccc9d2668e6d4197d4bce520,F00308,test,benign_general,GMUT:M2,0.2,0,1116,167,ad53a3604e50b6650873dca27b54dec045276a6a8ed362c869eefceca771079c,6440703079345967170,test
GMUTVOL_V2,0,optimism:0x22f0db4f3292807d919497802d951e30aa281f4f,0x22f0db4f3292807d919497802d951e30aa281f4f,F00004,test,1,ethereum(implied):0xc1559ff463cfb75a09d7c09a62421e05d892609f,0xc1559ff463cfb75a09d7c09a62421e05d892609f,F00251,test,benign_general,GMUT:M2,0.2,0,2547,167,aa6db9f18e5f365cb6940cf8c1272fb8216addf3359fdcb19e68914c17e217e8,1373884989941851727,test
GMUTVOL_V2,0,optimism:0xbd8aac1ab758af1bfe61c3ae2f94e792b5134fed,0xbd8aac1ab758af1bfe61c3ae2f94e792b5134fed,F00004,test,1,ethereum(implied):0x2e2886d58f8d886dbef4e93e73920c23aa2620c0,0x2e2886d58f8d886dbef4e93e73920c23aa2620c0,F00369,test,benign_general,GMUT:M2,0.2,0,1208,167,27790a790ffb6f2318dd30ba123ebd3c6f3c7d2266b96a99b3e41bdf9d4eced7,15731407707675820836,test
GMUTVOL_V2,0,optimism:0x480ac71ed6be1b8d7ae18d323e42a16384918e91,0x480ac71ed6be1b8d7ae18d323e42a16384918e91,F00004,test,1,ethereum(implied):0x2d623769c58801282b57e15b73d1d16b764c3ffe,0x2d623769c58801282b57e15b73d1d16b764c3ffe,F00289,test,benign_general,GMUT:M2,0.2,0,1067,167,9ae079ff75f9e6cd2792c46f821c5114e9340515a6b7bb2ddb7016dcbd9b6ebc,15627031598840216972,test
GMUTVOL_V2,0,optimism:0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,F00004,test,1,ethereum(implied):0x0fa308ae0dde633b6ede22ba719e7e0bc45fc6db,0x0fa308ae0dde633b6ede22ba719e7e0bc45fc6db,F00517,test,benign_general,GMUT:M2,0.2,0,3156,167,175005d3cd51aeb3427ba55b9c7e381cd0babda977e6a4412f6ea41ff11c3856,12738445209542119928,test
GMUTVOL_V2,0,optimism:0x5bb4e04d6732c665ca924e6830b32731229fff6f,0x5bb4e04d6732c665ca924e6830b32731229fff6f,F00004,test,1,ethereum(implied):0xf9c9aa0930f8bd8839dd9ace3fd5db72fdac58f0,0xf9c9aa0930f8bd8839dd9ace3fd5db72fdac58f0,F00565,test,benign_general,GMUT:M2,0.2,0,4011,167,44367c545fdad28b26cc0258986cdde3ceab95cb2a36bb837e03fc8d7bb0e2b0,9933373967770148000,test
GMUTVOL_V2,0,optimism:0x824aa93717c8d4d9cb1e213a9c02c726b947f774,0x824aa93717c8d4d9cb1e213a9c02c726b947f774,F00004,test,1,ethereum(implied):0x6a5c2dda72bf07ba841dd554af151ce99169b005,0x6a5c2dda72bf07ba841dd554af151ce99169b005,F00655,test,benign_general,GMUT:M2,0.2,0,2594,167,4e2e5750d5aecfdccdeb71251aa2c6fcbfd3de29ca6df73a20796d218df85133,11525656673502094705,test
GMUTVOL_V2,0,optimism:0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,F00004,test,1,ethereum(implied):0x043f2cb9f196dd0ef852a963015e0e968d61b993,0x043f2cb9f196dd0ef852a963015e0e968d61b993,F00431,test,benign_general,GMUT:M2,0.2,0,20685,167,3ee781bb9da3c9863052731aa5d5e2ac2cbb48d015d064df5b22287f2dd84afc,113058407002240331,test
GMUTVOL_V2,0,optimism:0x20dd86b35eedce9159808218a57f8f622849c635,0x20dd86b35eedce9159808218a57f8f622849c635,F00004,test,1,ethereum(implied):0xf04eac956c8a8d0158154437826024fb7253c465,0xf04eac956c8a8d0158154437826024fb7253c465,F00517,test,benign_general,GMUT:M2,0.2,0,1015,167,923bd02e9c7f6903bdf517255b8005808b80ed98afd6998325f57168d1e3eeb8,10116912112346561323,test
