model,condition,token_budget,n,inputs_exceeding_budget,fraction_exceeding_budget,max_condition_opcode_count,max_retained_token_count,median_original_to_condition_ratio
authguard_reference_16384,F200,16384,2190,124,0.05662100456621005,29868,16382,0.34160374709889946
authguard_reference_16384,M0,16384,2190,0,0.0,10795,10795,1.0
chunk_attention_control_16384,F200,16384,2190,124,0.05662100456621005,29868,16382,0.34160374709889946
chunk_attention_control_16384,M0,16384,2190,0,0.0,10795,10795,1.0
chunk_attention_control_2048,F200,2048,2190,1769,0.8077625570776256,29868,2048,0.34160374709889946
chunk_attention_control_2048,M0,2048,2190,712,0.32511415525114157,10795,2048,1.0
chunk_mean_control_16384,F200,16384,2190,124,0.05662100456621005,29868,16382,0.34160374709889946
chunk_mean_control_16384,M0,16384,2190,0,0.0,10795,10795,1.0
flat_control_16384,F200,16384,2190,124,0.05662100456621005,29868,16384,0.34160374709889946
flat_control_16384,M0,16384,2190,0,0.0,10795,10795,1.0
flat_control_2048,F200,2048,2190,1769,0.8077625570776256,29868,2048,0.34160374709889946
flat_control_2048,M0,2048,2190,712,0.32511415525114157,10795,2048,1.0
