contrast,condition,metric,left_model,right_model,delta,ci95_low,ci95_high,probability_positive,replicates,aggregation,cluster
coverage,M0,AUPRC,chunk_attention_control_16384,chunk_attention_control_2048,0.015159718615123248,-0.002763345985604656,0.02999241656524498,0.9445,2000,fold_mean_then_seed_mean,family_id_within_fold
coverage,M0,Recall_05,chunk_attention_control_16384,chunk_attention_control_2048,0.0060086521074423326,-0.011700890789602778,0.031272616588152106,0.769,2000,fold_mean_then_seed_mean,family_id_within_fold
attention,M0,AUPRC,chunk_attention_control_16384,chunk_mean_control_16384,0.03858349356988177,0.00723196296959956,0.06425585037354686,0.993,2000,fold_mean_then_seed_mean,family_id_within_fold
attention,M0,Recall_05,chunk_attention_control_16384,chunk_mean_control_16384,0.04009043439670467,0.0037884408239585244,0.08148221089595159,0.985,2000,fold_mean_then_seed_mean,family_id_within_fold
hierarchy,M0,AUPRC,chunk_attention_control_16384,flat_control_16384,-0.018145653178517827,-0.039971747180281444,0.01816448256131406,0.284,2000,fold_mean_then_seed_mean,family_id_within_fold
hierarchy,M0,Recall_05,chunk_attention_control_16384,flat_control_16384,0.0035900329587748693,-0.02389527928525588,0.03015375969503257,0.554,2000,fold_mean_then_seed_mean,family_id_within_fold
coverage,F200,AUPRC,chunk_attention_control_16384,chunk_attention_control_2048,0.011177208941480792,-0.0050632810678761814,0.025212096045397255,0.9095,2000,fold_mean_then_seed_mean,family_id_within_fold
coverage,F200,Recall_05,chunk_attention_control_16384,chunk_attention_control_2048,-0.0019594444494807147,-0.02458527977961054,0.02622412783907259,0.4895,2000,fold_mean_then_seed_mean,family_id_within_fold
attention,F200,AUPRC,chunk_attention_control_16384,chunk_mean_control_16384,0.17996220008466776,0.13482791447208528,0.2316398271127918,1.0,2000,fold_mean_then_seed_mean,family_id_within_fold
attention,F200,Recall_05,chunk_attention_control_16384,chunk_mean_control_16384,0.5412049516555313,0.47406526562971,0.6306679846185224,1.0,2000,fold_mean_then_seed_mean,family_id_within_fold
hierarchy,F200,AUPRC,chunk_attention_control_16384,flat_control_16384,0.09795901507993925,0.05904544009120361,0.154373704941857,1.0,2000,fold_mean_then_seed_mean,family_id_within_fold
hierarchy,F200,Recall_05,chunk_attention_control_16384,flat_control_16384,0.30906893728276663,0.25019381427789833,0.38591512182051135,1.0,2000,fold_mean_then_seed_mean,family_id_within_fold
