model,seed,fold,condition,length_stratum,n,positives,AUPRC,AUROC
authguard_reference_16384,7702,0,F200,source_gt_2048,97,20,0.9247288925478285,0.9844155844155844
authguard_reference_16384,7702,0,F200,source_le_2048,349,132,0.7763869169224018,0.7987362100265325
authguard_reference_16384,7702,0,M0,source_gt_2048,97,20,0.9028226256551065,0.9818181818181819
authguard_reference_16384,7702,0,M0,source_le_2048,349,132,0.8485633013531803,0.896854489596425
authguard_reference_16384,7702,1,F200,source_gt_2048,161,47,0.9013111568538513,0.9710712952594251
authguard_reference_16384,7702,1,F200,source_le_2048,285,99,0.9322999856000475,0.9583469099598132
authguard_reference_16384,7702,1,M0,source_gt_2048,161,47,0.9307548715928046,0.9860022396416573
authguard_reference_16384,7702,1,M0,source_le_2048,285,99,0.9300256715438432,0.9719235364396654
authguard_reference_16384,7702,2,F200,source_gt_2048,184,80,0.8875782415945277,0.9149038461538461
authguard_reference_16384,7702,2,F200,source_le_2048,243,65,0.8739492035619846,0.9547104580812447
authguard_reference_16384,7702,2,M0,source_gt_2048,184,80,0.8487553247553284,0.9344951923076923
authguard_reference_16384,7702,2,M0,source_le_2048,243,65,0.917033468136175,0.9662921348314607
authguard_reference_16384,7702,3,F200,source_gt_2048,139,32,0.9416953185199066,0.9754672897196263
authguard_reference_16384,7702,3,F200,source_le_2048,308,61,0.9162165306722563,0.9510187827702928
authguard_reference_16384,7702,3,M0,source_gt_2048,139,32,0.9707869644082754,0.9897780373831776
authguard_reference_16384,7702,3,M0,source_le_2048,308,61,0.9149992107525926,0.9623017189885179
authguard_reference_16384,7702,4,F200,source_gt_2048,131,36,0.787666866220209,0.9178362573099415
authguard_reference_16384,7702,4,F200,source_le_2048,293,155,0.9793695401758404,0.9769050958391772
authguard_reference_16384,7702,4,M0,source_gt_2048,131,36,0.8756901722879132,0.9536549707602339
authguard_reference_16384,7702,4,M0,source_le_2048,293,155,0.98441020431949,0.9833333333333333
authguard_reference_16384,7703,0,F200,source_gt_2048,97,20,0.9296643737239714,0.9857142857142857
authguard_reference_16384,7703,0,F200,source_le_2048,349,132,0.8092697248268719,0.8356025694735373
authguard_reference_16384,7703,0,M0,source_gt_2048,97,20,0.9150021128345937,0.9824675324675325
authguard_reference_16384,7703,0,M0,source_le_2048,349,132,0.8888472228785662,0.952503142019271
authguard_reference_16384,7703,1,F200,source_gt_2048,161,47,0.9118649597411043,0.9809630459126539
authguard_reference_16384,7703,1,F200,source_le_2048,285,99,0.9146767963603561,0.9526990333441947
authguard_reference_16384,7703,1,M0,source_gt_2048,161,47,0.9195765442440141,0.9873086972751026
authguard_reference_16384,7703,1,M0,source_le_2048,285,99,0.9271139685433027,0.9623655913978494
authguard_reference_16384,7703,2,F200,source_gt_2048,184,80,0.8035228876314547,0.9098557692307692
authguard_reference_16384,7703,2,F200,source_le_2048,243,65,0.8634603873098247,0.9542783059636992
authguard_reference_16384,7703,2,M0,source_gt_2048,184,80,0.7935955429661968,0.9210336538461539
authguard_reference_16384,7703,2,M0,source_le_2048,243,65,0.8954170502079326,0.977182368193604
authguard_reference_16384,7703,3,F200,source_gt_2048,139,32,0.9741370067179599,0.9900700934579438
authguard_reference_16384,7703,3,F200,source_le_2048,308,61,0.9340006150111597,0.9664166721975177
authguard_reference_16384,7703,3,M0,source_gt_2048,139,32,0.9946428571428572,0.9982476635514019
authguard_reference_16384,7703,3,M0,source_le_2048,308,61,0.9779524793668823,0.9860622552598393
authguard_reference_16384,7703,4,F200,source_gt_2048,131,36,0.9281091577720623,0.9666666666666666
authguard_reference_16384,7703,4,F200,source_le_2048,293,155,0.942688389944298,0.9620383356708743
authguard_reference_16384,7703,4,M0,source_gt_2048,131,36,0.9064348615071417,0.9808479532163743
authguard_reference_16384,7703,4,M0,source_le_2048,293,155,0.9405377140705433,0.9647732585320243
authguard_reference_16384,7704,0,F200,source_gt_2048,97,20,0.9224933217367428,0.9850649350649351
authguard_reference_16384,7704,0,F200,source_le_2048,349,132,0.800128993001185,0.8246055020248568
authguard_reference_16384,7704,0,M0,source_gt_2048,97,20,0.9126157973097334,0.9824675324675325
authguard_reference_16384,7704,0,M0,source_le_2048,349,132,0.9082000897244786,0.9396906856584275
authguard_reference_16384,7704,1,F200,source_gt_2048,161,47,0.8709353217411787,0.925531914893617
authguard_reference_16384,7704,1,F200,source_le_2048,285,99,0.8991797700007872,0.938144889757793
authguard_reference_16384,7704,1,M0,source_gt_2048,161,47,0.9616305288256103,0.9882418812989922
authguard_reference_16384,7704,1,M0,source_le_2048,285,99,0.9297805227178193,0.96323449549256
authguard_reference_16384,7704,2,F200,source_gt_2048,184,80,0.9395689165874317,0.9697115384615385
authguard_reference_16384,7704,2,F200,source_le_2048,243,65,0.9263973287740188,0.9617113223854796
authguard_reference_16384,7704,2,M0,source_gt_2048,184,80,0.9542160031234932,0.9787259615384616
authguard_reference_16384,7704,2,M0,source_le_2048,243,65,0.9431324136525856,0.972428694900605
authguard_reference_16384,7704,3,F200,source_gt_2048,139,32,0.980412142633813,0.9941588785046729
authguard_reference_16384,7704,3,F200,source_le_2048,308,61,0.9476282587424925,0.9547355147010022
authguard_reference_16384,7704,3,M0,source_gt_2048,139,32,0.9889705882352942,0.9964953271028038
authguard_reference_16384,7704,3,M0,source_le_2048,308,61,0.9581038950498688,0.9770359062852593
authguard_reference_16384,7704,4,F200,source_gt_2048,131,36,0.919377727219218,0.9643274853801169
