model,condition,length_stratum,AUPRC_mean,AUPRC_sd,AUROC_mean,AUROC_sd,n_seeds
authguard_reference_16384,F200,source_gt_2048,0.908204419416084,0.015523069981612857,0.9623839257430414,0.006834997813541036,3
authguard_reference_16384,F200,source_le_2048,0.8972942780640626,0.004481938776659394,0.9293751659372691,0.003509849117367197,3
authguard_reference_16384,M0,source_gt_2048,0.9220121189492598,0.022918676116801297,0.9764545828535969,0.007190156049192518,3
authguard_reference_16384,M0,source_le_2048,0.9275190818415213,0.007659851445391252,0.9623055840977651,0.005077656040186301,3
chunk_attention_control_16384,F200,source_gt_2048,0.9198498126824804,0.0040493130559357705,0.9716024750678005,0.004646862691879759,3
chunk_attention_control_16384,F200,source_le_2048,0.91219546888731,0.0012744287804823497,0.9307952703684469,0.000817037800250975,3
chunk_attention_control_16384,M0,source_gt_2048,0.9358345328096584,0.011581006531668471,0.9794325320916095,0.004392592576873707,3
chunk_attention_control_16384,M0,source_le_2048,0.9207089276029307,0.00642046421179707,0.9423054165057723,0.008546355893747611,3
chunk_attention_control_2048,F200,source_gt_2048,0.931041441981729,0.006008644768670207,0.9797508525789267,0.0016636508761881058,3
chunk_attention_control_2048,F200,source_le_2048,0.8931678630454876,0.012744901118746208,0.9127283714556076,0.01179642346310386,3
chunk_attention_control_2048,M0,source_gt_2048,0.9354619779745613,0.007768623917070573,0.9779357273509905,0.004905827182359188,3
chunk_attention_control_2048,M0,source_le_2048,0.9020050622474285,0.006727534813498785,0.9113494662010376,0.0011730185824448706,3
chunk_mean_control_16384,F200,source_gt_2048,0.6783072808784079,0.01524688604178974,0.8354282405889958,0.009761259079722178,3
chunk_mean_control_16384,F200,source_le_2048,0.7576865052503335,0.021614889694992565,0.8441105305531039,0.010430510975436135,3
chunk_mean_control_16384,M0,source_gt_2048,0.8849640740227459,0.004837788748470093,0.9571414055878832,0.0031071259669760293,3
chunk_mean_control_16384,M0,source_le_2048,0.89158592424018,0.0030684053893696318,0.9016272591874986,0.009599362414541361,3
flat_control_16384,F200,source_gt_2048,0.7331781303972885,0.04518560671907765,0.8409993090386316,0.02574117930655901,3
flat_control_16384,F200,source_le_2048,0.8441621329830978,0.012195092406049329,0.8932315903157977,0.012285123965394792,3
flat_control_16384,M0,source_gt_2048,0.9176274281076006,0.016665024403383126,0.978085375654658,0.005100388774566296,3
flat_control_16384,M0,source_le_2048,0.946268067240835,0.009017740714542338,0.9717001612592561,0.004955175786760502,3
flat_control_2048,F200,source_gt_2048,0.34427733460105986,0.014983132752258899,0.5178381659002578,0.00723850864120453,3
flat_control_2048,F200,source_le_2048,0.5978583268920873,0.022443279226600124,0.7204065118966246,0.007339516705395897,3
flat_control_2048,M0,source_gt_2048,0.7223469294577644,0.022181253262624243,0.8568177803558875,0.01729145737383417,3
flat_control_2048,M0,source_le_2048,0.9378899434177513,0.005492085072276639,0.9680840629357453,0.004068571579476838,3
