model,seed,fold,n,FPR_01,FPR_05,FPR_10,score_mean,score_median
chunk_attention_control_16384,7702,0,797,0.0037641154328732747,0.03638644918444166,0.12421580928481807,0.13741300149272426,0.0925286764309985
chunk_attention_control_16384,7702,1,797,0.0075282308657465494,0.07779171894604768,0.38143036386449186,0.1507093339016338,0.11795072527735863
chunk_attention_control_16384,7702,2,797,0.033877038895859475,0.0890840652446675,0.27854454203262236,0.04080275093310711,0.00489050537038135
chunk_attention_control_16384,7702,3,797,0.0012547051442910915,0.0075282308657465494,0.15809284818067754,0.11467018832048186,0.06375629421318123
chunk_attention_control_16384,7702,4,797,0.0,0.056461731493099125,0.3588456712672522,0.22455339525826573,0.21312299653297576
chunk_attention_control_16384,7703,0,797,0.0037641154328732747,0.02258469259723965,0.15809284818067754,0.10986101683678431,0.06155905777930113
chunk_attention_control_16384,7703,1,797,0.005018820577164366,0.11417816813048934,0.4504391468005019,0.12419927554527518,0.09024294178317468
chunk_attention_control_16384,7703,2,797,0.03513174404015056,0.0740276035131744,0.11543287327478043,0.04122645631215628,0.0011725259302475138
chunk_attention_control_16384,7703,3,797,0.00878293601003764,0.043914680050188205,0.08782936010037641,0.11533801555145946,0.08533468770584478
chunk_attention_control_16384,7703,4,797,0.0012547051442910915,0.0890840652446675,0.28858218318695106,0.2981080505689897,0.29569759591640055
chunk_attention_control_16384,7704,0,797,0.002509410288582183,0.04767879548306148,0.178168130489335,0.13599738747679338,0.07825947406273419
chunk_attention_control_16384,7704,1,797,0.005018820577164366,0.04893350062735257,0.35257214554579674,0.12058071937365407,0.08149144146792171
chunk_attention_control_16384,7704,2,797,0.09786700125470514,0.14554579673776663,0.18695106649937265,0.06524340489195174,0.0176400450519424
chunk_attention_control_16384,7704,3,797,0.005018820577164366,0.0075282308657465494,0.32747804265997493,0.1355110377325017,0.07812783880443777
chunk_attention_control_16384,7704,4,797,0.002509410288582183,0.027603513174404015,0.22208281053952322,0.24188487142368253,0.2137431611536504
