unit_key,model,seed,fold,epoch,train_loss,val_AUPRC
flat_control_2048:7702:0,flat_control_2048,7702,0,1,0.6926129460334778,0.6083333333333333
flat_control_2048:7702:0,flat_control_2048,7702,0,2,0.667106568813324,0.5666666666666667
flat_control_16384:7702:0,flat_control_16384,7702,0,1,0.7200040817260742,0.8041666666666667
flat_control_16384:7702:0,flat_control_16384,7702,0,2,0.6858620643615723,0.95
chunk_attention_control_2048:7702:0,chunk_attention_control_2048,7702,0,1,0.6652568578720093,0.7321428571428572
chunk_attention_control_2048:7702:0,chunk_attention_control_2048,7702,0,2,0.6573799848556519,0.75
chunk_mean_control_16384:7702:0,chunk_mean_control_16384,7702,0,1,0.7168753743171692,0.8875
chunk_mean_control_16384:7702:0,chunk_mean_control_16384,7702,0,2,0.7116189002990723,0.9166666666666666
chunk_attention_control_16384:7702:0,chunk_attention_control_16384,7702,0,1,0.6723763942718506,0.7321428571428572
chunk_attention_control_16384:7702:0,chunk_attention_control_16384,7702,0,2,0.6754482984542847,0.6666666666666666
authguard_reference_16384:7702:0,authguard_reference_16384,7702,0,1,0.7947366237640381,0.95
authguard_reference_16384:7702:0,authguard_reference_16384,7702,0,2,0.8123746514320374,1.0
