model,seed,fold,condition,length_stratum,n,positives,AUPRC,AUROC
authguard_reference_16384,7702,0,F200,source_le_2048,8,4,0.4333333333333333,0.25
authguard_reference_16384,7702,0,M0,source_le_2048,8,4,0.5,0.0
chunk_attention_control_16384,7702,0,F200,source_le_2048,8,4,0.48333333333333334,0.375
chunk_attention_control_16384,7702,0,M0,source_le_2048,8,4,1.0,1.0
chunk_attention_control_2048,7702,0,F200,source_le_2048,8,4,0.5011904761904762,0.4375
chunk_attention_control_2048,7702,0,M0,source_le_2048,8,4,0.5714285714285714,0.25
chunk_mean_control_16384,7702,0,F200,source_le_2048,8,4,0.3654761904761905,0.0
chunk_mean_control_16384,7702,0,M0,source_le_2048,8,4,0.5,0.0
flat_control_16384,7702,0,F200,source_le_2048,8,4,0.5666666666666667,0.5
flat_control_16384,7702,0,M0,source_le_2048,8,4,0.5714285714285714,0.25
flat_control_2048,7702,0,F200,source_le_2048,8,4,0.7291666666666666,0.625
flat_control_2048,7702,0,M0,source_le_2048,8,4,0.8,0.75
