model,condition,length_stratum,AUPRC_mean,AUPRC_sd,AUROC_mean,AUROC_sd,n_seeds
authguard_reference_16384,F200,source_le_2048,0.4333333333333333,0.0,0.25,0.0,1
authguard_reference_16384,M0,source_le_2048,0.5,0.0,0.0,0.0,1
chunk_attention_control_16384,F200,source_le_2048,0.48333333333333334,0.0,0.375,0.0,1
chunk_attention_control_16384,M0,source_le_2048,1.0,0.0,1.0,0.0,1
chunk_attention_control_2048,F200,source_le_2048,0.5011904761904762,0.0,0.4375,0.0,1
chunk_attention_control_2048,M0,source_le_2048,0.5714285714285714,0.0,0.25,0.0,1
chunk_mean_control_16384,F200,source_le_2048,0.3654761904761905,0.0,0.0,0.0,1
chunk_mean_control_16384,M0,source_le_2048,0.5,0.0,0.0,0.0,1
flat_control_16384,F200,source_le_2048,0.5666666666666667,0.0,0.5,0.0,1
flat_control_16384,M0,source_le_2048,0.5714285714285714,0.0,0.25,0.0,1
flat_control_2048,F200,source_le_2048,0.7291666666666666,0.0,0.625,0.0,1
flat_control_2048,M0,source_le_2048,0.8,0.0,0.75,0.0,1
