sample_file,sample_id,file_sha256,decoded_bytecode_sha256,decoded_bytes,benchmark_runtime_exact_match
sample_000.hex,bnb:0x4b7d9ac3e1f64e0818989eb59370b62a0b32a2a6,f3a1db50669639d2f80f505775d85a1f100803426c48080fbd838883eff2bd37,a11ae80011e704f4508584e474de66d981db386dda14c2d580c406dfdccabcf7,6596,1
sample_001.hex,base:0x7beb9241f4a130864e9a8d338ecbe06d896f0c3b,8705accf30ba8ebb3ea8dd2f9f8718f2baf8d071991f725cb6f6b330143e9ba5,0506b773c680cf5291f582a28efe74fa691d07f8c8a20d7679d212aab4b06ebe,9559,1
sample_002.hex,ethereum:0x216a86523b6620085ee00c84aaeb42b9dbb815f9,31892337d2b3d5169b7b94f5237209bdb54510f3c12180c918b7a76a52ee2798,d1fce520e8d5a69b9415de5a59dcbf27c9afbb91fa9255057155f5e5826430b2,16041,1
sample_003.hex,polygon:0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,d846bd398af8bbcc22b42ba415144ca9f6c8fc1189692d7104e7d07d03d4d989,93c1b1571a3ed6ba80522cc565cda4d6a5aa8c155121a5fbf847fd719fbe329c,11185,1
sample_004.hex,ethereum:0x45ad771376c8786667caf805fd011cf954b54d0d,8221ef616bc6b64d765d666eadfdae64e69eea568129af36cb6ba355f8c664fc,9b79b1015494baf61a1b1e75a4fdcb8301c4e563102379cb5a6c51d196cef38c,12049,1
sample_005.hex,base:0xa32ff9e1e1b466fbde683abfe3eaab1e86678286,71859895ac48f889470695d63da6f1defc4fe1525490655aa8f4bac609031b6b,d75cb00722e1845c816cc7cd2ccdcea079d8e09f44a0f27cf78191c10f1e3bd1,7715,1
sample_006.hex,bnb:0xfaf56ecd7d9e1c929455ef129ef21da4284cac01,90b2ff49cf3b43af4dcad5b849935da78362293ecdf708445c08d229f844c5b3,2f625104eb7a51bac8d2b05321eb9db4c4f2e7d18af12d47d54342b95364cf44,6636,1
sample_007.hex,bnb:0x80296ff8d1ed46f8e3c7992664d13b833504c2bb,7f893632367e0f6602e359feb01cf9f5594073a41d01b0e1f032ce9531dc15ff,9f27efb32c02a6366b916aa371fc59095c28e8aae2817690546aa43c522e0fb0,9452,1
sample_008.hex,optimism:0x5af42746a8af42d8a4708df238c53f1f71abf0e0,bffe9aa3a011d7254b0c511cb261adecbfb992423dfdf36d7ac66109aa111cdb,a0e8226ef420c35e2e8ebb8e0cc4d1f92eee4d0771760c2a0cc08560e70f600e,6792,1
sample_009.hex,ethereum:0x5ac065dc382d014664845b25d406b9336726e4b4,a5afbc3cf7eaef7eb7a1ae2233938ed012f0370ba1ef99ef0c397babdbb0491e,3d072499af0e1c5ce4b155398f5ad592084511943641f5aeb8b4cb3e94353be8,6891,1
sample_010.hex,base:0x3495fed224aa078d7e754e9f626c613a5cb04528,7f0827e416f8c1dbec5ac44b2fde0e64c2ef15fcd3bfd7a2aafeb227fe7de41a,afd97441f0eb70b6786644c68a9e25e707ddd9da8533571664a585adf666c12e,8444,1
sample_011.hex,arbitrum:0x1e142b1f5ea1b5b12ddb8db5d96f85aacdafb7cb,2e6eecb9b468efc76dc5d7e5edb119472a958e7d2ae16d11c077a151c36fa695,e25d6e638b3111f0facdc12bef54c1bd01f434c9852b0ee3144b982fa79077b3,11845,1
sample_012.hex,ethereum:0x5144d5655a3cd69efff897330489115c07517bbd,2090884a132f0c5882b2e7057c207576c27474ec0080b141c83e463c5d5975c5,5eb06e7c85fe7fdf3008c25c545e8b246987f9aa7df82b2f6025ef1bd522b3c9,10409,1
sample_013.hex,bnb:0x1dc0c02b418bd68122839ca938cea6d730d88a49,d7997d497fd193b29a62d1ea0f6f34a391d310b9231795a21d76c0345c91e4da,a553bfe49af547164b76fdaa9e0484dd084e5872b00ddef37624469df026b4c9,7602,1
sample_014.hex,bnb:0xb73127ab1612af6ef68a6729786ed223cb7ec530,9a44f6ef1af164091b0e2623b7c4888050d2bdcb2c369006e5d31152b3078aed,5ae09ca3463f408062bc9a5249b7f96523ddc150c43fee7ddd49f8a31b9691e0,8841,1
sample_015.hex,ethereum:0x9594dc63e7087611979adf0ee512c37ce8c3ba4c,328bf2ee3ee697f5a097a4f1d1e5b2eec285e38efeea54bf70c4e67fc590e49e,f79a8a2f38f210030d9059f4df99fa5ecede9dd22795989d9b4b21a35bab4f24,7148,1
