0x8	0xf
0x60	0x4ab1
0x25	0x64
0x96	0x9d
0x99	0x19f
0xa1	0xaa
0xb4	0xbb
0xb7	0x1c3
0xbf	0xc8
0xd2	0xd9
0xd5	0x1e8
0xdd	0xe6
0xf0	0xf7
0xfb	0x104
0x10e	0x115
0x111	0x9ba
0x119	0x122
0x12c	0x133
0x12f	0x9df
0x137	0x140
0x14a	0x151
0x155	0x15e
0x168	0x181
0x173	0x17c
0x184	0x19d
0x18f	0x198
0x245e	0x2466
0x2469	0x2471
0x2477	0x247f
0x248a	0x2496
0x2491	0x242f
0x24cc	0x24d4
0x24d7	0x24df
0x24e3	0x24ef
0x24ea	0x249d
0x539c	0x53cb
0x539e	0x53bc
0x53a0	0x53bf
0x53a2	0x53c2
0x53a4	0x53c5
0x53a6	0x53c8
0x53a8	0x53b0
0x53aa	0x53b3
0x53ac	0x53b6
0x53ae	0x53b9
0x1d1aV0x9d	0x1d25B0x9d
0x1d04V0x1d12V0x9d	0x1d0cB0x1d12B0x9d
0x1cf4V0x1d03V0x1d12V0x9d	0x1cfcB0x1d03B0x1d12B0x9d
0x1cf8V0x1d03V0x1d12V0x9d	0x1cd3B0x1d03B0x1d12B0x9d
0x1d1aV0xbb	0x1d25B0xbb
0x1d04V0x1d12V0xbb	0x1d0cB0x1d12B0xbb
0x1cf4V0x1d03V0x1d12V0xbb	0x1cfcB0x1d03B0x1d12B0xbb
0x1cf8V0x1d03V0x1d12V0xbb	0x1cd3B0x1d03B0x1d12B0xbb
0x1d1aV0xd9	0x1d25B0xd9
0x1d04V0x1d12V0xd9	0x1d0cB0x1d12B0xd9
0x1cf4V0x1d03V0x1d12V0xd9	0x1cfcB0x1d03B0x1d12B0xd9
0x1cf8V0x1d03V0x1d12V0xd9	0x1cd3B0x1d03B0x1d12B0xd9
0x1d1aV0x115	0x1d25B0x115
0x1d04V0x1d12V0x115	0x1d0cB0x1d12B0x115
0x1cf4V0x1d03V0x1d12V0x115	0x1cfcB0x1d03B0x1d12B0x115
0x1cf8V0x1d03V0x1d12V0x115	0x1cd3B0x1d03B0x1d12B0x115
0x1d1aV0x133	0x1d25B0x133
0x1d04V0x1d12V0x133	0x1d0cB0x1d12B0x133
0x1cf4V0x1d03V0x1d12V0x133	0x1cfcB0x1d03B0x1d12B0x133
0x1cf8V0x1d03V0x1d12V0x133	0x1cd3B0x1d03B0x1d12B0x133
0x1e66V0xf7	0x1e6fB0xf7
