0x20e8S0x214eS0x241	0x2155V0x241	0x205fV0x20b6V0x214eV0x241
0x18fdS0xc600xbe7S0x37a	0x2960V0x112d5V0x37a	0x18f9V0xc600xbe7V0x37a
0x20e8S0x252cS0x4b7	0x2534V0x4b7	0x205fV0x20b6V0x252cV0x4b7
0x20e8S0x26e3S0x5c8	0x26eaV0x5c8	0x205fV0x20b6V0x26e3V0x5c8
0x2757S0x28f1S0x98cS0x31d	0x2721V0x28d7V0x98cV0x31d	0x2829_0x3V0x28c2V0x98cV0x31d
0x2757S0x28f1S0xaf0S0x35f	0x2721V0x28d7V0xaf0V0x35f	0x2829_0x3V0x28c2V0xaf0V0x35f
0x17d7S0x7d5S0x289	0x21e7V0x27a	0x17c0V0x7d5V0x289
0x2332B0x2407B0x16e4c	0x3ef	0x2414V0x16e4c
0x2332B0x2407B0x16e78	0x445	0x2414V0x16e78
0x2332B0x2407B0x16f12	0x5ef	0x2414V0x16f12
0x2475B0x24e8B0x4b7	0x24efV0x4b7	0x205fV0x2446V0x24e8V0x4b7
0x2475B0x250aB0x4b7	0x2511V0x4b7	0x205fV0x2446V0x250aV0x4b7
0x2a18B0xedbB0x4fb	0x25e6V0x4ec	0x29e1_0x2V0x29eeV0xedbV0x4fb
