0xd55	0x192c	0xd69
0xd69	0x1959	0xd71
0x2224	0x1fdc	0x2230
0x201dB0x213	0x1fdc	0x2029B0x213
0xd46B0x3ab	0x1672	0x11306B0x3ab
0x201dB0x5a8	0x1fdc	0x2029B0x5a8
0x1ce5B0x192c	0x2b31	0x1cf1B0x192c
0x1e7cB0x192c	0x1f8a	0x1e89B0x192c
0x1cf1B0x192c	0x2b31	0x1d1dB0x192c
0x1ce5B0x1959	0x2b31	0x1cf1B0x1959
0x1e7cB0x1959	0x1f8a	0x1e89B0x1959
0x1cf1B0x1959	0x2b31	0x1d1dB0x1959
0x6f9B0x222	0x1672	0x706B0x222
0x1c1fB0x1142B0x543	0x2ab6	0x1c31B0x1142B0x543
0x1c3aB0x1142B0x543	0x2ab6	0x1c4dB0x1142B0x543
0x1c56B0x1142B0x543	0x2ab6	0x1c65B0x1142B0x543
0x1c1fB0x1399B0x563	0x2ab6	0x1c31B0x1399B0x563
0x1c3aB0x1399B0x563	0x2ab6	0x1c4dB0x1399B0x563
0x1c56B0x1399B0x563	0x2ab6	0x1c65B0x1399B0x563
0x890B0x2a9	0x185e	0x1121cB0x2a9
0x6f9B0x87eB0x2a9	0x1672	0x706B0x87eB0x2a9
