0x1d2	0x1ffc9a7
0x207	0x6394d67
0x235	0x150b7a02
0x26e	0x1626ba7e
0x28e	0x19822f7c
0x2ae	0x2b3afd99
0x2e2	0x3e1b0812
0x302	0x3ed01015
0x324	0x445140b8
0x344	0x49934047
0x364	0x4a58db19
0x36c	0x5c1c6dcd
0x37f	0x7f07bfdc
0x39f	0x83ebb771
0x3b4	0x84b0196e
0x3dc	0xa3f4df7e
0x432	0xacb8cc49
0x45f	0xb0d691fe
0x4ab	0xbc197c81
0x4cb	0xc399ec88
0x4e0	0xcef6d209
0x500	0xd03c7914
0x520	0xd087d288
0x535	0xd691c964
0x555	0xe9ae5c53
0x568	0xea4d3c9b
0x59c	0xed8101b5
0x5bc	0xf23a6e61
0x5dc	0xffa1ad74
0x17387	0xeeeeeeee
