0x9	0x9f
0x19	0x63
0x5f	0x3c64
0x9b	0x3c87
0xa1	0x3caa
0xae	0xb5
0xb7	0xd0
0xc2	0xcb
0xd6	0xdd
0xdf	0xf8
0xea	0xf3
0xfe	0x105
0x107	0x120
0x112	0x11b
0x124	0x12d
0x13a	0x141
0x143	0x15c
0x14e	0x157
0x162	0x169
0x16b	0x172
0x16e	0x915
0x176	0x17f
0x18c	0x193
0x195	0x1ae
0x1a0	0x1a9
0x1b4	0x1bb
0x1bd	0x1d6
0x1c8	0x1d1
0x1dc	0x1e3
0x1e5	0x1fe
0x1f0	0x1f9
0x204	0x20b
0x20d	0x226
0x218	0x221
0x22c	0x233
0x235	0x24e
0x240	0x249
0x254	0x25b
0x25d	0x276
0x268	0x271
0x3ede	0x3f06
0x3ee0	0x3f09
0x3ee2	0x3f0c
0x3ee4	0x3f0f
0x3ee6	0x3f12
0x3ee8	0x3f15
0x3eea	0x3ef7
0x3eec	0x3efa
0x3eee	0x3efd
0x3ef0	0x3f00
0x3ef2	0x3f03
0x14a1V0x120	0x14aaB0x120
0x14a6V0x120	0x145aB0x120
0x1429V0x120	0x143fB0x120
0x1465V0x120	0x146eB0x120
0x1471V0x120	0x147eB0x120
0x147aV0x120	0x1422B0x120
0x147fV0x120	0x1487B0x120
0x145cV0x120	0x1464B0x120
0x1460V0x120	0x1408B0x120
0x143bV0x120	0x1424B0x120
0x757V0x11b	0x75fB0x11b
0x7c8V0x11b	0x7d1B0x11b
0x805V0x11b	0x80dB0x11b
0x72aV0x11b	0x768B0x11b
0x788V0x11b	0x792B0x11b
0x7a8V0x11b	0x7ccB0x11b
0x7d8V0x11b	0x816B0x11b
0x1782V0x72eV0x11b	0x178aB0x72eB0x11b
0x1786V0x72eV0x11b	0x1751B0x72eB0x11b
0x1760V0x72eV0x11b	0x1768B0x72eB0x11b
0x1764V0x72eV0x11b	0x1729B0x72eB0x11b
0x1753V0x72eV0x11b	0x175dB0x72eB0x11b
0x1ab3V0x7dcV0x11b	0x1abbB0x7dcB0x11b
0x1ab7V0x7dcV0x11b	0x1a82B0x7dcB0x11b
0x1a91V0x7dcV0x11b	0x1a99B0x7dcB0x11b
0x1a95V0x7dcV0x11b	0x1a5aB0x7dcB0x11b
0x1a84V0x7dcV0x11b	0x1a8eB0x7dcB0x11b
0x17cfV0x768V0x11b	0x17d9B0x768B0x11b
0x17d5V0x768V0x11b	0x17a9B0x768B0x11b
0x17b7V0x768V0x11b	0x17c1B0x768B0x11b
0x17abV0x768V0x11b	0x17b4B0x768B0x11b
0x17b0V0x768V0x11b	0x1791B0x768B0x11b
0x152dV0x172	0x1538B0x172
0x1517V0x1525V0x172	0x151fB0x1525B0x172
0x11b0V0x1516V0x1525V0x172	0x11b8B0x1516B0x1525B0x172
0x11b4V0x1516V0x1525V0x172	0x118fB0x1516B0x1525B0x172
0xae4V0x1d1	0xaecB0x1d1
0xb52V0x1d1	0xb5bB0x1d1
0xb8eV0x1d1	0xb96B0x1d1
0xab7V0x1d1	0xaf5B0x1d1
0xb13V0x1d1	0xb1dB0x1d1
0xb32V0x1d1	0xb56B0x1d1
0xb61V0x1d1	0xb9fB0x1d1
0x1782V0xabbV0x1d1	0x178aB0xabbB0x1d1
0x1786V0xabbV0x1d1	0x1751B0xabbB0x1d1
0x1760V0xabbV0x1d1	0x1768B0xabbB0x1d1
0x1764V0xabbV0x1d1	0x1729B0xabbB0x1d1
0x1753V0xabbV0x1d1	0x175dB0xabbB0x1d1
0x1bb8V0xb65V0x1d1	0x1bc0B0xb65B0x1d1
0x1bbcV0xb65V0x1d1	0x1b87B0xb65B0x1d1
0x1b96V0xb65V0x1d1	0x1b9eB0xb65B0x1d1
0x1b9aV0xb65V0x1d1	0x1b5fB0xb65B0x1d1
0x1b89V0xb65V0x1d1	0x1b93B0xb65B0x1d1
0x17cfV0xaf5V0x1d1	0x17d9B0xaf5B0x1d1
0x17d5V0xaf5V0x1d1	0x17a9B0xaf5B0x1d1
0x17b7V0xaf5V0x1d1	0x17c1B0xaf5B0x1d1
0x17abV0xaf5V0x1d1	0x17b4B0xaf5B0x1d1
0x17b0V0xaf5V0x1d1	0x1791B0xaf5B0x1d1
0xd5cV0x221	0xd64B0x221
0xdcaV0x221	0xdd3B0x221
0xe06V0x221	0xe0eB0x221
0xd2fV0x221	0xd6dB0x221
0xd8bV0x221	0xd95B0x221
0xdaaV0x221	0xdceB0x221
0xdd9V0x221	0xe17B0x221
0x1782V0xd33V0x221	0x178aB0xd33B0x221
0x1786V0xd33V0x221	0x1751B0xd33B0x221
0x1760V0xd33V0x221	0x1768B0xd33B0x221
0x1764V0xd33V0x221	0x1729B0xd33B0x221
0x1753V0xd33V0x221	0x175dB0xd33B0x221
0x1c88V0xdddV0x221	0x1c90B0xdddB0x221
0x1c8cV0xdddV0x221	0x1c57B0xdddB0x221
0x1c66V0xdddV0x221	0x1c6eB0xdddB0x221
0x1c6aV0xdddV0x221	0x1c2fB0xdddB0x221
0x1c59V0xdddV0x221	0x1c63B0xdddB0x221
