0x8e3	0x984
0xe64	0xeb2
0xeb9	0xef8
0xf04	0xf52
0xf59	0xfc9
0xff6	0x1000
0x1007	0x101a
0x101d	0x102b
0x1031	0x10b5
0x10c2	0x10c2
0x10dc	0x10ef
0x10f5	0x10f5
0x10fe	0x1111
0x1114	0x1122
0x1128	0x11b1
0x11be	0x11be
0x11c7	0x11da
0x11dd	0x11eb
0x11f5	0x11f5
0x1263	0x1278
0x12bb	0x12f4
0x12fc	0x1320
0x1329	0x1379
0x1383	0x138c
0x1392	0x13a5
0x13ab	0x13f1
0x13fb	0x1404
0x140a	0x141d
0x1423	0x1498
0x14a7	0x14a7
0x1501	0x1518
0x15b1	0x15d3
0x15dc	0x15e5
0x15eb	0x160b
0x1612	0x1625
0x1628	0x1636
0x163c	0x165e
0x1667	0x167a
0x16ca	0x16e1
0x1701	0x170f
0x1717	0x1720
0x1726	0x1734
0x174b	0x179d
0x17d0	0x181e
0x182b	0x1844
0x18c1	0x18d7
0x1930	0x1947
0x195a	0x1964
0x196b	0x1975
0x197c	0x198d
0x19b3	0x19de
0x1a39	0x1a50
0x1a72	0x1aac
