0x2d0	0x3f5
0x3f7	0x4c2
0x5bb	0x6d9
0x703	0x919
0xb84	0xd70
0xe69	0x1086
0x1095	0x1095
0x10c1	0x10d5
0x10d8	0x10e7
0x10ed	0x1111
0x111a	0x111a
0x1135	0x114a
0x1170	0x117b
0x1182	0x1196
0x1199	0x11a8
0x11ae	0x11ae
0x11b8	0x11cc
0x11cf	0x11de
0x11f3	0x1242
0x1249	0x12c2
0x12e0	0x12f5
0x12fb	0x134f
0x135b	0x1364
0x136a	0x137f
0x1385	0x13d4
0x13db	0x142a
0x1431	0x14a4
0x14b2	0x14d6
0x14df	0x152e
0x1535	0x15ff
0x1611	0x161c
0x1623	0x1637
0x163a	0x1649
0x164f	0x1673
0x167c	0x1707
0x1716	0x1765
0x176c	0x17ad
0x17b9	0x17c8
0x17ce	0x17f2
0x17fb	0x17fb
0x182c	0x1837
0x1841	0x1841
0x189e	0x18b7
0x18be	0x18c7
0x18cd	0x18fc
0x1950	0x1969
0x19a4	0x19b1
0x1a09	0x1a22
0x1a75	0x1a8e
0x1ad3	0x1b2e
0x1c53	0x1c6d
0x1cc1	0x1cda
0x1d2d	0x1d46
0x1d6c	0x1dbc
0x1dd9	0x1df1
0x1dfc	0x1e59
0x1e66	0x1e75
0x1e7b	0x1e9f
0x1ef4	0x1f0d
0x1f14	0x1f36
0x1f3d	0x1f51
0x1f54	0x1f63
0x1f69	0x1f8d
0x1fe2	0x1ffb
0x2002	0x204f
0x20a6	0x20bf
0x9138	0x9138
0x915a	0x915a
