0x3b2	0x4be
0x4dc	0x94a
0x16df	0x1704
0x181b	0x1823
0x1980	0x1980
0x199f	0x19a9
0x19b0	0x19b9
0x19bf	0x19d2
0x19e9	0x19fc
0x19ff	0x1a0d
0x1a1f	0x1a6d
0x1a74	0x1ac5
0x1afa	0x1afa
0x1b35	0x1b84
0x1bba	0x1bba
0x1bd4	0x1bd4
0x1be2	0x1be2
0x1c2a	0x1c35
0x1c49	0x1caa
0x1cbc	0x1d10
0x1d1b	0x1d25
0x1d2c	0x1d3f
0x1d42	0x1d50
0x1d56	0x1d78
0x1d81	0x1db5
0x1dbf	0x1dc8
0x1dce	0x1dfb
0x1e03	0x1e03
0x1e1d	0x1e30
0x1e36	0x1e76
0x1e80	0x1e93
0x1e99	0x1eac
0x1eaf	0x1ebd
0x1ec3	0x1ee5
0x1eee	0x1f28
0x1f31	0x1f44
0x1f47	0x1f55
0x1f5b	0x1f7d
0x1f86	0x1fa8
0x1fbb	0x1fbb
0x1fde	0x1fe8
0x1ff2	0x1ff2
0x2002	0x202f
0x203a	0x2052
0x20b4	0x20c2
0x20c8	0x20ea
0x2120	0x215a
0x218e	0x21b3
0x21be	0x21eb
0x2226	0x223b
0x2270	0x22a9
0x22b1	0x22d5
0x22de	0x231c
0x236f	0x2386
0x23d7	0x23ee
0x243f	0x2456
0x24a7	0x24be
0x250f	0x2526
0x2577	0x258e
0x2595	0x25b5
0x25bc	0x25ca
0x25d0	0x25f2
0x266b	0x2682
0x26f9	0x2710
0x2717	0x2756
0x2761	0x2781
0x2788	0x27ce
0x27d8	0x2805
0x2855	0x286c
