0x2ab	0x323
0x327	0x3f1
0x3f4	0x5cb
0x5d5	0x881
0x88d	0xb6c
0xb71	0xc06
0xc46	0xc64
0xdcf	0xe1d
0xe24	0xf82
0xf86	0x1063
0x106d	0x106d
0x1077	0x1077
0x109a	0x10a4
0x10ae	0x10ae
0x1108	0x111f
0x113a	0x1188
0x118f	0x11ce
0x11da	0x1228
0x122f	0x129f
0x12cc	0x12d6
0x12dd	0x12f0
0x12f3	0x1301
0x1307	0x1329
0x1332	0x1332
0x133b	0x1344
0x134a	0x135d
0x1363	0x13b1
0x13b8	0x13f7
0x144d	0x1464
0x14b5	0x14cc
0x150c	0x1527
0x1533	0x158d
0x15c7	0x15eb
0x1603	0x160d
0x1614	0x161e
0x1645	0x1656
0x165c	0x165c
0x166a	0x1682
0x168e	0x16c6
0x16d5	0x16f0
0x1746	0x175d
0x1764	0x176d
0x1773	0x1786
0x178c	0x1797
0x17ec	0x1803
0x180a	0x181d
0x1820	0x182e
0x1834	0x1856
0x185f	0x187f
0x18d0	0x18e7
0x197b	0x1989
0x19a0	0x19ae
0x19b4	0x19c2
0x19e5	0x1a3f
0x1a57	0x1a57
0x1a93	0x1aec
0x1afa	0x1b05
0x1b40	0x1ba0
0x1bb2	0x1bcb
0x1bd4	0x1be0
0x1c36	0x1c4d
0x1c90	0x1cb6
0x1cf6	0x1cff
0x1d05	0x1d18
0x1d39	0x1d73
0xf86	0x8538
0xf86	0x8561
