0x18e	0x240
0x569	0x90d
0xca8	0xeba
0xed1	0xed1
0xef0	0xefa
0xf01	0xf14
0xf17	0xf25
0xf2b	0xf2b
0xf34	0xf47
0xf4a	0xf58
0xf6a	0xfb8
0xfbf	0x1046
0x1055	0x1055
0x106f	0x1082
0x1088	0x1091
0x1097	0x10aa
0x10b0	0x10fe
0x1105	0x1144
0x1150	0x115a
0x1170	0x1183
0x1189	0x1189
0x11e3	0x11fa
0x124b	0x1262
0x1269	0x1269
0x12d7	0x12ec
0x1358	0x1358
0x1366	0x139f
0x13a7	0x13cb
0x13d4	0x13e7
0x13ea	0x13f8
0x14a3	0x151f
0x1529	0x154d
0x1556	0x1594
0x15d4	0x15d4
0x161c	0x1627
0x167c	0x1693
0x16e4	0x16fb
0x170e	0x1729
0x1735	0x1757
0x1760	0x1782
0x178b	0x17e5
0x1811	0x181d
0x1829	0x1837
0x183d	0x185f
0x1895	0x18cf
0x1903	0x1928
0x1933	0x1960
0x1966	0x1966
0x196f	0x1989
0x1990	0x199a
0x19a1	0x19ab
0x19b2	0x19bb
0x19c1	0x19ca
0x19d0	0x19f0
0x19f7	0x1a05
0x1a0b	0x1a2d
0x1a36	0x1a56
0x1a5d	0x1a5d
0x1a80	0x1a8a
0x1a94	0x1a94
0x1aab	0x1ae4
0x1aea	0x1b04
0x1b1a	0x1b3a
0x1b50	0x1b70
0x1bc1	0x1bd8
0x912	0x81b4
0x912	0x81d5
