0x26f	0xdae
0xe05	0xeba
0xf21	0xf34
0xf37	0xf45
0xf4b	0xf4b
0xf6a	0xf74
0xf7b	0xf8e
0xf91	0xf9f
0xfb1	0xfff
0x1006	0x10c4
0x10d6	0x10df
0x10e5	0x10f8
0x1107	0x1121
0x1128	0x1132
0x1139	0x1143
0x1159	0x116c
0x1172	0x117c
0x1192	0x11a5
0x11ab	0x11b9
0x11bf	0x11e1
0x11ea	0x11ea
0x1244	0x125b
0x12ac	0x12c3
0x12d6	0x12f2
0x12f5	0x12f5
0x1363	0x13ef
0x13f2	0x13f2
0x1446	0x1446
0x1450	0x146d
0x1478	0x149c
0x14a8	0x14be
0x1501	0x1519
0x156b	0x1581
0x15d6	0x15ec
0x15f7	0x15f7
0x1600	0x1613
0x1616	0x1624
0x162a	0x164c
0x169f	0x16b6
0x16ea	0x16ea
0x16f8	0x170b
0x170e	0x171c
0x1722	0x1744
0x175c	0x1789
0x1791	0x179f
0x17a5	0x17c7
0x188e	0x18a5
0x18bb	0x18db
0x192c	0x1943
0x194a	0x1977
0x19c7	0x19de
0x19e5	0x19ee
0x1a03	0x1a0c
0x1a21	0x1abb
0x1ac1	0x1ad5
0x1b25	0x1b3b
0x1bb6	0x1bcd
0x1c1e	0x1c35
0x1363	0x7472
0x1363	0x7494
0x1363	0x74b6
0x1363	0x74d8
