0x2c9	0x37e
0x381	0x84b
0x212a	0x212a
0x2149	0x2153
0x215a	0x2163
0x2169	0x217c
0x2182	0x2182
0x218b	0x21a5
0x21ac	0x21b6
0x21bd	0x21c7
0x21dd	0x21f0
0x2203	0x2216
0x2219	0x2227
0x222d	0x222d
0x2236	0x2249
0x224c	0x225a
0x2260	0x2260
0x226e	0x2281
0x2284	0x2292
0x2298	0x22f0
0x22fc	0x2305
0x230b	0x231e
0x2324	0x2324
0x232f	0x2342
0x2345	0x2353
0x2359	0x23fa
0x240a	0x2414
0x242a	0x243d
0x2443	0x2463
0x246a	0x2478
0x247e	0x24a0
0x24a9	0x24b7
0x24bd	0x24df
0x24e8	0x24f1
0x2506	0x250f
0x2524	0x25be
0x25c4	0x25d8
0x260b	0x2638
0x2647	0x2661
0x2668	0x2671
0x2677	0x2697
0x26a8	0x26a8
0x26cb	0x26d5
0x26df	0x26df
0x2739	0x2750
0x2757	0x2784
0x27d6	0x27fc
0x284c	0x2872
0x28c2	0x28e8
0x2938	0x295e
0x29f8	0x2a22
0x2a29	0x2a32
0x2a38	0x2a4b
0x2a51	0x2a7e
0x2ace	0x2af4
0x2b06	0x2b22
0x2b25	0x2b25
0x2b93	0x2c1f
0x2c4a	0x2c61
0x2c9e	0x2ccb
0x2cd6	0x2d01
0x2d09	0x2d21
0x2d51	0x2d68
0x2d73	0x2d9d
0x2dee	0x2e05
0x2e0c	0x2e32
0x2e82	0x2eac
0x2efd	0x2f23
0x2f51	0x2f68
0x2f73	0x2f9e
0x2fa6	0x2fd0
0x3021	0x3038
0x303f	0x3065
0x30b5	0x30db
0x3109	0x3120
0x312b	0x3156
0x315e	0x3188
0x31ff	0x3216
0x321d	0x3243
0x3293	0x32b9
0x32e7	0x32fe
0x3309	0x3334
0x333c	0x3366
0x33dd	0x33f4
0x33fb	0x3421
0x3471	0x3497
0x34e7	0x350d
0x3522	0x355c
0x358d	0x35a4
0x35af	0x35da
0x35e2	0x360f
0x3617	0x3641
0x3692	0x36a9
0x36b0	0x36dd
0x36e5	0x370b
0x375b	0x3781
0x37d1	0x37f7
0x3825	0x383c
0x3847	0x3872
0x387a	0x389a
0x38a1	0x38cb
0x3942	0x3959
0x3960	0x3986
0x2b93	0xe94c
0x2b93	0xe96e
0x2b93	0xe990
0x2b93	0xe9b2
