0x9	0x7e
0x19	0x4d
0x49	0xdc
0x7a	0xdc
0x80	0xdc
0xcf	0xda
0x128	0x133
0x139	0x140
0x142	0x149
0x145	0x281
0x14d	0x156
0x163	0x16a
0x16c	0x173
0x16f	0x299
0x177	0x180
0x18d	0x194
0x196	0x19d
0x199	0x2b1
0x1a1	0x1aa
0x1b7	0x1be
0x1c0	0x1c7
0x1cd	0x1d4
0x1d6	0x1ef
0x1e1	0x1ea
0x1f3	0x1fc
0x209	0x210
0x212	0x219
0x215	0x85a
0x21d	0x226
0x233	0x23a
0x23c	0x255
0x247	0x250
0x251	0x872
0x25b	0x262
0x264	0x26b
0x267	0x2112
0x26f	0x278
0x3c7	0x3d1
0x3e2	0x3ed
0x408	0x411
0x457	0x460
0x470	0x47b
0x496	0x49f
0x58f	0x598
0x5a9	0x5b4
0x5cf	0x5d8
0x61e	0x627
0x637	0x642
0x65d	0x666
0x66c	0x675
0x6bc	0x6c6
0x6d7	0x6e2
0x6fd	0x706
0x74b	0x754
0x764	0x76b
0x772	0x77d
0x78a	0x84b
0x7be	0x7c6
0x7dc	0x800
0x7fc	0x805
0x80b	0x849
0x838	0x840
0x8b1	0x8bc
0x8ea	0x8f3
0x921	0x92a
0x958	0x961
0x98f	0x998
0x9d1	0xa05
0xa07	0xa3b
0xa3d	0xaf5
0xa65	0xa6d
0xab2	0xabb
0xafb	0xb04
0xb2c	0xb35
0xb79	0xb82
0xb95	0xbbc
0xbb0	0xbb9
0xbbd	0xd69
0xbc1	0xbc8
0xbd0	0xca9
0xbd5	0xbdc
0xbde	0xbe7
0xbe3	0xcab
0xc0d	0xc16
0xc5b	0xc64
0xc97	0xca0
0xcd0	0xcd8
0xd1d	0xd26
0xd58	0xd60
0xd90	0xd99
0xda4	0xe67
0xdcc	0xdd4
0xe19	0xe22
0xe55	0xe5e
0xe6b	0x11cd
0xe95	0xe9e
0xee4	0xeeb
0xef5	0xefc
0xefd	0x1145
0xf01	0xf08
0xf10	0x1037
0xf15	0xf1c
0xf1e	0xf27
0xf23	0x1039
0xf4d	0xf56
0xf9b	0xfa4
0xfe9	0xff2
0x1025	0x102e
0x105e	0x1066
0x10ab	0x10b4
0x10f9	0x1102
0x1134	0x113c
0x1183	0x118c
0x11bb	0x11c4
0x11d0	0x1532
0x11fa	0x1203
0x1249	0x1250
0x125a	0x1261
0x1262	0x14aa
0x1266	0x126d
0x1275	0x139c
0x127a	0x1281
0x1283	0x128c
0x1288	0x139e
0x12b2	0x12bb
0x1300	0x1309
0x134e	0x1357
0x138a	0x1393
0x13c3	0x13cb
0x1410	0x1419
0x145e	0x1467
0x1499	0x14a1
0x14e8	0x14f1
0x1520	0x1529
0x1535	0x1897
0x155f	0x1568
0x15ae	0x15b5
0x15bf	0x15c6
0x15c7	0x180f
0x15cb	0x15d2
0x15da	0x1701
0x15df	0x15e6
0x15e8	0x15f1
0x15ed	0x1703
0x1617	0x1620
0x1665	0x166e
0x16b3	0x16bc
0x16ef	0x16f8
0x1728	0x1730
0x1775	0x177e
0x17c3	0x17cc
0x17fe	0x1806
0x184d	0x1856
0x1885	0x188e
0x18c8	0x18d1
0x18e1	0x18ec
0x1907	0x1910
0x1938	0x1941
0x194c	0x1d1a
0x1976	0x197f
0x19ba	0x19c6
0x19da	0x1a01
0x19f5	0x19fe
0x1a02	0x1c52
0x1a06	0x1a0d
0x1a15	0x1b40
0x1a1a	0x1a21
0x1a23	0x1a2c
0x1a28	0x1b42
0x1a52	0x1a5b
0x1aa2	0x1aad
0x1af2	0x1afb
0x1b2e	0x1b37
0x1b67	0x1b6f
0x1bb6	0x1bc1
0x1c06	0x1c0f
0x1c41	0x1c49
0x1c92	0x1c9d
0x1ccc	0x1cd5
0x1d03	0x1d0c
0x1d16	0x20b4
0x1d41	0x1d4a
0x1d97	0x1da1
0x1db5	0x1ddc
0x1dd0	0x1dd9
0x1ddd	0x2029
0x1de1	0x1de8
0x1df0	0x1f19
0x1df5	0x1dfc
0x1dfe	0x1e07
0x1e03	0x1f1b
0x1e2d	0x1e36
0x1e7c	0x1e86
0x1ecb	0x1ed4
0x1f07	0x1f10
0x1f40	0x1f48
0x1f8e	0x1f98
0x1fdd	0x1fe6
0x2018	0x2020
0x2069	0x2073
0x20a2	0x20ab
0x20f2	0x20fb
0xe9b5	0xe9d4
0xe9b7	0xe9d7
0xe9b9	0xe9da
0xe9bb	0xe9dd
0xe9bd	0xe9c8
0xe9bf	0xe9cb
0xe9c1	0xe9ce
0xe9c3	0xe9d1
0x2b16V0xbc1	0x2b1fB0xbc1
0x2b1bV0xbc1	0x2afaB0xbc1
0x2b0dV0xbc1	0x2b22B0xbc1
0x2b16V0xf01	0x2b1fB0xf01
0x2b1bV0xf01	0x2afaB0xf01
0x2b0dV0xf01	0x2b22B0xf01
0x2b16V0x1266	0x2b1fB0x1266
0x2b1bV0x1266	0x2afaB0x1266
0x2b0dV0x1266	0x2b22B0x1266
0x2b16V0x15cb	0x2b1fB0x15cb
0x2b1bV0x15cb	0x2afaB0x15cb
0x2b0dV0x15cb	0x2b22B0x15cb
0x2b16V0x1a06	0x2b1fB0x1a06
0x2b1bV0x1a06	0x2afaB0x1a06
0x2b0dV0x1a06	0x2b22B0x1a06
0x2b16V0x1de1	0x2b1fB0x1de1
0x2b1bV0x1de1	0x2afaB0x1de1
0x2b0dV0x1de1	0x2b22B0x1de1
0x328V0x1be	0x333B0x1be
0x2d9V0x1be	0x339B0x1be
0x371V0x1be	0x37cB0x1be
0x335V0x1be	0x37eB0x1be
0x26cdV0x78e	0x26d5B0x78e
0x26d1V0x78e	0x26abB0x78e
0x26b9V0x78e	0x26c1B0x78e
0x26adV0x78e	0x26b6B0x78e
0x26b2V0x78e	0x269eB0x78e
0x2748V0x80f	0x2750B0x80f
0x274cV0x80f	0x2717B0x80f
0x2726V0x80f	0x272eB0x80f
0x272aV0x80f	0x26efB0x80f
0x2719V0x80f	0x2723B0x80f
0x2a07V0xa41	0x2a0fB0xa41
0x2a0bV0xa41	0x298cB0xa41
0x299bV0xa41	0x29a3B0xa41
0x299fV0xa41	0x2964B0xa41
0x29e5V0xa41	0x29edB0xa41
0x29e9V0xa41	0x29aeB0xa41
0x2a1aV0xa41	0x2a22B0xa41
0x2a1eV0xa41	0x29d6B0xa41
0x298eV0xa41	0x2998B0xa41
0x29d8V0xa41	0x29e2B0xa41
0x2dfdV0xd26	0x2e05B0xd26
0x2e01V0xd26	0x2dccB0xd26
0x2ddbV0xd26	0x2de3B0xd26
0x2ddfV0xd26	0x2da4B0xd26
0x2dceV0xd26	0x2dd8B0xd26
0x3030V0x1102	0x3038B0x1102
0x3034V0x1102	0x2fffB0x1102
0x300eV0x1102	0x3016B0x1102
0x3012V0x1102	0x2fd7B0x1102
0x3001V0x1102	0x300bB0x1102
0x320eV0x1467	0x3216B0x1467
0x3212V0x1467	0x31ddB0x1467
0x31ecV0x1467	0x31f4B0x1467
0x31f0V0x1467	0x318fB0x1467
0x31dfV0x1467	0x31e9B0x1467
0x33ecV0x17cc	0x33f4B0x17cc
0x33f0V0x17cc	0x33bbB0x17cc
0x33caV0x17cc	0x33d2B0x17cc
0x33ceV0x17cc	0x336dB0x17cc
0x33bdV0x17cc	0x33c7B0x17cc
0x36a1V0x1c0f	0x36a9B0x1c0f
0x36a5V0x1c0f	0x3670B0x1c0f
0x367fV0x1c0f	0x3687B0x1c0f
0x3683V0x1c0f	0x3648B0x1c0f
0x3672V0x1c0f	0x367cB0x1c0f
0x3951V0x1fe6	0x3959B0x1fe6
0x3955V0x1fe6	0x3920B0x1fe6
0x392fV0x1fe6	0x3937B0x1fe6
0x3933V0x1fe6	0x38d2B0x1fe6
0x3922V0x1fe6	0x392cB0x1fe6
0x2b85V0xbd4	0x2b35B0xbd4
0x2b9dV0xbd4	0x2ba4B0xbd4
0x2ba0V0xbd4	0x21f6B0xbd4
0x2b99V0xbd4	0xe94cB0xbd4
0x2b7eV0xbd4	0x2b8aB0xbd4
0x2bc2V0xbd4	0x2bccB0xbd4
0x2bdeV0xbd4	0x2beaB0xbd4
0x2bfaV0xbd4	0x2c07B0xbd4
0x2c08V0xbd4	0x2c16B0xbd4
0x2c12V0xbd4	0x2b62B0xbd4
0x2b63V0xbd4	0x2b6bB0xbd4
0x2bc8V0xbd4	0xe96eB0xbd4
0x2be6V0xbd4	0xe990B0xbd4
0x2c03V0xbd4	0xe9b2B0xbd4
0x2b85V0xf14	0x2b35B0xf14
0x2b9dV0xf14	0x2ba4B0xf14
0x2ba0V0xf14	0x21f6B0xf14
0x2b99V0xf14	0xe94cB0xf14
0x2b7eV0xf14	0x2b8aB0xf14
0x2bc2V0xf14	0x2bccB0xf14
0x2bdeV0xf14	0x2beaB0xf14
0x2bfaV0xf14	0x2c07B0xf14
0x2c08V0xf14	0x2c16B0xf14
0x2c12V0xf14	0x2b62B0xf14
0x2b63V0xf14	0x2b6bB0xf14
0x2bc8V0xf14	0xe96eB0xf14
0x2be6V0xf14	0xe990B0xf14
0x2c03V0xf14	0xe9b2B0xf14
0x2b85V0x1279	0x2b35B0x1279
0x2b9dV0x1279	0x2ba4B0x1279
0x2ba0V0x1279	0x21f6B0x1279
0x2b99V0x1279	0xe94cB0x1279
0x2b7eV0x1279	0x2b8aB0x1279
0x2bc2V0x1279	0x2bccB0x1279
0x2bdeV0x1279	0x2beaB0x1279
0x2bfaV0x1279	0x2c07B0x1279
