0x8fd2	0x335
0x906b	0xa24
0x906e	0xa44
0x9071	0xa64
0x9074	0xa89
0x9062	0x9cf
0x9065	0x9ef
0x9068	0xa04
0x9056	0x964
0x9059	0x97a
0x905c	0x99a
0x905f	0x9af
0x904d	0x8ef
0x9050	0x92f
0x9053	0x94f
0x9041	0x884
0x9044	0x89a
0x9047	0x8ba
0x904a	0x8da
0x9038	0x82f
0x903b	0x84f
0x903e	0x864
0x9026	0x78f
0x9029	0x7a4
0x902c	0x7c4
0x902f	0x7e4
0x9032	0x7fa
0x9035	0x80f
0x901a	0x724
0x901d	0x73a
0x9020	0x74f
0x9023	0x76f
0x9011	0x6c4
0x9014	0x6e4
0x9017	0x704
0x9005	0x64e
0x9008	0x66e
0x900b	0x68e
0x900e	0x6a4
0x8ffc	0x5f9
0x8fff	0x619
0x9002	0x62e
0x8ff0	0x555
0x8ff3	0x575
0x8ff6	0x595
0x8ff9	0x5cd
0x8fe7	0x50a
0x8fea	0x520
0x8fed	0x535
0x8fd5	0x42b
0x8fd8	0x456
0x8fdb	0x476
0x8fde	0x4a6
0x8fe1	0x4d4
0x8fe4	0x4ea
0xb37B0x105d	0x1841
0xaa9B0x437	0x1c12
0x800aB0x437	0x1c12
0xb37B0x471	0x1841
0xf700xec9B0x669	0x1c9e
0x129fB0x806	0x1c12
0x844cB0x806	0x1c12
0xb37B0x10c6	0x1841
0xb37B0xb56B0x491	0x1841
0xb370xbe1B0xbc8B0x4c1	0x1841
0xb37B0xc2dB0x505	0x1841
0xf700xec9B0xc7aB0x52c	0x1c9e
0xb37B0xccdB0x550	0x1841
0xb37B0xd18B0x570	0x1841
0xb37B0xd93B0x590	0x1841
0xb37B0xdfdB0x614	0x1841
0xf700xec9B0xe4aB0x625	0x1c9e
0xb370xe9aB0xe81B0x649	0x1841
0xb37B0xf84B0x689	0x1841
0xb370x115cB0x1143B0x71f	0x1841
0xf700xec9B0x118bB0x78a	0x1c9e
0xb37B0x11d8B0x79b	0x1841
0xb370x1228B0x120fB0x7bf	0x1841
0xb370x1270B0x1257B0x7df	0x1841
0xf700xec9B0x12acB0x82a	0x1c9e
0xb370x1312B0x12f9B0x84a	0x1841
0xb37B0x1341B0x85b	0x1841
0xb37B0x1378B0x87f	0x1841
0xb37B0x13ccB0x8b5	0x1841
0xb37B0x143eB0x8d5	0x1841
0xb37B0x148bB0x8e6	0x1841
0xf700x14edB0x14c2B0x90a	0x1c9e
0xb370x155bB0x1542B0x94a	0x1841
0xf700xec9B0x158aB0x95b	0x1c9e
0xb37B0x15c1B0x995	0x1841
0xf700xec9B0x1645B0x9a6	0x1c9e
0xb370x1695B0x167cB0x9ca	0x1841
0xf700xec9B0x16c4B0x9ea	0x1c9e
0xb37B0x1719B0x9fb	0x1841
0xb37B0x1750B0xa1f	0x1841
0xb37B0x179dB0xa5f	0x1841
0xb370x1812B0x17f9B0xaa4	0x1841
