0xccd	0xd14
0x14c2	0x1532
0x15c1	0x163a
0x18c0	0x18db
0x1939	0x1962
0x196a	0x1984
0x1992	0x19cb
0x1a35	0x1a53
0x1a61	0x1a73
0x1a97	0x1ac7
0x1ae6	0x1b3e
0x1b97	0x1bc5
0x1bd0	0x1c07
0x1c12	0x1c46
0x1c69	0x1c7b
0x1c82	0x1c94
0xd18	0x81c4
0x1841	0x880f
0x1910	0x8836
0x19e8	0x8880
0x1a1d	0x88a7
0x1a7a	0x88c9
0x1ad8	0x88ef
0x1c4c	0x8911
0x1c9e	0x895b
0xb56	0x8c37
0xbc8	0x8c5e
0xc2d	0x8c84
0xd93	0x8caa
0xdfd	0x8cd1
0xe81	0x8cf7
0xf84	0x8d1d
0x1143	0x8d43
0x118b	0x8d69
0x120f	0x8d8f
0x1257	0x8db5
0x12ac	0x8ddb
0x12f9	0x8e01
0x1378	0x8e27
0x13cc	0x8e4e
0x143e	0x8e76
0x1542	0x8e9c
0x167c	0x8ec2
0x16c4	0x8ee8
0x1750	0x8f0f
0x179d	0x8f35
0x17f9	0x8f5d
0xaa9	0xb2f0xaa9
0x129f	0xb2f0x129f
0xb37	0xb500xb37
0xbe1	0xb500xbe1
0xe9a	0xb500xe9a
0x115c	0xb500x115c
0x1228	0xb500x1228
0x1270	0xb500x1270
0x1312	0xb500x1312
0x155b	0xb500x155b
0x1695	0xb500x1695
0x1812	0xb500x1812
0xc7a	0xcc70xc7a
0xe4a	0xcc70xe4a
0x11d8	0xcc70x11d8
0x1341	0xcc70x1341
0x148b	0xcc70x148b
0x158a	0xcc70x158a
0x1645	0xcc70x1645
0x1719	0xcc70x1719
0xaa9	0x80550xaa9
0x129f	0x80550x129f
0xaa9	0x807c0xaa9
0x129f	0x807c0x129f
0xec9	0x82e70xec9
0x14ed	0x82e70x14ed
