0x335	0x00000000
0x42b	0x6fdde03
0x456	0x933c1ed
0x476	0x95ea7b3
0x4a6	0xe752702
0x4d4	0x173b9904
0x4ea	0x17bfdfbc
0x50a	0x18160ddd
0x520	0x182df0f5
0x535	0x1be19560
0x555	0x23b872dd
0x575	0x2608f818
0x595	0x26782247
0x5cd	0x313ce567
0x5f9	0x3af9e669
0x619	0x3b1d21a2
0x62e	0x3e941010
0x64e	0x4487152f
0x66e	0x4576b5db
0x68e	0x47bd3718
0x6a4	0x555bcc40
0x6c4	0x5c60da1b
0x6e4	0x5fe3b567
0x704	0x601a0bf1
0x724	0x6752e702
0x73a	0x699cd5e2
0x74f	0x6f307dc3
0x76f	0x70a08231
0x78f	0x73acee98
0x7a4	0x83030846
0x7c4	0x852a12e3
0x7e4	0x8f840ddd
0x7fa	0x95d89b41
0x80f	0x95dd9193
0x82f	0xa0712d68
0x84f	0xa6afed95
0x864	0xa9059cbb
0x884	0xaa5af0fd
0x89a	0xb2a02ff1
0x8ba	0xb71d1a0c
0x8da	0xbd6d894d
0x8ef	0xc37f68e2
0x92f	0xc5ebeaec
0x94f	0xcd91801c
0x964	0xcfa99201
0x97a	0xd0248fb4
0x99a	0xd3bd2c72
0x9af	0xdb006a75
0x9cf	0xdd62ed3e
0x9ef	0xe9c714f2
0xa04	0xf2b3abbd
0xa24	0xf3fdb15a
0xa44	0xf5e3c462
0xa64	0xf851a440
0xa89	0xfca7820b
