0x1e1d	0x1e4d
0x1e4e	0x1e7b
0x1e7c	0x1eab
0x1eb4	0x1ec7
0x1ec8	0x1ec8
0x1eed	0x1f05
0x1f09	0x1f22
0x1f26	0x1f3e
0x1f65	0x1f75
0x1f81	0x1f90
0x201c	0x204e
0x204f	0x2061
0x2063	0x2075
0x2078	0x20ad
0x20ae	0x20b9
0x21a2	0x21d2
0x21d5	0x220a
0x220b	0x223f
0x2240	0x2254
0x2271	0x2282
0x2285	0x22b6
0x22b7	0x22b7
0x244f	0x247c
0x2523	0x254b
0x2559	0x2565
0x2566	0x2597
0x25d0	0x25ef
0x2689	0x295e
0x29cf	0x2c97
0x2cbe	0x2cce
0x2cd6	0x2d0e
0x2d22	0x2d46
0x2dcf	0x2de7
0x2e02	0x2e94
0x2ece	0x2f1f
0x32d5	0x3306
0x332f	0x3342
0x33b0	0x33bf
0x33c1	0x33c9
0x33ce	0x33d8
0x33e2	0x342f
0x3456	0x348f
0x351e	0x3566
0x3578	0x35d4
0x3770	0x37bd
0x38f5	0x3939
0x3a1e	0x3a4c
0x3a1e	0x3a4e
0x3b4b	0x3bf5
0x3b4b	0x3c07
0x3c2e	0x3c62
0x1fe2	0x1338d
0x20d6	0x133b2
0x22d7	0x134de
0x23f6	0x13558
0x248c	0x1357a
0x24d9	0x136a4
0x2689	0x1384f
0x29cf	0x138a7
0x2e02	0x138c9
0x3259	0x139bc
0x3259	0x13a03
0x332f	0x13a25
0x33e2	0x13a6d
0x33e2	0x13ab4
0x3659	0x13ad6
0x3685	0x13af8
0x3a54	0x13b95
0x1f42	0x1f610x1f42
0x25c0	0x25ca0x25c0
0x2fa0	0x25ca0x2fa0
0x3259	0x32b00x3259
0x33e2	0x32b00x33e2
0x2689	0x138090x2689
0x29cf	0x138090x29cf
0x2689	0x1382c0x2689
0x29cf	0x1382c0x29cf
