0xd00	Error(string)
0x1185	TransferFromFailed()
0x1272	InvalidToken()
0x3cd6	ApproveFailed()
0x7b9b	Panic(uint256)
0x7c0c	ClaimFailed()
0x7fa0	Panic(uint256)
0x80b4	Panic(uint256)
0x8100	Panic(uint256)
0x81da	Panic(uint256)
0x895e	Panic(uint256)
0x89cf	ClaimFailed()
0x8ff7	Panic(uint256)
0x90b2	Panic(uint256)
0x90fe	Panic(uint256)
0x914a	Panic(uint256)
0x9196	Panic(uint256)
0x8c800x5b2	Panic(uint256)
0x8c800x20d6	Panic(uint256)
0x8c800x248c	Panic(uint256)
0x90430x25c0	Panic(uint256)
0x90430x2fa0	Panic(uint256)
0x93a4S0xe0e	Panic(uint256)
0x93a4S0xe1f	Panic(uint256)
0x8b9cS0x12aa	Panic(uint256)
0x8c800x1f42S0x1583	Panic(uint256)
0x8c800x1f42S0x2e20	Panic(uint256)
0x8c800x1f42S0x87	Panic(uint256)
0x25bfS0x217	OnlyRouter()
0x8be8S0x28a	Panic(uint256)
0x8c800x1f42S0x486	Panic(uint256)
0x8c800x1f42S0x4db	Panic(uint256)
0x8c800x1f42S0x12eb8	Panic(uint256)
0x8c800x1f42S0x81e	Panic(uint256)
0x8c800x1f42S0x24d9	Panic(uint256)
0x8c800x1f42S0x986	Panic(uint256)
0x8c800x1f42S0x12f2d	Panic(uint256)
0x8be8S0x9c8	Panic(uint256)
0x8c800x1f42S0x12f8d	Panic(uint256)
0x8c800x1f42S0xd0f	Panic(uint256)
0x93a4S0xe3a	Panic(uint256)
0x93a4S0x12fed	Panic(uint256)
0x8c800x1f42S0x10db	Panic(uint256)
0x93a4S0x13061	Panic(uint256)
0x8c800x1f42S0x14a2	Panic(uint256)
0x8c800x1f42S0x17f2	Panic(uint256)
0x92e9S0x196d	Panic(uint256)
0x8c800x1f42S0x1a11	Panic(uint256)
0x8c800x1f42S0x19ee	Panic(uint256)
0x8c800x1f42S0x132e8	Panic(uint256)
0x25bfS0x1bba	OnlyRouter()
0x8c800x1f42S0x1df8	Panic(uint256)
0x8c800x1f42S0x1fea	Panic(uint256)
0x8c800x1f42S0x1f81	Panic(uint256)
0x8c800x1f42S0x13404	Panic(uint256)
0x8c800x1f42S0x1359f	Panic(uint256)
0x8c800x1f42S0x136c9	Panic(uint256)
0x8c800x1f42S0x13729	Panic(uint256)
0x8be8S0x2758	Panic(uint256)
0x8c800x1f42S0x2a60	Panic(uint256)
0x8c800x1f42S0x2a98	Panic(uint256)
0x8be8S0x2ade	Panic(uint256)
0x8c800x1f42S0x2ce2	Panic(uint256)
0x8c800x1f42S0x2e83	Panic(uint256)
0x93a4S0xe8e	Panic(uint256)
0x95b8S0xdcf	Panic(uint256)
0x9604S0xdcf	Panic(uint256)
0x9650S0xdcf	Panic(uint256)
0x93a4S0xdf2	Panic(uint256)
0x8c800x1f42S0x29060x2689	Panic(uint256)
0x8c800x1f42S0x29060x29cf	Panic(uint256)
0x91e2S0x80f	Panic(uint256)
0x8c800x1f42S0x3659S0x253	Panic(uint256)
0x8c800x1f42S0x3685S0x268	Panic(uint256)
0x8c800x1f42S0x373fS0x268	Panic(uint256)
0x91e2S0x2cd6	Panic(uint256)
0x8c800x1f42S0x3659S0x1be9	Panic(uint256)
0x8c800x1f42S0x3685S0x1bfb	Panic(uint256)
0x8c800x1f42S0x373fS0x1bfb	Panic(uint256)
0x8c800x1f42S0x252fS0x1c3a	Panic(uint256)
0x8cccS0x2523S0x1c3a	Panic(uint256)
