0xa	0xa2
0x11	0x18
0x46	0x7a0a
0x7e	0x7a2d
0x82	0x87
0x89	0x91
0x173	0xe
0x178	0x7a57
0x184	0x7a7a
0x196	0x7a9d
0x1aa	0x7ac0
0x1bd	0x7ae3
0x1cf	0x7b06
0x1e1	0x7b29
0x1e5	0x1f2
0x206	0x7b4c
0x20a	0x217
0x218	0x222
0x22a	0x7b6f
0x233	0x23e
0x23f	0x248
0x24b	0x253
0x255	0x25e
0x260	0x268
0x26a	0x271
0x273	0x27f
0x282	0x28a
0x290	0x298
0x29d	0x2a5
0x2ed	0x2f5
0x354	0x35c
0x36c	0x374
0x3a5	0x3ad
0x3be	0x3c6
0x3d7	0x3df
0x427	0x7bbb
0x42d	0x4cc
0x435	0x7be5
0x45a	0x46f
0x45d	0x12df0
0x471	0x7c2c
0x478	0x486
0x47d	0x12e14
0x48b	0x494
0x4d7	0x4f8
0x4dd	0x4e8
0x4ed	0x7c4f
0x4f4	0x431
0x4fc	0x4db
0x52f	0x7c72
0x53b	0x7c95
0x54d	0x7cb8
0x551	0x56a
0x554	0x12e3b
0x57a	0x7cdb
0x585	0x7cfe
0x5b4	0x7d21
0x5ba	0x5c2
0x5c4	0x12e61
0x5c7	0x5d1
0x5d2	0x12e8b
0x5d5	0x609
0x5d8	0x12eb8
0x5db	0x5e8
0x60e	0x61e
0x611	0x12ee5
0x61f	0x62f
0x622	0x12f09
0x6b4	0x7d44
0x6bf	0x7d67
0x6ee	0x7d8a
0x6f9	0x7dad
0x731	0x7dd0
0x73c	0x7df3
0x774	0x7e16
0x780	0x7e39
0x791	0x7e5c
0x7a2	0x7e7f
0x7b3	0x7ea2
0x7c3	0x7ec5
0x7c7	0x7ce
0x7e8	0x7ee8
0x7fe	0x7f0b
0x80b	0x7f2e
0x816	0x81e
0x820	0x82c
0x83d	0x7f51
0x846	0x129b
0x853	0x860
0x86d	0x87a
0x87d	0x88a
0x88b	0x89e
0x8a1	0x8b4
0x8b5	0x8ea
0x8f3	0x901
0x908	0x1273
0x90f	0x124b
0x91c	0x1223
0x925	0xdc1
0x929	0x936
0x937	0x944
0x945	0x953
0x959	0x986
0x95c	0x12f2d
0x95f	0x12f5a
0x998	0x9a2
0x9af	0x9c8
0x9b2	0x12f8d
0x9b5	0x12fba
0x9d2	0x9da
0xa38	0xa4b
0xa4e	0xa61
0xa63	0x7f74
0xa67	0xa84
0xa6a	0xa7e
0xa8b	0x7fc0
0xab4	0x7fe3
0xab9	0xd33
0xabf	0xad1
0xb02	0xb85
0xbc6	0xbce
0xc0a	0xc12
0xc21	0xc29
0xc62	0x800f
0xc68	0xd01
0xc76	0xca3
0xd0b	0xd2b
0xd11	0xd1c
0xd21	0x8039
0xd27	0xc6c
0xd2f	0xd0f
0xd6e	0x805c
0xd74	0xd7f
0xd7b	0xd37
0xd83	0xabd
0xdcb	0x8088
0xdd3	0xde3
0xdee	0x1200
0xdf6	0xdfe
0xe0a	0x80d4
0xe0e	0xe17
0xe1b	0x8120
0xe29	0xe44
0xe30	0xe3a
0xe4a	0x8167
0xe5c	0x1186
0xe62	0x12fed
0xed5	0x1168
0xee2	0xf15
0xf18	0x1140
0xf1e	0x1118
0xf3a	0x81ae
0xfd1	0x81fa
0x107e	0x1086
0x10c9	0x821d
0x10d0	0x10db
0x10d7	0x921
0x10dd	0x10e5
0x10e7	0x10d4
0x1170	0x1179
0x1175	0xed9
0x1199	0x11cb
0x119c	0x11a9
0x11aa	0x11be
0x11d4	0xe60
0x120d	0x1186
0x1212	0x13061
0x12a6	0x8247
0x12b1	0x12b9
0x12be	0x12c8
0x12d3	0x842
0x12d9	0x826a
0x12e4	0x828d
0x1313	0x82b0
0x131f	0x82d3
0x1332	0x82f6
0x1336	0x1309b
0x134a	0x8319
0x1355	0x833c
0x135b	0x130c2
0x1364	0x835f
0x1370	0x8382
0x1382	0x83a5
0x1391	0x83c8
0x1395	0x130e9
0x13a4	0x83eb
0x13af	0x840e
0x13b3	0x13ba
0x1416	0x8431
0x141c	0x1494
0x1467	0x845b
0x149e	0x1507
0x14a4	0x14af
0x14b4	0x847e
0x14de	0x84a1
0x1503	0x1420
0x150b	0x14a2
0x1511	0x84c4
0x151d	0x84e7
0x152f	0x850a
0x153a	0x852d
0x154e	0x8550
0x155d	0x8573
0x157f	0x15b1
0x1583	0x15ad
0x1587	0x1599
0x15c7	0x15d2
0x15df	0x157b
0x15e5	0x8596
0x15f1	0x85b9
0x1603	0x85dc
0x1618	0x85ff
0x1626	0x8622
0x162a	0x1631
0x165a	0x8645
0x1668	0x195d
0x1673	0x185e
0x167d	0x1836
0x1688	0x1731
0x168e	0x13110
0x1691	0x171f
0x1694	0x16a1
0x16a3	0x16bf
0x16a6	0x13141
0x16c3	0x1316d
0x176c	0x8668
0x1772	0x17e4
0x179a	0x1319e
0x17ee	0x182e
0x17f4	0x17ff
0x1804	0x8692
0x182a	0x1776
0x1832	0x17f2
0x1865	0x18ea
0x186b	0x131fc
0x186e	0x18ce
0x1871	0x187f
0x1881	0x1890
0x1884	0x1322d
0x1894	0x13259
0x1925	0x86b5
0x192b	0x17e4
0x1952	0x1328a
0x195e	0x1973
0x1961	0x196d
0x1974	0x166c
0x197a	0x86df
0x1986	0x8702
0x1998	0x8725
0x19ab	0x8748
0x19c0	0x876b
0x19c4	0x1a11
0x19c7	0x19ee
0x19ca	0x132e8
0x19cd	0x19db
0x19fe	0x1a08
0x1a58	0x13315
0x1a64	0x878e
0x1a6a	0x1333f
0x1a6d	0x1a75
0x1a7d	0x87b1
0x1a89	0x87d4
0x1ab6	0x87f7
0x1ae3	0x1af2
0x1b18	0x1ae7
0x1b1e	0x881a
0x1b2a	0x883d
0x1b3c	0x8860
0x1b50	0x8883
0x1b63	0x88a6
0x1b75	0x88c9
0x1b87	0x88ec
0x1b8b	0x1b98
0x1ba9	0x890f
0x1bad	0x1bba
0x1bbd	0x1bc4
0x1bc5	0x1bf1
0x1bc8	0x1be9
0x1bcb	0x1be2
0x1bce	0x1bdc
0x1bf3	0x1bfb
0x1bfd	0x1c04
0x1c06	0x1c1c
0x1c09	0x1c15
0x1c36	0x8932
0x1c41	0x1c49
0x1c91	0x1c99
0x1ce3	0x1ceb
0x1cfb	0x1d03
0x1d34	0x1d3c
0x1d4d	0x1d55
0x1d66	0x1d6e
0x1da7	0x897e
0x1dad	0x1de9
0x1db5	0x89a8
0x1dbc	0x1de3
0x1dc0	0x1ddc
0x1dc6	0x1dd4
0x1dcb	0x13366
0x1df4	0x1e15
0x1dfa	0x1e05
0x1e0a	0x89ef
0x1e11	0x1db1
0x1e19	0x1df8
0x1f86	0x1f90
0x1fe3	0x1fea
0x1fee	0x1338d
0x2519	0x136a4
0x2561	0x8fcb
0x25c6	0x90170x25c0
0x2cda	0x2ce2
0x2ce4	0x2cf0
0x2d01	0x9202
0x2d0a	0x2d12
0x2d1e	0x2d06
0x2fa2	0x25c00x2fa0
0x3c5e	0x3c6b
0x3c73	0x3c7d
0x3c79	0x3c62
0x3cb6	0x3c77
0x3cc0	0x3cca
0x3cc6	0x3c77
0x12e95	0x1f420x5b2
0x12fff	0xe8e
0x13073	0xe8e
0x13c17	0x13c71
0x13c19	0x13c6e
0x13c1b	0x13c6b
0x13c1d	0x13c68
0x13c1f	0x13c65
0x13c21	0x13c62
0x13c23	0x13c5f
0x13c25	0x13c5c
0x13c27	0x13c59
0x13c29	0x13c56
0x13c2b	0x13c53
0x13c2d	0x13c50
0x13c2f	0x13c4d
0x13c31	0x13c4a
0x13c33	0x13c47
0x13c35	0x13c44
0x13c37	0x13c41
0x13c39	0x13c3e
0x2fa00x25c6	0x90170x2fa0
0x5b20x1f5d	0x8c540x5b2
0x1e49V0x1e5	0x8a58B0x1e5
0x1e26V0x1e5	0x8a12B0x1e5
0x1e38V0x1e5	0x8a35B0x1e5
0x1e77V0x20a	0x8ac1B0x20a
0x1e57V0x20a	0x8a7bB0x20a
0x1e69V0x20a	0x8a9eB0x20a
0x2071V0x439	0x8d78B0x439
0x205dV0x475	0x8d55B0x475
0x1e77V0x551	0x8ac1B0x551
0x1e57V0x551	0x8a7bB0x551
0x1e69V0x551	0x8a9eB0x551
