0x6b8	0x71e
0x72d	0x72d
0x73d	0x73d
0x74b	0x74b
0x793	0x7ab
0x7e3	0x7ed
0x7f4	0x807
0x80a	0x818
0x81e	0x81e
0x827	0x83a
0x83d	0x84b
0x851	0x885
0x88f	0x88f
0x89a	0x8a3
0x8a9	0x8bc
0x8c2	0x8cb
0x8d1	0x8e4
0x8ea	0x930
0x955	0x968
0x96e	0x990
0x9a5	0x9f3
0x9fa	0xa48
0xa4f	0xa9d
0xaa4	0xabf
0xac5	0xb7a
0xb89	0xbbd
0xc37	0xc4e
0xc8e	0xce8
0xcf0	0xcf0
0xd2c	0xd38
0xd44	0xd57
0xd5a	0xd68
0xd6e	0xd90
0xdeb	0xe1d
0xe27	0xe27
0xe4a	0xe54
0xec0	0xed5
0xf0a	0xf43
0xf4b	0xf6f
0xf78	0xfb6
0x300	0x49d8
0x300	0x4a02
