0x673	InvalidInitialization()
0xd83	ZeroAddressNotAllowed()
0x10a7	Error(string)
0x44ab	ArrayLengthMismatch()
0x45e3	ArrayLengthMismatch()
0x4ab8	Panic(uint256)
0x483cS0x99e	Panic(uint256)
0x47eeS0xd43	Panic(uint256)
0x47eeS0xe32	Panic(uint256)
0x483cS0x177b	Panic(uint256)
0x4a6aS0x9c4e	Panic(uint256)
0x4a6aS0x9c72	Panic(uint256)
0x488aS0x1c83	Panic(uint256)
0x483cS0x992	Panic(uint256)
0x488aS0x3b80x2f2	Panic(uint256)
0x488aS0x3b80x68f	Panic(uint256)
0x4b96S0xf0c	Panic(uint256)
0x4b96S0x1140	Panic(uint256)
0x488aS0x14dbS0x9b72	Panic(uint256)
0x48d8S0x14cfS0x9b72	Panic(uint256)
0x488aS0x14dbS0x9bde	Panic(uint256)
0x48d8S0x14cfS0x9bde	Panic(uint256)
0x488aS0x1a79S0x1013	Panic(uint256)
0x48d8S0x1a6fS0x1013	Panic(uint256)
0x488aS0x1a79S0x1150	Panic(uint256)
0x48d8S0x1a6fS0x1150	Panic(uint256)
0x488aS0x14dbS0x9c28	Panic(uint256)
0x48d8S0x14cfS0x9c28	Panic(uint256)
0x488aS0x1a79S0x1caf	Panic(uint256)
0x48d8S0x1a6fS0x1caf	Panic(uint256)
0x1dc6S0x1cff	ECDSAInvalidSignature()
0x1e69S0x1cff	Panic(uint256)
0x488aS0x14dbS0x12e3	Panic(uint256)
0x48d8S0x14cfS0x12e3	Panic(uint256)
0x4d0cS0xff4	Panic(uint256)
0x488aS0x14dbS0x1b35S0xff4	Panic(uint256)
0x48d8S0x14cfS0x1b35S0xff4	Panic(uint256)
0x488aS0x14dbS0x1bbdS0xff4	Panic(uint256)
0x48d8S0x14cfS0x1bbdS0xff4	Panic(uint256)
0x488aS0x1a79S0x1a98S0x86f	Panic(uint256)
0x48d8S0x1a6fS0x1a98S0x86f	Panic(uint256)
0x488aS0x1a79S0x1a98S0xf1b	Panic(uint256)
0x48d8S0x1a6fS0x1a98S0xf1b	Panic(uint256)
0x4c2dS0x179a	Panic(uint256)
0x488aS0x14dbS0x18dcS0x179a	Panic(uint256)
0x48d8S0x14cfS0x18dcS0x179a	Panic(uint256)
0x488aS0x14dbS0x194eS0x179a	Panic(uint256)
0x48d8S0x14cfS0x194eS0x179a	Panic(uint256)
